Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
YV Takawale,,"Maharashtra,",31 years 361 days,Right-hand bat,,,"November 5, 1984, Pune, Maharashtra ",,,,Yogesh Vijay Takawale,Royal Challengers Bangalore,Right-arm,
RR Raje,,"Mumbai,",30 years 58 days,Right-hand bat,,,"September 3, 1986, Neral, Maharashtra ",,,,Rohan Ravindra Raje,Mumbai Indians,Right-arm,fast-medium
DT Patil,,"Karnataka,",31 years 330 days,Right-hand bat,,,12/6/1984,,,,Devraj Thyagaraj Patil,Royal Challengers Bangalore,Right-arm,
S Anirudha,Top-order batsman,"Chennai Super Kings,",29 years 200 days,Right-hand bat,,,"April 14, 1987, Madras (now Chennai), Tamil Nad","Father - K Srikkanth,",,,Srikkanth Anirudha,Sunrisers Hyderabad,Right-arm,
CK Kapugedera,Middle-order batsman,"Sri Lanka,",29 years 250 days,Right-hand bat,,,"February 24, 1987, Kandy ",,,Kapu,Chamara Kantha Kapugedera,Chennai Super Kings,Right-arm,medium
L Balaji,Bowler,"India,",35 years 34 days,Right-hand bat,,,"September 27, 1981, Madras (now Chennai), Tamil Nad",,,,Lakshmipathy Balaji,Kings XI Punjab,Right-arm,medium-fast
A Chopra,Batsman,"India,",39 years 42 days,Right-hand bat,,,"September 19, 1977, Agra, Uttar Pradesh ",,,,Aakash Chopra,Kolkata Knight Riders,Right-arm,medium
T Taibu,Wicketkeeper batsman,"Namibia,",33 years 170 days,Right-hand bat,,5 ft 5 in,"May 14, 1983, Harare ",Brother - KJ Taibu,Churchill Boys High School,,Tatenda Taibu,Kolkata Knight Riders,Right-arm,medium
J Arunkumar,,"Belagavi Panthers,",41 years 287 days,Right-hand bat,,,"January 18, 1975, Bangalore, Karnataka ",,,,Jagadeesh Arunkumar,Royal Challengers Bangalore,Right-arm,offbreak
SP Goswami,Wicketkeeper batsman,"Bengal,",27 years 166 days,Left-hand bat,,,"May 18, 1989, Calcutta (now Kolkata), Bengal ",,,,Shreevats Pratyush Goswami,Rajasthan Royals,Left-arm,
SR Tendulkar,Top-order batsman,"India,",43 years 190 days,Right-hand bat,,5 ft 5 in,"April 24, 1973, Bombay (now Mumbai), Maharashtra ",,Sharadashram Vidyamandir School,"Tendlya, Little Master",Sachin Ramesh Tendulkar,Mumbai Indians,Right-arm,legbreak
DR Smith,Allrounder,"West Indies,",33 years 202 days,Right-hand bat,,,"April 12, 1983, Storey Gap, Codrington Hill, St Michael, Barbados ",,,,Dwayne Romel Smith,Gujarat Lions,Right-arm,medium
Kaul,Wicketkeeper,"India A,",28 years 334 days,Left-hand bat,,,"December 2, 1987, Kangra, Himachal Pradesh ",Brother - S Kaul,,,Uday Kaul,NA,Left-arm,
TM Dilshan,Allrounder,"Sri Lanka,",40 years 17 days,Right-hand bat,,,"October 14, 1976, Kalutara ",Brother - TN Sampath,,,Tillakaratne Mudiyanselage Dilshan,Royal Challengers Bangalore,Right-arm,offbreak
A Mishra,Bowler,"India,",33 years 342 days,Right-hand bat,,,"November 24, 1982, Delhi ",,,,Amit Mishra,Delhi Daredevils,Right-arm,legbreak
AD Mascarenhas,Allrounder,"England,",39 years 1 days,Right-hand bat,,6 ft 1 in,"October 30, 1977, Chiswick, Middlesex ",,"Trinity College, Perth",Dimi,Adrian Dimitri Mascarenhas,Kings XI Punjab,Right-arm,fast-medium
NK Patel,,"Air India,",35 years 219 days,Left-hand bat,,,"March 26, 1981, Ahmedabad, Gujarat ",,,,Niraj Kanubhai Patel,Rajasthan Royals,Left-arm,
LA Pomersbach,Batsman,"Australia,",32 years 33 days,Left-hand bat,,1.78 m,"September 28, 1984, Bentley, Perth, Western Australia ",,,Pomers,Luke Anthony Pomersbach,Kings XI Punjab,Right-arm,offbreak
Iqbal Abdulla,Allrounder,"India A,",26 years 334 days,Left-hand bat,,,"December 2, 1989, Azamgarh ",,,,Sayed Iqbal Abdulla,Royal Challengers Bangalore,Left-arm,slow
Shoaib Akhtar,Bowler,"Pakistan,",41 years 79 days,Right-hand bat,,,"August 13, 1975, Rawalpindi, Punjab ",,,,Shoaib Akhtar,Kolkata Knight Riders,Right-arm,fast
Younis Khan,Middle-order batsman,"Pakistan,",38 years 337 days,Right-hand bat,,,"November 29, 1977, Mardan, North-West Frontier Province (now Khyber Pakhtunkhwa) ",,,,Mohammad Younis Khan,Rajasthan Royals,Right-arm,medium
RR Powar,Bowler,"India,",38 years 164 days,Right-hand bat,,,"May 20, 1978, Bombay (now Mumbai), Maharashtra ",Brother - KR Powar,,,Ramesh Rajaram Powar,Kochi Tuskers Kerala,Right-arm,offbreak
PM Sarvesh Kumar,,"Deccan Chargers,",27 years 188 days,Right-hand bat,,,"April 26, 1989, Hyderabad, Andhra Pradesh ",,,,PM Sarvesh Kumar,Deccan Chargers,Right-arm,medium
Abdur Razzak,Bowler,"Bangladesh,",34 years 138 days,Left-hand bat,,,"June 15, 1982, Khulna ",,,,Abdur Razzak,Royal Challengers Bangalore,Left-arm,slow
H Das,,"Deccan Chargers,",29 years 326 days,Right-hand bat,,,"December 10, 1986, Dhankanal, Orissa ",,,,Halhadar Das,Deccan Chargers,Right-arm,
A Nel,,"South Africa,",39 years 108 days,Right-hand bat,,,"July 15, 1977, Germiston, Transvaal ",,,,Andre Nel,Mumbai Indians,Right-arm,fast-medium
A Mukund,Top-order batsman,"India,",26 years 299 days,Left-hand bat,,,"January 6, 1990, Madras (now Chennai), Tamil Nad",,,,Abhinav Mukund,Royal Challengers Bangalore,Left-arm,legbreak
BAW Mendis,Bowler,"Sri Lanka,",31 years 234 days,Right-hand bat,,,"March 11, 1985, Moratuwa ",,,,Balapuwaduge Ajantha Winslow Mendis,Pune Warriors,Right-arm,legbreak
JP Duminy,Batting allrounder,"South Africa,",32 years 200 days,Left-hand bat,,,"April 14, 1984, Strandfontein, Cape Town, Cape Province ",,,,Jean-Paul Duminy,Delhi Daredevils,Right-arm,offbreak
A Flintoff,Allrounder,"England,",38 years 330 days,Right-hand bat,,6 ft 4 in,"December 6, 1977, Preston, Lancashire ",,Ribbleton Hall High school,Freddie,Andrew Flintoff,Chennai Super Kings,Right-arm,fast-medium
T Thushara,Bowler,"Sri Lanka,",35 years 244 days,Left-hand bat,,,"March 1, 1981, Balapitiya ",,,,Magina Thilan Thushara Mirando,Chennai Super Kings,Left-arm,fast-medium
SL Malinga,Bowler,"Sri Lanka,",33 years 64 days,Right-hand bat,,,"August 28, 1983, Galle ",,,,SeparamadLasith Malinga,Mumbai Indians,Right-arm,fast
JD Ryder,Allrounder,"Ireland,",32 years 86 days,Left-hand bat,,,"August 6, 1984, Masterton, Wellington ",,Napier Boys High,,Jesse Daniel Ryder,Pune Warriors,Right-arm,medium
KP Pietersen,Top-order batsman,"England,",36 years 126 days,Right-hand bat,,6 ft 4 in,"June 27, 1980, Pietermaritzburg, Natal ",,"Maritzburg College, University of SA","KP, Kelves, Kapes, Kev",Kevin Peter Pietersen,Rising Pune Supergiants,Right-arm,offbreak
T Henderson,Bowler,"South Africa,",42 years 91 days,Right-hand bat,,6 ft 2 in,"August 1, 1974, Durban, Natal ","Grandfather - JK Henderson,",,The Blacksmith,Tyron Henderson,Rajasthan Royals,Right-arm,fast-medium
Kamran Khan,Bowler,"Colts Cricket Club,",25 years 235 days,Left-hand bat,,,"March 10, 1991, Azamgarh, Uttar Pradesh ",,,,Kamran Khan,Rajasthan Royals,Left-arm,medium-fast
RS Bopara,Middle-order batsman,"England,",31 years 180 days,Right-hand bat,,5 ft 10 in,"May 4, 1985, Forest Gate, London ",,Brampton Manor School,Puppy,Ravinder Singh Bopara,Sunrisers Hyderabad,Right-arm,medium
DP Nannes,Bowler,"Australia,",40 years 168 days,Right-hand bat,,1.88 m,"May 16, 1976, Mount Waverley, Melbourne, Victoria ",,,Diggler,Dirk Peter Nannes,Chennai Super Kings,Left-arm,fast
AM Salvi,Bowler,"India,",35 years 11 days,Right-hand bat,,,"October 20, 1981, Bombay (now Mumbai), Maharashtra ",,,,Aavishkar Madhav Salvi,NA,Right-arm,medium
YA Abdulla,Bowler,"South Africa,",33 years 288 days,Left-hand bat,,,"January 17, 1983, Johannesburg, Transvaal ",,,,Yusuf Adam Abdulla,Kings XI Punjab,Left-arm,fast-medium
VS Malik,Bowler,"Himachal Pradesh,",33 years 175 days,Right-hand bat,,,"May 9, 1983, Vishakapatnam (Andhra) ",,,,Vikramjeet Singh Malik,Rajasthan Royals,Right-arm,medium
CH Gayle,Allrounder,"West Indies,",37 years 40 days,Left-hand bat,,,"September 21, 1979, Kingston, Jamaica ",,,,Christopher Henry Gayle,Royal Challengers Bangalore,Right-arm,offbreak
MC Henriques,Allrounder,"Australia,",29 years 273 days,Right-hand bat,,1.87 m,"February 1, 1987, Funchal, Portugal ",,,Moey,Moises Constantino Henriques,Sunrisers Hyderabad,Right-arm,fast-medium
FH Edwards,Bowler,"West Indies,",34 years 268 days,Right-hand bat,,,"February 6, 1982, Gays, St Peter, Barbados ",Half-brother - PT Collins,,,Fidel Henderson Edwards,Deccan Chargers,Right-arm,fast
Harmeet Singh,Bowler,"Deccan Chargers,",29 years 22 days,Right-hand bat,,,"October 9, 1987, Jodhpur, Rajasthan ",,,,Harmeet Singh Bansal,Kings XI Punjab,Right-arm,medium
R Bishnoi,,"Rajasthan,",29 years 23 days,Right-hand bat,,,"October 8, 1987, Bikaner ",,,,Rajesh Bishnoi,Royal Challengers Bangalore,Right-arm,medium-fast
KV Sharma,Bowler,"India,",29 years 8 days,Left-hand bat,,,"October 23, 1987, Meerut, Uttar Pradesh ",,,,Karn Vinod Sharma,Sunrisers Hyderabad,Left-arm,legbreak
PC Valthaty,Batsman,"Air India,",32 years 329 days,Right-hand bat,,,"December 7, 1983, Bombay (now Mumbai), Maharashtra ",,,,Paul Chandrashekar Valthaty,Kings XI Punjab,Right-arm,medium
RJ Quiney,Batsman,"Australia,",34 years 72 days,Left-hand bat,,1.93 m,"August 20, 1982, Brighton, Victoria ",,,,Robert John Quiney,Rajasthan Royals,Right-arm,medium
AS Raut,Allrounder,"Maharashtra,",29 years 242 days,Right-hand bat,,,"March 3, 1987, Jaipur Road, Maharashtra ",,,,Abhishek Santosh Raut,Rajasthan Royals,Right-arm,legbreak
Yashpal Singh,Batsman,"Kochi Tuskers Kerala,",34 years 339 days,Right-hand bat,,,"November 27, 1981, Delhi ",,,,Yashpal Singh,Kolkata Knight Riders,Right-arm,medium
Anureet Singh,Bowler,"Central Zone,",28 years 243 days,Right-hand bat,,,3/2/1988,,,,Kathuria Anureet Singh,Kings XI Punjab,Right-arm,medium
RR Bose,,"India,",37 years 247 days,Right-hand bat,,,"February 27, 1979, Calcutta (now Kolkata), Bengal ",,,,Ranadeb Ranjit Bose,NA,Right-arm,fast-medium
M Manhas,Allrounder,"Chennai Super Kings,",37 years 19 days,Right-hand bat,,,"October 12, 1979, Jamm",,,,Mithun Manhas,Chennai Super Kings,Right-arm,offbreak
KP Appanna,,"Karnataka,",27 years 316 days,Right-hand bat,,,"December 20, 1988, Kodagu, Karnataka ",,,,Kotarangada PrabhAppanna,Royal Challengers Bangalore,Left-arm,slow
AA Bilakhia,,"Baroda,",30 years 153 days,Right-hand bat,,,"May 31, 1986, Mohwa, Bhavnagar, Gujarat ",,,,Azharuddin Anjum Bilakhia,Deccan Chargers,Right-arm,medium
Shoaib Ahmed,,"Deccan Chargers,",28 years 347 days,Right-hand bat,,,"November 19, 1987, Hyderabad, Andhra Pradesh ",,,,Syed Mohammad Shoaib Ahmed,Deccan Chargers,Right-arm,fast-medium
AN Ghosh,Batsman,"Bengal,",30 years 12 days,Right-hand bat,,,"October 19, 1986, Barasat, Kolkatta ",,,,Arindam Nanigopal Ghosh,Kolkata Knight Riders,Right-arm,medium
MN van Wyk,Wicketkeeper batsman,"South Africa,",37 years 225 days,Right-hand bat,,,"March 20, 1979, Bloemfontein, Orange Free State ",Brother - DJ van Wyk,,,Morne Nico van Wyk,Kolkata Knight Riders,Left-arm,slow
RE van der Merwe,Allrounder,"Netherlands,",31 years 305 days,Right-hand bat,,,"December 31, 1984, Johannesburg, Transvaal ",,Waterkloof,,Roelof Erasmus van der Merwe,Delhi Daredevils,Left-arm,slow
TL Suman,Batsman,"Deccan Chargers,",32 years 321 days,Right-hand bat,,,"December 15, 1983, Hyderabad, Andhra Pradesh ",,,,Tirumalasetti Laxminarayana Suman,Pune Warriors,Right-arm,offbreak
S Tyagi,Bowler,"India,",29 years 44 days,Right-hand bat,,,"September 17, 1987, Ghaziabad, Uttar Pradesh ",,,,Sudeep Tyagi,Chennai Super Kings,Right-arm,medium
GR Napier,,"England,",36 years 299 days,Right-hand bat,,5 ft 10 in,"January 6, 1980, Colchester, Essex ",,"Gilberd School, Colchester",Plank,Graham Richard Napier,Mumbai Indians,Right-arm,medium
LA Carseldine,Allrounder,"Beenleigh-Logan,",40 years 349 days,Left-hand bat,,1.87 m,"November 17, 1975, Nambour, Queensland ",,,,Lee Andrew Carseldine,Rajasthan Royals,Left-arm,medium
NV Ojha,Wicketkeeper batsman,"India,",33 years 103 days,Right-hand bat,,,"July 20, 1983, Ujjain, Madhya Pradesh ",,,,Naman Vinaykumar Ojha,Sunrisers Hyderabad,Right-arm,
SM Harwood,Bowler,"Australia,",42 years 244 days,Right-hand bat,,1.83 m,"March 1, 1974, Ballarat, Victoria ",,,Stickers,Shane Michael Harwood,Rajasthan Royals,Right-arm,fast-medium
M Vijay,Opening batsman,"India,",32 years 213 days,Right-hand bat,,,"April 1, 1984, Chennai ",,,,Murali Vijay,Kings XI Punjab,Right-arm,offbreak
SB Jakati,Bowler,"Chennai Super Kings,",35 years 339 days,Left-hand bat,,,"November 27, 1980, Vasco da Gama, Goa ",,,,Shadab Bashir Jakati,Gujarat Lions,Left-arm,slow
DA Warner,Opening batsman,"Australia,",30 years 4 days,Left-hand bat,,1.70 m,"October 27, 1986, Paddington, New South Wales ",,,Lloyd,David Andrew Warner,Sunrisers Hyderabad,Left-arm,legbreak
D dPreez,,"Eagles,",34 years 358 days,Right-hand bat,,,"November 8, 1981, Port Elizabeth, Cape Province ",,,,Dillon dPreez,NA,Right-arm,fast-medium
RJ Harris,Bowler,"Australia,",37 years 20 days,Right-hand bat,,5 ft 10 in,"October 11, 1979, Sydney, New South Wales ",,,Ryano,Ryan James Harris,Kings XI Punjab,Right-arm,fast
A Singh,Bowler,"Gujarat,",35 years 132 days,Right-hand bat,,,"June 21, 1981, Bidar, Karnataka ",,,,Amit Singh,Rajasthan Royals,Right-arm,medium-fast
M Morkel,Bowler,"South Africa,",32 years 25 days,Left-hand bat,,,"October 6, 1984, Vereeniging, Transvaal ","Father - A Morkel,",,,Morne Morkel,Kolkata Knight Riders,Right-arm,fast
A Mithun,Bowler,"India,",27 years 6 days,Right-hand bat,,,"October 25, 1989, Bangalore ",,,,AbhimanyMithun,Royal Challengers Bangalore,Right-arm,medium
C Nanda,,"India,",37 years 216 days,Right-hand bat,,,"March 29, 1979, Delhi ",,,,Chetanya Nanda,Mumbai Indians,Right-arm,legbreak
SS Sarkar,,"Bengal,",31 years 321 days,Right-hand bat,,,"December 15, 1984, Calcutta (now Kolkata), Bengal ",,,,Sourav Subrata Sarkar,NA,Right-arm,medium
AD Mathews,Allrounder,"Sri Lanka,",29 years 151 days,Right-hand bat,,,"June 2, 1987, Colombo ",,,,Angelo Davis Mathews,Delhi Daredevils,Right-arm,fast-medium
J Botha,Allrounder,"South Africa,",34 years 182 days,Right-hand bat,,,"May 2, 1982, Johannesburg, Transvaal ",,,,Johan Botha,Kolkata Knight Riders,Right-arm,offbreak
Mashrafe Mortaza,Bowler,"Bangladesh,",33 years 26 days,Right-hand bat,,,"October 5, 1983, Norail, Jessore ",,,,Mashrafe Bin Mortaza,Kolkata Knight Riders,Right-arm,fast-medium
Jaskaran Singh,Bowler,"Deccan Chargers,",27 years 57 days,Right-hand bat,,,"September 4, 1989, Mohali, Punjab ",,,,Jaskaran Singh Buttar,Deccan Chargers,Right-arm,medium
GJ Bailey,Top-order batsman,"Australia,",34 years 54 days,Right-hand bat,,1.78 m,"September 7, 1982, Launceston, Tasmania ",,,Hector,George John Bailey,Rising Pune Supergiants,Right-arm,medium
AB McDonald,Allrounder,"Australia,",35 years 148 days,Right-hand bat,,1.94 m,"June 5, 1981, Wodonga, Victoria ",Brother - BG McDonald,,Ronnie,Andrew Barry McDonald,Royal Challengers Bangalore,Right-arm,fast-medium
Y Nagar,Allrounder,"Delhi,",26 years 299 days,Right-hand bat,,,"January 6, 1990, Wazirabad, Delhi ",,,,Yogesh Nagar,Delhi Daredevils,Right-arm,offbreak
SS Shaikh,,"Kolkata Knight Riders,",29 years 287 days,Right-hand bat,,,"January 18, 1987, Bombay (now Mumbai), Maharashtra ",,,,Shoaib Shabbir Shaikh,Kolkata Knight Riders,Right-arm,medium
CK Langeveldt,Bowler,"South Africa,",41 years 319 days,Right-hand bat,,,"December 17, 1974, Stellenbosch, Cape Province ",,,,Charl Kenneth Langeveldt,Royal Challengers Bangalore,Right-arm,fast-medium
R Ashwin,Bowling allrounder,"India,",30 years 44 days,Right-hand bat,,,"September 17, 1986, Madras (now Chennai), Tamil Nad",,,,Ravichandran Ashwin,Rising Pune Supergiants,Right-arm,offbreak
Mohammad Ashraful,Middle-order batsman,"Bangladesh,",32 years 116 days,Right-hand bat,,,"July 7, 1984, Dhaka ",,,,Mohammad Ashraful,Mumbai Indians,Right-arm,legbreak
RA Shaikh,,Mumbai,31 years 141 days,Left-hand bat,,,6/12/1985,,,,Rahil Akhil Ahmed Shaikh,NA,Left-arm,medium
CA Pujara,Top-order batsman,"India,",28 years 280 days,Right-hand bat,,,"January 25, 1988, Rajkot, Gujarat ","Father - AS Pujara,",,,Cheteshwar Arvind Pujara,Kings XI Punjab,Right-arm,legbreak
OA Shah,Batsman,"England,",38 years 9 days,Right-hand bat,,6 ft 1 in,"October 22, 1978, Karachi, Sind, Pakistan ",,Isleworth & Syon School,Ace,Owais Alam Shah,Rajasthan Royals,Right-arm,offbreak
Anirudh Singh,,"Deccan Chargers,",36 years 90 days,Left-hand bat,,,"August 2, 1980, Hyderabad, Andhra Pradesh ",,,,Anirudh Singh,Deccan Chargers,Right-arm,medium
AP Tare,Wicketkeeper,"India A,",28 years 359 days,Right-hand bat,,,"November 7, 1987, Bombay (now Mumbai), Maharashtra ",,,,Aditya Prakash Tare,Sunrisers Hyderabad,Right-arm,
AT Rayudu,Middle-order batsman,"India,",31 years 38 days,Right-hand bat,,,"September 23, 1985, Guntur, Andhra Pradesh ",,,,Ambati Thirupathi Rayudu,Mumbai Indians,Right-arm,offbreak
R Sathish,Allrounder,"Assam,",35 years 291 days,Right-hand bat,,,"January 14, 1981, Trichy (now Tiruchchirappali), Tamil Nad",,,,Rajagopal Sathish,Kolkata Knight Riders,Right-arm,medium
R McLaren,Allrounder,"South Africa,",33 years 265 days,Left-hand bat,,,"February 9, 1983, Kimberley, Cape Province ","Father - P McLaren,",,,Ryan McLaren,Kolkata Knight Riders,Right-arm,medium-fast
AA Jhunjhunwala,Batsman,"Bengal,",33 years 335 days,Right-hand bat,,,"December 1, 1982, Calcutta (now Kolkata), Bengal ",,,,Abhishek Arunkumar Jhunjhunwala,Deccan Chargers,Right-arm,offbreak
P Dogra,Batsman,"Gujarat Lions,",31 years 347 days,Right-hand bat,,,"November 19, 1984, Palampur, Himachal Pradesh ",,,,Paras Dogra,Kolkata Knight Riders,Right-arm,legbreak
A Uniyal,,"Chandigarh Lions,",34 years 345 days,Left-hand bat,,,"November 21, 1981, Chandigarh ",,,,Amit Uniyal,Rajasthan Royals,Left-arm,medium
SW Tait,Bowler,"Australia,",33 years 252 days,Right-hand bat,,1.93 m,"February 22, 1983, Bedford Park, Adelaide, South Australia ",,,Sloon,Shaun William Tait,Rajasthan Royals,Right-arm,fast
AG Murtaza,Bowler,"Central Zone,",26 years 304 days,Left-hand bat,,,"January 1, 1990, Allahabad, Uttar Pradesh ",,,,Ali Ghulam Murtaza,Pune Warriors,Left-arm,slow
MS Bisla,Wicketkeeper,"Deccan Chargers,",31 years 309 days,Right-hand bat,,,"December 27, 1984, Hisar, Haryana ",,,,Manvinder Sultansingh Bisla,Royal Challengers Bangalore,Right-arm,
EJG Morgan,Middle-order batsman,"England,",30 years 51 days,Left-hand bat,,5 ft 9 in,"September 10, 1986, Dublin ",,Catholic University School,Moggie,Eoin Joseph Gerard Morgan,Sunrisers Hyderabad,Right-arm,medium
RS Gavaskar,,"India,",40 years 254 days,Left-hand bat,,,"February 20, 1976, Kanpur, Uttar Pradesh ","Great-uncle - MK Mantri,",,,Rohan Sunil Gavaskar,Kolkata Knight Riders,Left-arm,slow
JM Kemp,,"South Africa,",39 years 29 days,Right-hand bat,,,"October 2, 1977, Queenstown, Cape Province ","Grandfather - JM Kemp,",,,Justin Miles Kemp,Chennai Super Kings,Right-arm,fast-medium
S Ladda,Bowler,"Delhi Daredevils,",30 years 113 days,Right-hand bat,,,"July 10, 1986, Patiala ",,,,Sarabjit Ladda,Delhi Daredevils,Right-arm,legbreak
Bipul Sharma,Allrounder,"Chandigarh Lions,",33 years 33 days,Left-hand bat,,,"September 28, 1983, Amritsar, Punjab ",,,,Bipul Sharma,Sunrisers Hyderabad,Left-arm,slow
SE Bond,Bowler,"New Zealand,",41 years 146 days,Right-hand bat,,,"June 7, 1975, Christchurch, Canterbury ",,,,Shane Edward Bond,Kolkata Knight Riders,Right-arm,fast
KA Pollard,Allrounder,"West Indies,",29 years 172 days,Right-hand bat,,,"May 12, 1987, Tacarigua, Trinidad ",,,,Kieron Adrian Pollard,Mumbai Indians,Right-arm,medium-fast
MJ Lumb,Top-order batsman,"England,",36 years 262 days,Left-hand bat,,6 ft 0 in,"February 12, 1980, Johannesburg, Transvaal, South Africa ",Father - RG Lumb,St Stithians College,Joe,Michael John Lumb,Deccan Chargers,Right-arm,medium
DR Martyn,Top-order batsman,"Australia,",45 years 10 days,Right-hand bat,,1.81 m,"October 21, 1971, Darwin, Northern Territory ",,,Marto,Damien Richard Martyn,Rajasthan Royals,Right-arm,medium
S Narwal,Allrounder,"Delhi,",34 years 198 days,Left-hand bat,,,"April 16, 1982, Chirao, Karnal, Haryana ",,,,Sumit Narwal,Kolkata Knight Riders,Right-arm,medium
UT Yadav,Bowler,"India,",29 years 6 days,Right-hand bat,,,"October 25, 1987, Nagpur, Maharashtra ",,,,Umeshkumar Tilak Yadav,Kolkata Knight Riders,Right-arm,fast-medium
AB Barath,Opening batsman,"West Indies,",26 years 200 days,Right-hand bat,,,"April 14, 1990, Chaguanas, Trinidad ",,,,Adrian Boris Barath,Kings XI Punjab,Right-arm,offbreak
SJ Srivastava,Bowler,"Delhi Giants,",35 years 39 days,Right-hand bat,,,"September 22, 1981, Allahabad, Uttar Pradesh ",,,,Shalabh Jagdishprasad Srivastava,Kings XI Punjab,Left-arm,fast-medium
FY Fazal,Opening batsman,"India,",31 years 54 days,Left-hand bat,,,"September 7, 1985, Nagpur, Maharashtra ",,,,Faiz Yakub Fazal,Rajasthan Royals,Right-arm,medium
AC Voges,Top-order batsman,"Australia,",37 years 27 days,Right-hand bat,,1.85 m,"October 4, 1979, Subiaco, Perth, Western Australia ",,,"Kenny, Hank",Adam Charles Voges,Rajasthan Royals,Left-arm,slow
MD Mishra,Batsman,"Deccan Chargers,",32 years 265 days,Right-hand bat,,,"February 9, 1984, Bhopal, Madhya Pradesh ",,,,Mohnish Dinesh Mishra,Pune Warriors,Right-arm,offbreak
R Sharma,Bowler,"India,",29 years 336 days,Right-hand bat,,,"November 30, 1986, Jalandhar ",,,,Rahul Sharma,Pune Warriors,Right-arm,legbreak
J Theron,Bowler,"South Africa,",31 years 99 days,Right-hand bat,,,"July 24, 1985, Potchefstroom ",,,,Juan Theron,Rajasthan Royals,Right-arm,medium-fast
NLTC Perera,Allrounder,"Sri Lanka,",27 years 211 days,Left-hand bat,,6 ft 1 in,"April 3, 1989, Colombo ",,"St. Joseph's Town, Maradana",,Narangoda Liyanaarachchilage Thisara Chirantha Perera,Rising Pune Supergiants,Right-arm,medium-fast
Mandeep Singh,Allrounder,"India,",24 years 318 days,Right-hand bat,,,"December 18, 1991, Jalandhar, Punjab ",,,,Mandeep Singh,Royal Challengers Bangalore,Right-arm,medium
KM Jadhav,Batsman,"India,",31 years 219 days,Right-hand bat,,,"March 26, 1985, Pune, Maharashtra ",,,,Kedar Mahadav Jadhav,Royal Challengers Bangalore,Right-arm,offbreak
KB Arun Karthik,Batsman,"Badureliya Sports Club,",30 years 259 days,Right-hand bat,,,"February 15, 1986, Walajapet, Tamil Nad",,,,Konda Bhaskir Arun Karthik,Royal Challengers Bangalore,Right-arm,legbreak
KAJ Roach,Bowler,"West Indies,",28 years 123 days,Right-hand bat,,,"June 30, 1988, St. Lucy, Barbados ",,,,Kemar Andre Jamal Roach,Deccan Chargers,Right-arm,fast
PD Collingwood,Allrounder,"England,",40 years 158 days,Right-hand bat,,5 ft 11 in,"May 26, 1976, Shotley Bridge, Co Durham ",,Blackfyne Comprehensive School,Colly,Paul David Collingwood,Delhi Daredevils,Right-arm,medium
C Ganapathy,,"Chennai Super Kings,",35 years 143 days,Right-hand bat,,,6/10/1981,,,,Chandrasekar Ganapathy,Chennai Super Kings,Right-arm,medium
MB Parmar,,"Gujarat,",28 years 202 days,Right-hand bat,,,"April 12, 1988, Gandhinagar, Gujarat ",,,,Mohnish Bipinbhai Parmar,NA,Right-arm,offbreak
SB Wagh,Allrounder,"Australian Institute of Sports,",28 years 22 days,Left-hand bat,,,"October 9, 1988, Chikhli ",,,,Shrikant Bhaskar Wagh,Pune Warriors,Left-arm,medium-fast
DE Bollinger,Bowler,"Australia,",35 years 99 days,Left-hand bat,,1.92 m,"July 24, 1981, Baulkham Hills, Sydney, New South Wales ",,,Eagle,Douglas Erwin Bollinger,Chennai Super Kings,Left-arm,fast-medium
JD Unadkat,Bowler,"India,",25 years 13 days,Right-hand bat,,,"October 18, 1991, Porbandar ",,,,Jaydev Dipakbhai Unadkat,Delhi Daredevils,Left-arm,medium
AP Dole,Bowler,"Maharashtra,",29 years 22 days,Right-hand bat,,,"October 9, 1987, Pimpri, Maharashtra ",,,,Aditya Pradip Dole,Rajasthan Royals,Right-arm,medium-fast
AN Ahmed,Bowler,"Assam,",27 years 361 days,Right-hand bat,,,"November 5, 1988, Guwahati, Assam ",,,,AbNechim Ahmed,Royal Challengers Bangalore,Right-arm,medium-fast
MR Marsh,Top-order batsman,"Australia,",25 years 11 days,Right-hand bat,,,"October 20, 1991, Attadale, Perth ","Father - GR Marsh,",,,Mitchell Ross Marsh,Rising Pune Supergiants,Right-arm,medium
RS Sodhi,,"India,",36 years 13 days,Right-hand bat,,,"October 18, 1980, Patiala, Punjab ",,,,Reetinder Singh Sodhi,Kings XI Punjab,Right-arm,medium
L Ablish,Bowler,"Chandigarh Lions,",33 years 333 days,Right-hand bat,,,"December 3, 1982, Ludhiana, Punjab ",,,,Love Ablish,Kings XI Punjab,Right-arm,medium-fast
S Sriram,Middle-order batsman,"India,",40 years 253 days,Left-hand bat,,,"February 21, 1976, Madras (now Chennai), Tamil Nad",,,,Sridharan Sriram,Delhi Daredevils,Left-arm,slow
B Sumanth,Middle-order batsman,"Deccan Chargers,",28 years 174 days,Right-hand bat,,,"May 10, 1988, Visakhapatnam, Andhra Pradesh ",,,,Bodapati Apparao Sumanth,Deccan Chargers,Right-arm,medium-fast
C Madan,Wicketkeeper,"Kochi Tuskers Kerala,",34 years 16 days,Right-hand bat,,,10/15/1982,,,,Chandan Madan,Mumbai Indians,Right-arm,
