Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
Yuvraj Singh,Middle-order batsman,"India,",34 years 324 days,Left-hand bat,,,"December 12, 1981, Chandigarh ",Father - B Yograj Singh,,,Yuvraj Singh,Sunrisers Hyderabad,Left-arm,slow
SM Katich,Batsman,"Australia,",41 years 71 days,Left-hand bat,,1.82 m,"August 21, 1975, Middle Swan, Western Australia ",,,Kat,Simon Mathew Katich,Kings XI Punjab,Left-arm,slow
IK Pathan,Allrounder,"India,",32 years 4 days,Left-hand bat,,,"October 27, 1984, Baroda, Gujarat ",Half-brother - YK Pathan,,,Irfan Khan Pathan,Rising Pune Supergiants,Left-arm,medium-fast
B Lee,Bowler,"Australia,",39 years 358 days,Right-hand bat,,1.87 m,"November 8, 1976, Wollongong, New South Wales ",Brother - S Lee,,Bing,Brett Lee,Kolkata Knight Riders,Right-arm,fast
S Sreesanth,Bowler,"India,",33 years 268 days,Right-hand bat,,,"February 6, 1983, Kothamangalam, Kerala ",,,,Shanthakumaran Sreesanth,Rajasthan Royals,Right-arm,fast-medium
PP Chawla,Allrounder,"India,",27 years 312 days,Left-hand bat,,,"December 24, 1988, Aligarh, Uttar Pradesh ",,,,Piyush Pramod Chawla,Kolkata Knight Riders,Left-arm,legbreak
WA Mota,,"Kings XI Punjab,",35 years 41 days,Right-hand bat,,,"September 20, 1981, Bombay (now Mumbai), Maharashtra ",,,,Wilkin Arvind Mota,Kings XI Punjab,Right-arm,medium
MS Gony,Bowler,"India,",32 years 301 days,Right-hand bat,,,"January 4, 1984, Roopnagar, Punjab ",,,,Manpreet Singh Gony,Kings XI Punjab,Right-arm,medium
M Muralitharan,Bowler,"Sri Lanka,",44 years 197 days,Right-hand bat,,5 ft 7 in,"April 17, 1972, Kandy ",,"St Anthony's Town, Kandy",,Muttiah Muralitharan,Royal Challengers Bangalore,Right-arm,offbreak
P Amarnath,,"Chennai Super Kings,",34 years 152 days,Right-hand bat,,,6/1/1982,,,,Palani Amarnath,NA,Right-arm,medium
Joginder Sharma,Allrounder,"India,",33 years 8 days,Right-hand bat,,,"October 23, 1983, Rohtak ",,,,Joginder Sharma,Chennai Super Kings,Right-arm,fast-medium
T Kohli,,"India Under-19s,",27 years 319 days,Right-hand bat,,,"December 17, 1988, Jalandhar, Punjab ",,,,Taruwar Sushil Kohli,Kings XI Punjab,Right-arm,medium
YK Pathan,Allrounder,"India,",33 years 349 days,Right-hand bat,,,"November 17, 1982, Baroda, Gujarat ",Half-brother - IK Pathan,,,Yusuf Khan Pathan,Kolkata Knight Riders,Right-arm,offbreak
SR Watson,Allrounder,"Australia,",35 years 136 days,Right-hand bat,,1.83 m,"June 17, 1981, Ipswich, Queensland ",,,Watto,Shane Robert Watson,Royal Challengers Bangalore,Right-arm,fast-medium
