Team Name,Year,Over,Total Runs Scored,Total Wickets taken,Total Bowls bowled,Run rate,Wicket rate
Kings XI Punjab,2011,15,120,7,86,8.3720930233,0.488372093
Kings XI Punjab,2010,19,140,7,81,10.3703703704,0.5185185185
Rajasthan Royals,2014,2,94,1,87,6.4827586207,0.0689655172
Kolkata Knight Riders,2010,9,82,3,89,5.5280898876,0.202247191
Kolkata Knight Riders,2009,17,107,3,69,9.3043478261,0.2608695652
Royal Challengers Bangalore,2012,7,79,1,91,5.2087912088,0.0659340659
Delhi Daredevils,2012,16,129,4,86,9,0.2790697674
Kolkata Knight Riders,2012,4,164,3,112,8.7857142857,0.1607142857
Deccan Chargers,2009,20,130,13,77,10.1298701299,1.012987013
Kings XI Punjab,2014,1,134,1,110,7.3090909091,0.0545454545
Pune Warriors,2013,11,109,7,99,6.6060606061,0.4242424242
Rajasthan Royals,2013,14,161,5,108,8.9444444444,0.2777777778
Pune Warriors,2011,10,74,3,79,5.6202531646,0.2278481013
Deccan Chargers,2010,11,116,8,97,7.175257732,0.4948453608
Kolkata Knight Riders,2016,10,121,3,88,8.25,0.2045454545
Rajasthan Royals,2010,7,95,4,89,6.404494382,0.2696629213
Royal Challengers Bangalore,2008,10,94,4,86,6.5581395349,0.2790697674
Delhi Daredevils,2009,7,84,5,86,5.8604651163,0.3488372093
Chennai Super Kings,2014,8,123,4,101,7.3069306931,0.2376237624
Sunrisers Hyderabad,2013,3,102,6,107,5.7196261682,0.3364485981
Mumbai Indians,2010,18,193,8,100,11.58,0.48
Kings XI Punjab,2010,14,120,3,85,8.4705882353,0.2117647059
Kings XI Punjab,2009,20,84,4,64,7.875,0.375
Rajasthan Royals,2009,1,105,4,89,7.0786516854,0.2696629213
Kolkata Knight Riders,2009,10,60,2,75,4.8,0.16
Royal Challengers Bangalore,2013,2,102,3,100,6.12,0.18
Delhi Daredevils,2013,13,122,2,99,7.3939393939,0.1212121212
Chennai Super Kings,2013,12,106,5,104,6.1153846154,0.2884615385
Kings XI Punjab,2013,2,105,6,100,6.3,0.36
Rajasthan Royals,2013,19,121,4,90,8.0666666667,0.2666666667
Rajasthan Royals,2012,15,131,4,102,7.7058823529,0.2352941176
Chennai Super Kings,2010,5,142,5,99,8.6060606061,0.303030303
Kolkata Knight Riders,2016,17,155,4,81,11.4814814815,0.2962962963
Kochi Tuskers Kerala,2011,1,103,2,91,6.7912087912,0.1318681319
Royal Challengers Bangalore,2009,7,84,4,99,5.0909090909,0.2424242424
Delhi Daredevils,2010,8,100,3,86,6.976744186,0.2093023256
Chennai Super Kings,2009,7,111,5,87,7.6551724138,0.3448275862
Gujarat Lions,2016,6,155,4,101,9.2079207921,0.2376237624
Deccan Chargers,2012,8,110,1,90,7.3333333333,0.0666666667
Mumbai Indians,2010,7,118,6,99,7.1515151515,0.3636363636
Mumbai Indians,2011,19,146,2,85,10.3058823529,0.1411764706
Kings XI Punjab,2009,13,87,3,82,6.3658536585,0.2195121951
Rajasthan Royals,2008,4,149,6,104,8.5961538462,0.3461538462
Kolkata Knight Riders,2008,15,130,5,80,9.75,0.375
Rising Pune Supergiants,2016,10,84,4,88,5.7272727273,0.2727272727
Delhi Daredevils,2014,14,98,4,86,6.8372093023,0.2790697674
Delhi Daredevils,2015,20,121,5,67,10.8358208955,0.447761194
Chennai Super Kings,2013,17,176,5,99,10.6666666667,0.303030303
Chennai Super Kings,2012,9,142,2,111,7.6756756757,0.1081081081
Kings XI Punjab,2012,7,116,3,97,7.175257732,0.1855670103
Rajasthan Royals,2012,18,137,6,95,8.6526315789,0.3789473684
Rajasthan Royals,2015,16,115,3,83,8.313253012,0.2168674699
Kolkata Knight Riders,2011,1,109,2,99,6.6060606061,0.1212121212
Mumbai Indians,2016,10,95,2,85,6.7058823529,0.1411764706
Sunrisers Hyderabad,2016,12,133,4,105,7.6,0.2285714286
Deccan Chargers,2008,5,118,5,87,8.1379310345,0.3448275862
Royal Challengers Bangalore,2016,16,174,4,94,11.1063829787,0.2553191489
Delhi Daredevils,2016,5,120,4,87,8.275862069,0.275862069
Rising Pune Supergiants,2016,12,93,3,74,7.5405405405,0.2432432432
Delhi Daredevils,2011,9,97,1,85,6.8470588235,0.0705882353
Chennai Super Kings,2008,6,136,4,102,8,0.2352941176
Deccan Chargers,2011,7,81,2,87,5.5862068966,0.1379310345
Mumbai Indians,2011,6,129,4,101,7.6633663366,0.2376237624
Mumbai Indians,2008,20,95,10,57,10,1.0526315789
Kings XI Punjab,2008,4,136,3,91,8.967032967,0.1978021978
Rajasthan Royals,2011,3,86,3,81,6.3703703704,0.2222222222
Kolkata Knight Riders,2015,16,110,3,70,9.4285714286,0.2571428571
Royal Challengers Bangalore,2011,4,146,3,100,8.76,0.18
Delhi Daredevils,2015,11,132,3,89,8.8988764045,0.202247191
Delhi Daredevils,2008,19,95,4,50,11.4,0.48
Chennai Super Kings,2012,20,171,13,99,10.3636363636,0.7878787879
Chennai Super Kings,2015,10,113,6,109,6.2201834862,0.3302752294
Kings XI Punjab,2011,8,117,3,85,8.2588235294,0.2117647059
Rajasthan Royals,2015,17,145,3,80,10.875,0.225
Rajasthan Royals,2014,9,82,6,86,5.7209302326,0.4186046512
Kolkata Knight Riders,2010,4,99,2,87,6.8275862069,0.1379310345
Delhi Daredevils,2012,5,141,3,112,7.5535714286,0.1607142857
Mumbai Indians,2016,19,118,6,69,10.2608695652,0.5217391304
Pune Warriors,2013,4,128,2,100,7.68,0.12
Chennai Super Kings,2011,5,125,3,98,7.6530612245,0.1836734694
Deccan Chargers,2010,6,84,6,99,5.0909090909,0.3636363636
Mumbai Indians,2008,5,150,1,92,9.7826086957,0.0652173913
Kolkata Knight Riders,2014,13,152,3,96,9.5,0.1875
Royal Challengers Bangalore,2008,3,80,5,89,5.393258427,0.3370786517
Delhi Daredevils,2008,12,94,3,80,7.05,0.225
Delhi Daredevils,2009,18,108,8,76,8.5263157895,0.6315789474
Chennai Super Kings,2015,19,137,11,92,8.9347826087,0.7173913043
Chennai Super Kings,2014,15,138,5,98,8.4489795918,0.306122449
Mumbai Indians,2013,7,140,3,118,7.1186440678,0.1525423729
Kings XI Punjab,2010,5,115,4,86,8.023255814,0.2790697674
Rajasthan Royals,2009,10,87,5,81,6.4444444444,0.3703703704
Kolkata Knight Riders,2009,3,92,3,83,6.6506024096,0.2168674699
Delhi Daredevils,2013,8,97,5,99,5.8787878788,0.303030303
Mumbai Indians,2013,10,110,5,116,5.6896551724,0.2586206897
Mumbai Indians,2013,18,189,13,120,9.45,0.65
Pune Warriors,2012,1,80,7,101,4.7524752475,0.4158415842
Pune Warriors,2012,9,100,6,101,5.9405940594,0.3564356436
Royal Challengers Bangalore,2014,19,121,4,69,10.5217391304,0.347826087
Kings XI Punjab,2014,10,130,4,105,7.4285714286,0.2285714286
Deccan Chargers,2009,5,114,5,98,6.9795918367,0.306122449
Mumbai Indians,2009,4,84,3,82,6.1463414634,0.2195121951
Kolkata Knight Riders,2013,14,125,5,99,7.5757575758,0.303030303
Kings XI Punjab,2016,20,113,10,66,10.2727272727,0.9090909091
Royal Challengers Bangalore,2009,14,152,3,99,9.2121212121,0.1818181818
Delhi Daredevils,2009,9,91,4,86,6.3488372093,0.2790697674
Delhi Daredevils,2010,17,96,7,85,6.7764705882,0.4941176471
Chennai Super Kings,2009,16,116,4,86,8.0930232558,0.2790697674
Sunrisers Hyderabad,2013,17,134,5,99,8.1212121212,0.303030303
Kings XI Punjab,2009,6,89,5,90,5.9333333333,0.3333333333
Pune Warriors,2011,20,110,9,51,12.9411764706,1.0588235294
Rajasthan Royals,2013,10,128,7,110,6.9818181818,0.3818181818
Kolkata Knight Riders,2008,6,74,7,83,5.3493975904,0.5060240964
Rising Pune Supergiants,2016,17,113,2,70,9.6857142857,0.1714285714
Delhi Daredevils,2014,7,115,4,87,7.9310344828,0.275862069
Sunrisers Hyderabad,2014,11,92,2,78,7.0769230769,0.1538461538
Mumbai Indians,2015,15,149,3,93,9.6129032258,0.1935483871
Royal Challengers Bangalore,2014,12,124,1,84,8.8571428571,0.0714285714
Royal Challengers Bangalore,2015,18,138,1,61,13.5737704918,0.0983606557
Deccan Chargers,2008,12,112,4,85,7.9058823529,0.2823529412
Kochi Tuskers Kerala,2011,15,112,3,79,8.5063291139,0.2278481013
Mumbai Indians,2014,3,111,4,94,7.085106383,0.2553191489
Kings XI Punjab,2015,18,87,7,74,7.0540540541,0.5675675676
Kolkata Knight Riders,2012,3,97,5,107,5.4392523364,0.2803738318
Delhi Daredevils,2010,10,95,5,87,6.5517241379,0.3448275862
Chennai Super Kings,2008,13,130,2,95,8.2105263158,0.1263157895
Gujarat Lions,2016,12,108,6,97,6.6804123711,0.3711340206
Kings XI Punjab,2008,11,127,4,89,8.5617977528,0.2696629213
Pune Warriors,2011,13,72,8,81,5.3333333333,0.5925925926
Rajasthan Royals,2011,12,94,4,78,7.2307692308,0.3076923077
Kolkata Knight Riders,2015,5,106,5,81,7.8518518519,0.3703703704
Delhi Daredevils,2015,2,106,1,91,6.989010989,0.0659340659
Sunrisers Hyderabad,2015,10,109,6,85,7.6941176471,0.4235294118
Kolkata Knight Riders,2011,15,118,3,74,9.5675675676,0.2432432432
Royal Challengers Bangalore,2015,9,109,3,85,7.6941176471,0.2117647059
Royal Challengers Bangalore,2012,17,140,5,96,8.75,0.3125
Kolkata Knight Riders,2012,1,109,2,106,6.1698113208,0.1132075472
Royal Challengers Bangalore,2016,2,96,6,100,5.76,0.36
Mumbai Indians,2015,2,104,2,105,5.9428571429,0.1142857143
Kings XI Punjab,2014,19,166,6,93,10.7096774194,0.3870967742
Delhi Daredevils,2011,7,70,6,86,4.8837209302,0.4186046512
Chennai Super Kings,2011,14,115,2,100,6.9,0.12
Kolkata Knight Riders,2014,8,104,2,97,6.4329896907,0.1237113402
Delhi Daredevils,2008,1,111,2,89,7.4831460674,0.1348314607
Kolkata Knight Riders,2010,14,111,6,87,7.6551724138,0.4137931034
Royal Challengers Bangalore,2012,10,111,4,92,7.2391304348,0.2608695652
Mumbai Indians,2012,1,51,4,104,2.9423076923,0.2307692308
Kings XI Punjab,2013,20,95,14,67,8.5074626866,1.2537313433
Rajasthan Royals,2013,1,81,2,113,4.3008849558,0.1061946903
Chennai Super Kings,2010,19,157,6,95,9.9157894737,0.3789473684
Kolkata Knight Riders,2016,7,101,3,86,7.0465116279,0.2093023256
Rajasthan Royals,2010,12,145,2,88,9.8863636364,0.1363636364
Kolkata Knight Riders,2013,7,102,5,99,6.1818181818,0.303030303
Delhi Daredevils,2009,4,106,5,93,6.8387096774,0.3225806452
Sunrisers Hyderabad,2013,16,139,7,100,8.34,0.42
Mumbai Indians,2015,10,136,3,97,8.412371134,0.1855670103
Kolkata Knight Riders,2009,13,85,4,74,6.8918918919,0.3243243243
Royal Challengers Bangalore,2013,15,145,0,97,8.9690721649,0
Chennai Super Kings,2013,15,149,1,107,8.3551401869,0.0560747664
Sunrisers Hyderabad,2014,4,128,3,89,8.6292134831,0.202247191
Kings XI Punjab,2013,5,122,3,97,7.5463917526,0.1855670103
Rajasthan Royals,2012,4,139,0,98,8.5102040816,0
Royal Challengers Bangalore,2014,1,78,4,86,5.4418604651,0.2790697674
Kolkata Knight Riders,2016,19,101,5,69,8.7826086957,0.4347826087
Chennai Super Kings,2010,10,131,8,98,8.0204081633,0.4897959184
Deccan Chargers,2008,19,123,13,76,9.7105263158,1.0263157895
Kochi Tuskers Kerala,2011,6,143,3,91,9.4285714286,0.1978021978
Royal Challengers Bangalore,2010,2,109,1,105,6.2285714286,0.0571428571
Kings XI Punjab,2016,2,107,2,87,7.3793103448,0.1379310345
Delhi Daredevils,2010,3,143,2,88,9.75,0.1363636364
Gujarat Lions,2016,3,154,2,99,9.3333333333,0.1212121212
Deccan Chargers,2012,13,91,5,90,6.0666666667,0.3333333333
Mumbai Indians,2010,14,136,7,100,8.16,0.42
Kings XI Punjab,2008,18,123,6,83,8.8915662651,0.4337349398
Pune Warriors,2011,6,108,4,82,7.9024390244,0.2926829268
Kolkata Knight Riders,2008,12,102,4,83,7.3734939759,0.2891566265
Royal Challengers Bangalore,2010,16,118,8,85,8.3294117647,0.5647058824
Chennai Super Kings,2012,14,159,5,110,8.6727272727,0.2727272727
Sunrisers Hyderabad,2015,1,97,3,87,6.6896551724,0.2068965517
Kings XI Punjab,2012,4,101,3,96,6.3125,0.1875
Rajasthan Royals,2015,3,99,1,82,7.243902439,0.0731707317
Kolkata Knight Riders,2011,8,89,1,91,5.8681318681,0.0659340659
Royal Challengers Bangalore,2015,4,92,4,91,6.0659340659,0.2637362637
Delhi Daredevils,2012,19,103,4,66,9.3636363636,0.3636363636
Mumbai Indians,2016,13,111,5,86,7.7441860465,0.3488372093
Sunrisers Hyderabad,2016,7,90,2,106,5.0943396226,0.1132075472
Mumbai Indians,2015,9,121,2,97,7.4845360825,0.1237113402
Royal Challengers Bangalore,2016,11,136,6,97,8.412371134,0.3711340206
Delhi Daredevils,2016,4,130,3,87,8.9655172414,0.2068965517
Pune Warriors,2013,18,110,10,96,6.875,0.625
Delhi Daredevils,2011,14,81,5,79,6.1518987342,0.3797468354
Deccan Chargers,2011,14,117,4,84,8.3571428571,0.2857142857
Mumbai Indians,2011,15,123,4,91,8.1098901099,0.2637362637
Kolkata Knight Riders,2015,11,90,4,74,7.2972972973,0.3243243243
Kolkata Knight Riders,2016,18,123,7,77,9.5844155844,0.5454545455
Delhi Daredevils,2016,18,132,5,80,9.9,0.375
Royal Challengers Bangalore,2011,13,120,6,97,7.4226804124,0.3711340206
Chennai Super Kings,2015,13,126,7,102,7.4117647059,0.4117647059
Kings XI Punjab,2013,9,95,5,96,5.9375,0.3125
Kings XI Punjab,2011,3,133,3,90,8.8666666667,0.2
Rajasthan Royals,2014,6,115,6,88,7.8409090909,0.4090909091
Kolkata Knight Riders,2010,5,141,5,92,9.1956521739,0.3260869565
Royal Challengers Bangalore,2012,3,131,5,94,8.3617021277,0.3191489362
Delhi Daredevils,2012,12,137,6,105,7.8285714286,0.3428571429
Delhi Daredevils,2013,18,94,11,88,6.4090909091,0.75
Royal Challengers Bangalore,2016,20,139,13,73,11.4246575342,1.0684931507
Pune Warriors,2013,7,103,2,99,6.2424242424,0.1212121212
Pune Warriors,2012,19,142,8,99,8.6060606061,0.4848484848
Mumbai Indians,2012,16,101,10,104,5.8269230769,0.5769230769
Kolkata Knight Riders,2016,14,123,7,86,8.5813953488,0.488372093
Mumbai Indians,2008,16,113,4,71,9.5492957746,0.338028169
Mumbai Indians,2009,18,145,3,73,11.9178082192,0.2465753425
Rajasthan Royals,2010,3,122,6,91,8.043956044,0.3956043956
Kolkata Knight Riders,2014,10,117,4,97,7.2371134021,0.2474226804
Royal Challengers Bangalore,2008,14,103,8,87,7.1034482759,0.5517241379
Chennai Super Kings,2014,12,123,4,97,7.6082474227,0.2474226804
Sunrisers Hyderabad,2013,7,114,2,107,6.3925233645,0.1121495327
Kings XI Punjab,2010,2,103,3,90,6.8666666667,0.2
Rajasthan Royals,2009,5,98,3,79,7.4430379747,0.2278481013
Kolkata Knight Riders,2009,6,109,3,80,8.175,0.225
Royal Challengers Bangalore,2013,6,115,3,101,6.8316831683,0.1782178218
Delhi Daredevils,2013,9,110,2,97,6.8041237113,0.1237113402
Delhi Daredevils,2014,17,115,6,80,8.625,0.45
Kings XI Punjab,2015,5,100,8,84,7.1428571429,0.5714285714
Pune Warriors,2012,6,139,4,98,8.5102040816,0.2448979592
Rajasthan Royals,2012,11,130,4,98,7.9591836735,0.2448979592
Chennai Super Kings,2010,1,90,4,107,5.046728972,0.2242990654
Deccan Chargers,2009,16,99,4,85,6.9882352941,0.2823529412
Mumbai Indians,2009,9,114,1,81,8.4444444444,0.0740740741
Mumbai Indians,2014,17,116,7,88,7.9090909091,0.4772727273
Kolkata Knight Riders,2013,9,108,3,96,6.75,0.1875
Kolkata Knight Riders,2012,17,142,8,96,8.875,0.5
Royal Challengers Bangalore,2009,3,105,3,101,6.2376237624,0.1782178218
Chennai Super Kings,2014,19,119,9,83,8.6024096386,0.6506024096
Chennai Super Kings,2009,11,90,4,85,6.3529411765,0.2823529412
Mumbai Indians,2010,3,122,1,107,6.8411214953,0.0560747664
Kings XI Punjab,2009,1,60,5,92,3.9130434783,0.3260869565
Rajasthan Royals,2008,8,132,2,101,7.8415841584,0.1188118812
Kolkata Knight Riders,2008,3,90,8,82,6.5853658537,0.5853658537
Rising Pune Supergiants,2016,14,75,6,75,6,0.48
Delhi Daredevils,2014,10,89,7,86,6.2093023256,0.488372093
Sunrisers Hyderabad,2014,18,108,4,78,8.3076923077,0.3076923077
Rajasthan Royals,2015,12,109,3,81,8.0740740741,0.2222222222
Royal Challengers Bangalore,2014,15,128,6,85,9.0352941176,0.4235294118
Sunrisers Hyderabad,2016,16,134,11,98,8.2040816327,0.6734693878
Kolkata Knight Riders,2012,14,105,4,98,6.4285714286,0.2448979592
Deccan Chargers,2008,1,90,0,87,6.2068965517,0
Kochi Tuskers Kerala,2011,20,76,8,50,9.12,0.96
Mumbai Indians,2014,10,119,5,91,7.8461538462,0.3296703297
Mumbai Indians,2015,20,171,13,90,11.4,0.8666666667
Kolkata Knight Riders,2012,8,133,0,109,7.3211009174,0
Chennai Super Kings,2009,20,107,12,71,9.0422535211,1.014084507
Chennai Super Kings,2008,10,104,2,92,6.7826086957,0.1304347826
Gujarat Lions,2016,17,131,9,96,8.1875,0.5625
Mumbai Indians,2011,2,106,4,100,6.36,0.24
Kings XI Punjab,2008,16,98,1,85,6.9176470588,0.0705882353
Rajasthan Royals,2011,7,80,2,80,6,0.15
Kolkata Knight Riders,2015,4,140,3,80,10.5,0.225
Royal Challengers Bangalore,2011,8,163,2,98,9.9795918367,0.1224489796
Delhi Daredevils,2015,15,103,4,81,7.6296296296,0.2962962963
Sunrisers Hyderabad,2015,19,124,5,73,10.1917808219,0.4109589041
Rajasthan Royals,2014,13,117,3,85,8.2588235294,0.2117647059
Royal Challengers Bangalore,2015,14,109,5,69,9.4782608696,0.4347826087
Delhi Daredevils,2012,1,133,5,111,7.1891891892,0.2702702703
Mumbai Indians,2015,11,118,5,97,7.2989690722,0.3092783505
Mumbai Indians,2012,19,135,8,89,9.1011235955,0.5393258427
Chennai Super Kings,2008,17,122,3,85,8.6117647059,0.2117647059
Chennai Super Kings,2011,9,146,1,97,9.0309278351,0.0618556701
Mumbai Indians,2008,1,88,2,97,5.4432989691,0.1237113402
Kolkata Knight Riders,2014,1,98,6,110,5.3454545455,0.3272727273
Royal Challengers Bangalore,2008,7,68,3,92,4.4347826087,0.1956521739
Delhi Daredevils,2008,16,78,5,68,6.8823529412,0.4411764706
Rajasthan Royals,2009,14,89,6,78,6.8461538462,0.4615384615
Royal Challengers Bangalore,2012,13,158,2,93,10.1935483871,0.1290322581
Delhi Daredevils,2013,4,104,6,100,6.24,0.36
Mumbai Indians,2012,12,135,3,105,7.7142857143,0.1714285714
Rajasthan Royals,2013,8,122,7,109,6.7155963303,0.3853211009
Chennai Super Kings,2011,18,153,8,94,9.7659574468,0.5106382979
Kolkata Knight Riders,2016,4,130,4,95,8.2105263158,0.2526315789
Mumbai Indians,2009,8,101,3,83,7.3012048193,0.2168674699
Royal Challengers Bangalore,2010,5,135,5,100,8.1,0.3
Kolkata Knight Riders,2013,2,127,6,101,7.5445544554,0.3564356436
Royal Challengers Bangalore,2009,10,90,4,96,5.625,0.25
Delhi Daredevils,2009,13,98,0,84,7,0
Deccan Chargers,2012,19,152,9,85,10.7294117647,0.6352941176
Rajasthan Royals,2008,15,177,4,94,11.2978723404,0.2553191489
Royal Challengers Bangalore,2013,12,111,3,94,7.085106383,0.1914893617
Delhi Daredevils,2014,3,90,7,87,6.2068965517,0.4827586207
Chennai Super Kings,2013,6,172,3,110,9.3818181818,0.1636363636
Sunrisers Hyderabad,2014,7,77,3,78,5.9230769231,0.2307692308
Kings XI Punjab,2013,16,152,5,93,9.8064516129,0.3225806452
Kings XI Punjab,2012,18,138,9,92,9,0.5869565217
Rajasthan Royals,2012,5,132,2,98,8.0816326531,0.1224489796
Royal Challengers Bangalore,2014,8,66,2,86,4.6046511628,0.1395348837
Chennai Super Kings,2010,15,142,4,94,9.0638297872,0.2553191489
Kochi Tuskers Kerala,2011,11,81,3,81,6,0.2222222222
Mumbai Indians,2014,7,98,3,91,6.4615384615,0.1978021978
Kolkata Knight Riders,2012,15,114,7,98,6.9795918367,0.4285714286
Delhi Daredevils,2010,14,117,2,89,7.8876404494,0.1348314607
Gujarat Lions,2016,16,137,2,94,8.7446808511,0.1276595745
Deccan Chargers,2012,10,90,1,94,5.7446808511,0.0638297872
Deccan Chargers,2011,20,121,10,82,8.8536585366,0.7317073171
Pune Warriors,2011,1,83,2,81,6.1481481481,0.1481481481
Rajasthan Royals,2011,16,80,4,63,7.619047619,0.380952381
Rising Pune Supergiants,2016,4,107,4,86,7.4651162791,0.2790697674
Delhi Daredevils,2015,6,95,2,86,6.6279069767,0.1395348837
Chennai Super Kings,2012,7,117,4,110,6.3818181818,0.2181818182
Sunrisers Hyderabad,2015,6,121,5,88,8.25,0.3409090909
Mumbai Indians,2013,1,76,6,114,4,0.3157894737
Kings XI Punjab,2012,9,92,6,101,5.4653465347,0.3564356436
Kings XI Punjab,2011,17,110,3,86,7.6744186047,0.2093023256
Rajasthan Royals,2015,6,106,3,78,8.1538461538,0.2307692308
Kolkata Knight Riders,2011,11,136,3,86,9.488372093,0.2093023256
Royal Challengers Bangalore,2015,5,114,9,95,7.2,0.5684210526
Mumbai Indians,2016,8,95,2,87,6.5517241379,0.1379310345
Sunrisers Hyderabad,2016,2,132,2,108,7.3333333333,0.1111111111
Royal Challengers Bangalore,2016,6,134,2,97,8.2886597938,0.1237113402
Mumbai Indians,2015,6,113,7,98,6.9183673469,0.4285714286
Delhi Daredevils,2011,3,107,4,88,7.2954545455,0.2727272727
Deccan Chargers,2011,9,104,4,84,7.4285714286,0.2857142857
Deccan Chargers,2010,17,138,6,99,8.3636363636,0.3636363636
Rajasthan Royals,2010,17,111,6,73,9.1232876712,0.4931506849
Royal Challengers Bangalore,2011,10,107,4,98,6.5510204082,0.2448979592
Delhi Daredevils,2008,5,121,5,86,8.4418604651,0.3488372093
Chennai Super Kings,2015,8,137,3,105,7.8285714286,0.1714285714
Delhi Daredevils,2016,19,71,4,63,6.7619047619,0.380952381
Kings XI Punjab,2011,10,122,2,88,8.3181818182,0.1363636364
Kings XI Punjab,2010,20,133,8,67,11.9104477612,0.7164179104
Rajasthan Royals,2014,3,97,5,86,6.7674418605,0.3488372093
Kolkata Knight Riders,2010,10,87,0,86,6.0697674419,0
Royal Challengers Bangalore,2012,6,111,7,93,7.1612903226,0.4516129032
Delhi Daredevils,2012,15,103,8,100,6.18,0.48
Kings XI Punjab,2015,4,94,4,84,6.7142857143,0.2857142857
Mumbai Indians,2012,5,126,1,106,7.1320754717,0.0566037736
Pune Warriors,2013,14,104,7,96,6.5,0.4375
Rajasthan Royals,2013,13,131,6,112,7.0178571429,0.3214285714
Deccan Chargers,2010,12,141,4,97,8.7216494845,0.2474226804
Deccan Chargers,2009,18,129,7,85,9.1058823529,0.4941176471
Rajasthan Royals,2010,8,113,5,86,7.8837209302,0.3488372093
Royal Challengers Bangalore,2008,9,101,4,89,6.808988764,0.2696629213
Royal Challengers Bangalore,2009,17,128,6,94,8.170212766,0.3829787234
Delhi Daredevils,2009,8,92,2,85,6.4941176471,0.1411764706
Chennai Super Kings,2014,1,108,2,99,6.5454545455,0.1212121212
Sunrisers Hyderabad,2013,4,85,3,104,4.9038461538,0.1730769231
Mumbai Indians,2010,17,173,9,104,9.9807692308,0.5192307692
Kings XI Punjab,2010,11,117,7,85,8.2588235294,0.4941176471
Kings XI Punjab,2009,19,89,6,76,7.0263157895,0.4736842105
Rajasthan Royals,2009,4,68,3,82,4.9756097561,0.2195121951
Kolkata Knight Riders,2009,9,77,2,78,5.9230769231,0.1538461538
Kolkata Knight Riders,2008,17,113,3,68,9.9705882353,0.2647058824
Royal Challengers Bangalore,2013,3,131,3,103,7.6310679612,0.1747572816
Delhi Daredevils,2013,14,113,6,101,6.7128712871,0.3564356436
Chennai Super Kings,2013,11,128,5,103,7.4563106796,0.2912621359
Kings XI Punjab,2016,16,117,5,81,8.6666666667,0.3703703704
Mumbai Indians,2013,12,160,7,114,8.4210526316,0.3684210526
Pune Warriors,2012,15,126,4,97,7.793814433,0.2474226804
Rajasthan Royals,2012,16,158,2,100,9.48,0.12
Chennai Super Kings,2010,6,143,2,100,8.58,0.12
Kolkata Knight Riders,2012,11,114,5,103,6.640776699,0.2912621359
Deccan Chargers,2009,11,102,4,96,6.375,0.25
Kochi Tuskers Kerala,2011,2,96,6,89,6.4719101124,0.404494382
Royal Challengers Bangalore,2009,8,116,3,98,7.1020408163,0.1836734694
Delhi Daredevils,2010,7,116,5,86,8.0930232558,0.3488372093
Delhi Daredevils,2010,2,138,7,89,9.3033707865,0.4719101124
Gujarat Lions,2016,7,146,5,104,8.4230769231,0.2884615385
Deccan Chargers,2012,1,99,2,91,6.5274725275,0.1318681319
Mumbai Indians,2010,10,114,7,99,6.9090909091,0.4242424242
Mumbai Indians,2011,20,148,7,77,11.5324675325,0.5454545455
Kings XI Punjab,2009,12,100,4,88,6.8181818182,0.2727272727
Rajasthan Royals,2008,1,85,1,101,5.0495049505,0.0594059406
Kolkata Knight Riders,2008,16,112,5,76,8.8421052632,0.3947368421
Kolkata Knight Riders,2015,18,100,9,67,8.9552238806,0.8059701493
Royal Challengers Bangalore,2010,4,136,1,103,7.9223300971,0.0582524272
Delhi Daredevils,2014,13,108,6,87,7.4482758621,0.4137931034
Chennai Super Kings,2013,20,184,5,88,12.5454545455,0.3409090909
Chennai Super Kings,2012,10,102,4,109,5.6146788991,0.2201834862
Kings XI Punjab,2012,8,109,8,97,6.7422680412,0.4948453608
Rajasthan Royals,2015,15,103,9,84,7.3571428571,0.6428571429
Kolkata Knight Riders,2011,4,111,4,90,7.4,0.2666666667
Mumbai Indians,2016,9,103,5,85,7.2705882353,0.3529411765
Sunrisers Hyderabad,2016,11,102,3,102,6,0.1764705882
Deccan Chargers,2008,6,135,3,91,8.9010989011,0.1978021978
Rising Pune Supergiants,2016,3,104,5,85,7.3411764706,0.3529411765
Royal Challengers Bangalore,2016,15,179,2,98,10.9591836735,0.1224489796
Delhi Daredevils,2016,8,110,3,85,7.7647058824,0.2117647059
Delhi Daredevils,2011,10,105,4,86,7.3255813953,0.2790697674
Chennai Super Kings,2008,3,119,5,104,6.8653846154,0.2884615385
Deccan Chargers,2011,2,97,3,88,6.6136363636,0.2045454545
Mumbai Indians,2011,11,93,6,97,5.7525773196,0.3711340206
Mumbai Indians,2008,19,103,6,66,9.3636363636,0.5454545455
Kings XI Punjab,2008,5,152,3,93,9.8064516129,0.1935483871
Rajasthan Royals,2011,2,95,1,81,7.037037037,0.0740740741
Kolkata Knight Riders,2015,15,105,5,66,9.5454545455,0.4545454545
Kolkata Knight Riders,2014,19,75,10,66,6.8181818182,0.9090909091
Royal Challengers Bangalore,2011,1,136,5,101,8.0792079208,0.297029703
Delhi Daredevils,2015,12,116,3,86,8.0930232558,0.2093023256
Chennai Super Kings,2012,17,166,6,106,9.3962264151,0.3396226415
Chennai Super Kings,2015,9,130,6,104,7.5,0.3461538462
Kings XI Punjab,2011,7,118,0,87,8.1379310345,0
Rajasthan Royals,2014,10,104,1,86,7.2558139535,0.0697674419
Kolkata Knight Riders,2010,1,94,3,90,6.2666666667,0.2
Delhi Daredevils,2012,8,145,3,111,7.8378378378,0.1621621622
Mumbai Indians,2016,18,145,6,82,10.6097560976,0.4390243902
Rajasthan Royals,2008,9,136,2,101,8.0792079208,0.1188118812
