partner_name,team,partnership,winner,loser
AG Murtaza- Harbhajan Singh,team_Mumbai Indians,11,winner_Rajasthan Royals,loser_Mumbai Indians
R Dravid- SR Watson,team_Rajasthan Royals,28,winner_Rajasthan Royals,loser_Mumbai Indians
J Botha- SR Watson,team_Rajasthan Royals,39,winner_Rajasthan Royals,loser_Mumbai Indians
J Botha- LRPL Taylor,team_Rajasthan Royals,34,winner_Rajasthan Royals,loser_Mumbai Indians
AL Menaria- LRPL Taylor,team_Rajasthan Royals,5,winner_Rajasthan Royals,loser_Mumbai Indians
JH Kallis- SP Goswami,team_Kolkata Knight Riders,34,winner_Kolkata Knight Riders,loser_Delhi Daredevils
G Gambhir- SP Goswami,team_Kolkata Knight Riders,13,winner_Kolkata Knight Riders,loser_Delhi Daredevils
G Gambhir- MK Tiwary,team_Kolkata Knight Riders,40,winner_Kolkata Knight Riders,loser_Delhi Daredevils
MK Tiwary- YK Pathan,team_Kolkata Knight Riders,23,winner_Kolkata Knight Riders,loser_Delhi Daredevils
EJG Morgan- MK Tiwary,team_Kolkata Knight Riders,0,winner_Kolkata Knight Riders,loser_Delhi Daredevils
MK Tiwary- RN ten Doeschate,team_Kolkata Knight Riders,35,winner_Kolkata Knight Riders,loser_Delhi Daredevils
B Lee- MK Tiwary,team_Kolkata Knight Riders,5,winner_Kolkata Knight Riders,loser_Delhi Daredevils
L Balaji- MK Tiwary,team_Kolkata Knight Riders,3,winner_Kolkata Knight Riders,loser_Delhi Daredevils
DA Warner- V Sehwag,team_Delhi Daredevils,17,winner_Kolkata Knight Riders,loser_Delhi Daredevils
JR Hopes- V Sehwag,team_Delhi Daredevils,29,winner_Kolkata Knight Riders,loser_Delhi Daredevils
IK Pathan- JR Hopes,team_Delhi Daredevils,18,winner_Kolkata Knight Riders,loser_Delhi Daredevils
JR Hopes- TR Birt,team_Delhi Daredevils,14,winner_Kolkata Knight Riders,loser_Delhi Daredevils
JR Hopes- Y Venugopal Rao,team_Delhi Daredevils,8,winner_Kolkata Knight Riders,loser_Delhi Daredevils
NV Ojha- Y Venugopal Rao,team_Delhi Daredevils,2,winner_Kolkata Knight Riders,loser_Delhi Daredevils
Y Nagar- Y Venugopal Rao,team_Delhi Daredevils,38,winner_Kolkata Knight Riders,loser_Delhi Daredevils
AB Agarkar- Y Nagar,team_Delhi Daredevils,0,winner_Kolkata Knight Riders,loser_Delhi Daredevils
M Morkel- Y Nagar,team_Delhi Daredevils,7,winner_Kolkata Knight Riders,loser_Delhi Daredevils
M Morkel- UT Yadav,team_Delhi Daredevils,1,winner_Kolkata Knight Riders,loser_Delhi Daredevils
S Dhawan- S Sohal,team_Deccan Chargers,4,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
B Chipli- S Dhawan,team_Deccan Chargers,3,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
B Chipli- KC Sangakkara,team_Deccan Chargers,14,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
CL White- KC Sangakkara,team_Deccan Chargers,90,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DT Christian- KC Sangakkara,team_Deccan Chargers,0,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DB Ravi Teja- DT Christian,team_Deccan Chargers,17,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
A Mishra- DB Ravi Teja,team_Deccan Chargers,0,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DB Ravi Teja- MS Gony,team_Deccan Chargers,2,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
BB McCullum- DPMD Jayawardene,team_Kochi Tuskers Kerala,2,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DPMD Jayawardene- PA Patel,team_Kochi Tuskers Kerala,1,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DPMD Jayawardene- RV Gomez,team_Kochi Tuskers Kerala,0,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
BJ Hodge- DPMD Jayawardene,team_Kochi Tuskers Kerala,1,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DPMD Jayawardene- KM Jadhav,team_Kochi Tuskers Kerala,4,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
DPMD Jayawardene- RA Jadeja,team_Kochi Tuskers Kerala,5,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
NLTC Perera- RA Jadeja,team_Kochi Tuskers Kerala,36,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
R Vinay Kumar- RA Jadeja,team_Kochi Tuskers Kerala,26,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
R Vinay Kumar- S Sreesanth,team_Kochi Tuskers Kerala,1,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
RP Singh- S Sreesanth,team_Kochi Tuskers Kerala,0,winner_Deccan Chargers,loser_Kochi Tuskers Kerala
JD Ryder- MD Mishra,team_Pune Warriors,22,winner_Chennai Super Kings,loser_Pune Warriors
MD Mishra- MK Pandey,team_Pune Warriors,0,winner_Chennai Super Kings,loser_Pune Warriors
M Manhas- MK Pandey,team_Pune Warriors,6,winner_Chennai Super Kings,loser_Pune Warriors
MK Pandey- Yuvraj Singh,team_Pune Warriors,13,winner_Chennai Super Kings,loser_Pune Warriors
RV Uthappa- Yuvraj Singh,team_Pune Warriors,42,winner_Chennai Super Kings,loser_Pune Warriors
MR Marsh- Yuvraj Singh,team_Pune Warriors,40,winner_Chennai Super Kings,loser_Pune Warriors
JE Taylor- Yuvraj Singh,team_Pune Warriors,18,winner_Chennai Super Kings,loser_Pune Warriors
M Vijay- MEK Hussey,team_Chennai Super Kings,37,winner_Chennai Super Kings,loser_Pune Warriors
M Vijay- S Badrinath,team_Chennai Super Kings,61,winner_Chennai Super Kings,loser_Pune Warriors
S Badrinath- SK Raina,team_Chennai Super Kings,65,winner_Chennai Super Kings,loser_Pune Warriors
DA Warner- V Sehwag,team_Delhi Daredevils,98,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
JR Hopes- V Sehwag,team_Delhi Daredevils,10,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
JR Hopes- MS Wade,team_Delhi Daredevils,25,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
JR Hopes- Y Venugopal Rao,team_Delhi Daredevils,47,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
JR Hopes- NV Ojha,team_Delhi Daredevils,27,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
IK Pathan- NV Ojha,team_Delhi Daredevils,9,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
IK Pathan- Y Nagar,team_Delhi Daredevils,9,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
CH Gayle- TM Dilshan,team_Royal Challengers Bangalore,10,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
CH Gayle- V Kohli,team_Royal Challengers Bangalore,82,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
