Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,batting_style,bowling_arm,bowling_style
JA Morkel,Sohail Tanvir,1,3,1,0,1,0,0,2,Left-hand bat,Left-arm,medium-fast
JA Morkel,VRV Singh,0,3,2,0,2,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,SB Bangar,2,1,1,0,1,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,R Sathish,1,4,0,0,0,0,1,0,Left-hand bat,Right-arm,medium
JA Morkel,IK Pathan,1,6,0,0,1,0,0,0,Left-hand bat,Left-arm,medium-fast
JA Morkel,M Morkel,1,2,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
JA Morkel,RG Sharma,2,4,1,0,0,0,1,0,Left-hand bat,Right-arm,offbreak
JA Morkel,A Nehra,2,10,0,0,2,0,0,1,Left-hand bat,Left-arm,medium-fast
JA Morkel,JE Taylor,2,0,0,0,0,0,0,1,Left-hand bat,Right-arm,fast
JA Morkel,Harbhajan Singh,2,0,3,0,0,0,2,1,Left-hand bat,Right-arm,offbreak
JA Morkel,PP Chawla,3,6,1,0,0,0,0,0,Left-hand bat,Left-arm,legbreak
JA Morkel,JR Hopes,0,1,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,Shoaib Ahmed,0,1,0,0,1,0,0,0,Left-hand bat,Right-arm,fast-medium
JA Morkel,PV Tambe,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,legbreak
JA Morkel,RE van der Merwe,3,4,0,0,0,0,0,0,Left-hand bat,Left-arm,slow
JA Morkel,RR Powar,1,0,0,0,0,0,0,0,Left-hand bat,Right-arm,offbreak
JA Morkel,P Awana,2,6,0,0,2,0,0,1,Left-hand bat,Right-arm,medium
JA Morkel,AM Salvi,1,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,R Sharma,3,0,0,0,0,0,0,0,Left-hand bat,Right-arm,legbreak
JA Morkel,VY Mahesh,4,2,0,0,1,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,S Narwal,0,1,0,0,0,0,1,0,Left-hand bat,Right-arm,medium
JA Morkel,V Pratap Singh,1,1,1,0,1,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,KA Pollard,6,6,0,0,0,0,0,1,Left-hand bat,Right-arm,medium-fast
JA Morkel,DW Steyn,5,5,0,0,1,0,0,2,Left-hand bat,Right-arm,fast
JA Morkel,SR Watson,11,5,2,0,1,0,1,1,Left-hand bat,Right-arm,fast-medium
JA Morkel,NLTC Perera,0,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium-fast
JA Morkel,AB Agarkar,3,3,0,0,1,0,2,0,Left-hand bat,Right-arm,fast
JA Morkel,R Vinay Kumar,1,6,2,0,2,0,1,2,Left-hand bat,Right-arm,medium
JA Morkel,P Kumar,6,11,0,0,2,0,0,1,Left-hand bat,Right-arm,medium
JA Morkel,V Kohli,0,0,1,0,2,0,3,0,Left-hand bat,Right-arm,medium
JA Morkel,IC Pandey,5,4,2,0,2,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,DP Vijaykumar,0,1,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
JA Morkel,SK Trivedi,3,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
T Thushara,RJ Harris,1,1,1,0,0,0,0,1,Left-hand bat,Right-arm,fast
T Thushara,SK Trivedi,1,2,0,0,0,0,0,0,Left-hand bat,Right-arm,medium
T Thushara,SL Malinga,2,1,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
T Thushara,B Lee,4,0,0,0,0,0,0,0,Left-hand bat,Right-arm,fast
T Thushara,Harmeet Singh,1,1,2,0,0,0,0,0,Left-hand bat,Right-arm,medium
T Thushara,IK Pathan,0,0,0,0,0,0,0,1,Left-hand bat,Left-arm,medium-fast
V Sehwag,JA Morkel,20,13,1,0,8,0,2,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,DJ Muthuswami,0,3,0,0,0,0,0,0,Right-hand bat,Right-arm,medium
V Sehwag,AC Thomas,5,2,0,0,1,0,0,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,AB McDonald,0,0,0,0,0,0,0,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,MJ McClenaghan,2,2,0,0,0,0,0,0,Right-hand bat,Left-arm,fast-medium
V Sehwag,MS Gony,5,7,2,1,4,0,2,2,Right-hand bat,Right-arm,medium
V Sehwag,NM Coulter-Nile,10,1,0,0,1,0,0,0,Right-hand bat,Right-arm,fast
V Sehwag,CH Morris,4,0,2,0,1,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,RJ Harris,7,2,4,0,2,0,0,0,Right-hand bat,Right-arm,fast
V Sehwag,DJ Bravo,1,5,0,0,1,0,0,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,Azhar Mahmood,2,2,0,0,1,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,A Singh,5,4,3,0,3,0,0,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,P Parameswaran,1,0,0,0,0,0,1,1,Right-hand bat,Left-arm,medium
V Sehwag,M de Lange,0,4,0,0,0,0,0,0,Right-hand bat,Right-arm,fast
V Sehwag,B Kumar,11,3,0,0,3,0,2,1,Right-hand bat,Right-arm,medium
V Sehwag,YA Abdulla,3,0,0,0,3,0,1,0,Right-hand bat,Left-arm,fast-medium
V Sehwag,Iqbal Abdulla,2,4,0,0,1,0,1,0,Right-hand bat,Left-arm,slow
V Sehwag,AG Murtaza,5,1,0,0,1,0,0,2,Right-hand bat,Left-arm,slow
V Sehwag,RJ Peterson,1,1,0,0,0,0,1,1,Right-hand bat,Left-arm,slow
V Sehwag,PJ Sangwan,0,2,0,0,2,0,1,0,Right-hand bat,Left-arm,medium
V Sehwag,SK Warne,1,2,0,0,1,0,0,0,Right-hand bat,Right-arm,legbreak
V Sehwag,UT Yadav,11,6,2,0,4,0,0,2,Right-hand bat,Right-arm,fast-medium
V Sehwag,A Symonds,2,3,1,0,4,0,3,1,Right-hand bat,Right-arm,medium
V Sehwag,RP Singh,22,12,5,0,15,0,1,1,Right-hand bat,Left-arm,fast-medium
V Sehwag,MC Henriques,2,0,0,0,0,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,R Rampaul,9,3,1,1,1,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,Kamran Khan,2,1,0,0,0,0,0,0,Right-hand bat,Left-arm,medium-fast
V Sehwag,KW Richardson,8,3,0,0,0,0,0,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,BW Hilfenhaus,11,3,1,0,2,0,1,2,Right-hand bat,Right-arm,fast-medium
V Sehwag,RN ten Doeschate,2,1,0,0,1,0,0,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,SJ Srivastava,1,3,2,0,0,0,1,0,Right-hand bat,Left-arm,fast-medium
V Sehwag,B Chipli,1,0,2,0,1,0,2,0,Right-hand bat,Right-arm,medium
V Sehwag,JM Kemp,0,2,1,0,1,0,1,0,Right-hand bat,Right-arm,fast-medium
V Sehwag,Yuvraj Singh,1,6,0,0,1,0,0,0,Right-hand bat,Left-arm,slow
V Sehwag,AD Russell,0,0,0,0,1,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,B Lee,12,10,0,0,5,0,0,1,Right-hand bat,Right-arm,fast
V Sehwag,R Bhatia,0,0,0,0,0,0,0,1,Right-hand bat,Right-arm,medium-fast
V Sehwag,AM Nayar,0,4,1,0,1,0,1,0,Right-hand bat,Right-arm,medium
V Sehwag,PP Ojha,10,10,2,0,1,0,0,2,Right-hand bat,Left-arm,slow
V Sehwag,AC Voges,5,0,0,0,2,0,0,0,Right-hand bat,Left-arm,slow
V Sehwag,M Ntini,6,2,0,0,1,0,1,0,Right-hand bat,Right-arm,fast
V Sehwag,JH Kallis,9,12,1,0,10,0,1,2,Right-hand bat,Right-arm,fast-medium
V Sehwag,I Malhotra,0,1,1,0,2,0,2,0,Right-hand bat,Right-arm,medium-fast
V Sehwag,MM Patel,16,12,1,0,5,0,3,3,Right-hand bat,Right-arm,medium-fast
V Sehwag,DE Bollinger,2,4,0,0,3,0,0,1,Right-hand bat,Left-arm,fast-medium
V Sehwag,CH Gayle,0,0,0,0,2,0,0,1,Right-hand bat,Right-arm,offbreak
V Sehwag,GB Hogg,3,7,2,0,2,0,1,2,Right-hand bat,Left-arm,slow
V Sehwag,S Sreesanth,12,4,2,0,1,0,1,1,Right-hand bat,Right-arm,fast-medium
V Sehwag,SP Narine,1,5,4,0,1,0,1,0,Right-hand bat,Right-arm,offbreak
V Sehwag,BAW Mendis,3,5,2,0,0,0,0,0,Right-hand bat,Right-arm,legbreak
V Sehwag,JJ Bumrah,5,4,1,0,2,0,1,0,Right-hand bat,Right-arm,medium
V Sehwag,Imran Tahir,0,2,0,0,2,0,1,0,Right-hand bat,Right-arm,legbreak
V Sehwag,Z Khan,8,10,2,0,9,0,1,3,Right-hand bat,Left-arm,fast-medium
