op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
SPD Smith,SR Watson,Rajasthan Royals,11,Draw,Draw
AC Gilchrist,Mandeep Singh,Kings XI Punjab,15,Sunrisers Hyderabad,Kings XI Punjab
PA Reddy,Q de Kock,Sunrisers Hyderabad,0,Sunrisers Hyderabad,Kings XI Punjab
DR Smith,SR Tendulkar,Mumbai Indians,29,Mumbai Indians,Royal Challengers Bangalore
CH Gayle,TM Dilshan,Royal Challengers Bangalore,35,Mumbai Indians,Royal Challengers Bangalore
G Gambhir,RV Uthappa,Kolkata Knight Riders,15,Gujarat Lions,Kolkata Knight Riders
BB McCullum,DR Smith,Gujarat Lions,42,Gujarat Lions,Kolkata Knight Riders
G Gambhir,JH Kallis,Kolkata Knight Riders,60,Kolkata Knight Riders,Royal Challengers Bangalore
CA Pujara,CH Gayle,Royal Challengers Bangalore,7,Kolkata Knight Riders,Royal Challengers Bangalore
DA Warner,S Dhawan,Sunrisers Hyderabad,10,Sunrisers Hyderabad,Kings XI Punjab
M Vijay,M Vohra,Kings XI Punjab,10,Sunrisers Hyderabad,Kings XI Punjab
GJ Bailey,PA Patel,Chennai Super Kings,59,Kolkata Knight Riders,Chennai Super Kings
BB McCullum,SC Ganguly,Kolkata Knight Riders,34,Kolkata Knight Riders,Chennai Super Kings
PA Patel,S Dhawan,Deccan Chargers,0,Deccan Chargers,Pune Warriors
MJ Clarke,MK Pandey,Pune Warriors,0,Deccan Chargers,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,96,Pune Warriors,Chennai Super Kings
M Vijay,S Anirudha,Chennai Super Kings,0,Pune Warriors,Chennai Super Kings
BB McCullum,MN van Wyk,Kolkata Knight Riders,58,Delhi Daredevils,Kolkata Knight Riders
DA Warner,G Gambhir,Delhi Daredevils,60,Delhi Daredevils,Kolkata Knight Riders
F du Plessis,M Vijay,Chennai Super Kings,0,Delhi Daredevils,Chennai Super Kings
NV Ojha,V Sehwag,Delhi Daredevils,32,Delhi Daredevils,Chennai Super Kings
DA Warner,S Dhawan,Sunrisers Hyderabad,18,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,RV Uthappa,Kolkata Knight Riders,92,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,RV Uthappa,Kolkata Knight Riders,14,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,V Kohli,Royal Challengers Bangalore,71,Royal Challengers Bangalore,Kolkata Knight Riders
M Vijay,MEK Hussey,Chennai Super Kings,6,Chennai Super Kings,Delhi Daredevils
DA Warner,NV Ojha,Delhi Daredevils,30,Chennai Super Kings,Delhi Daredevils
DA Warner,NV Ojha,Delhi Daredevils,24,Draw,Draw
BB McCullum,G Gambhir,Kolkata Knight Riders,6,Kolkata Knight Riders,Mumbai Indians
HH Gibbs,SR Tendulkar,Mumbai Indians,26,Kolkata Knight Riders,Mumbai Indians
ML Hayden,PA Patel,Chennai Super Kings,34,Chennai Super Kings,Mumbai Indians
L Ronchi,ST Jayasuriya,Mumbai Indians,9,Chennai Super Kings,Mumbai Indians
JH Kallis,SP Goswami,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Chennai Super Kings
PA Patel,SP Fleming,Chennai Super Kings,60,Royal Challengers Bangalore,Chennai Super Kings
BB McCullum,G Gambhir,Kolkata Knight Riders,48,Kolkata Knight Riders,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,24,Kolkata Knight Riders,Delhi Daredevils
S Dhawan,S Sohal,Deccan Chargers,14,Deccan Chargers,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,28,Deccan Chargers,Delhi Daredevils
M Vijay,ML Hayden,Chennai Super Kings,44,Chennai Super Kings,Mumbai Indians
S Dhawan,SR Tendulkar,Mumbai Indians,1,Chennai Super Kings,Mumbai Indians
CH Gayle,V Kohli,Royal Challengers Bangalore,41,Royal Challengers Bangalore,Rajasthan Royals
AM Rahane,SR Watson,Rajasthan Royals,14,Royal Challengers Bangalore,Rajasthan Royals
DA Warner,S Dhawan,Sunrisers Hyderabad,67,Delhi Daredevils,Sunrisers Hyderabad
MA Agarwal,Q de Kock,Delhi Daredevils,20,Delhi Daredevils,Sunrisers Hyderabad
CH Gayle,MA Agarwal,Royal Challengers Bangalore,53,Chennai Super Kings,Royal Challengers Bangalore
F du Plessis,M Vijay,Chennai Super Kings,56,Chennai Super Kings,Royal Challengers Bangalore
DA Warner,S Dhawan,Sunrisers Hyderabad,56,Sunrisers Hyderabad,Kings XI Punjab
M Vijay,M Vohra,Kings XI Punjab,42,Sunrisers Hyderabad,Kings XI Punjab
MA Agarwal,SS Iyer,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
LMP Simmons,PA Patel,Mumbai Indians,1,Mumbai Indians,Delhi Daredevils
BB McCullum,DR Smith,Chennai Super Kings,35,Chennai Super Kings,Rajasthan Royals
AM Nayar,AM Rahane,Rajasthan Royals,10,Chennai Super Kings,Rajasthan Royals
JD Ryder,SP Goswami,Royal Challengers Bangalore,2,Royal Challengers Bangalore,Kings XI Punjab
K Goel,Yuvraj Singh,Kings XI Punjab,70,Royal Challengers Bangalore,Kings XI Punjab
CH Gayle,SC Ganguly,Kolkata Knight Riders,94,Kolkata Knight Riders,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,0,Kolkata Knight Riders,Delhi Daredevils
R Dravid,S Chanderpaul,Royal Challengers Bangalore,1,Rajasthan Royals,Royal Challengers Bangalore
GC Smith,M Rawat,Rajasthan Royals,1,Rajasthan Royals,Royal Challengers Bangalore
SR Tendulkar,ST Jayasuriya,Mumbai Indians,12,Mumbai Indians,Rajasthan Royals
MJ Lumb,NV Ojha,Rajasthan Royals,9,Mumbai Indians,Rajasthan Royals
AJ Finch,S Dhawan,Sunrisers Hyderabad,20,Royal Challengers Bangalore,Sunrisers Hyderabad
CH Gayle,PA Patel,Royal Challengers Bangalore,5,Royal Challengers Bangalore,Sunrisers Hyderabad
M Vohra,WP Saha,Kings XI Punjab,16,Chennai Super Kings,Kings XI Punjab
BB McCullum,MEK Hussey,Chennai Super Kings,2,Chennai Super Kings,Kings XI Punjab
JEC Franklin,SR Tendulkar,Mumbai Indians,1,Royal Challengers Bangalore,Mumbai Indians
CH Gayle,TM Dilshan,Royal Challengers Bangalore,48,Royal Challengers Bangalore,Mumbai Indians
LMP Simmons,MEK Hussey,Mumbai Indians,76,Chennai Super Kings,Mumbai Indians
DR Smith,F du Plessis,Chennai Super Kings,60,Chennai Super Kings,Mumbai Indians
AM Rahane,F du Plessis,Rising Pune Supergiants,27,Gujarat Lions,Rising Pune Supergiants
AJ Finch,BB McCullum,Gujarat Lions,85,Gujarat Lions,Rising Pune Supergiants
G Gambhir,RV Uthappa,Kolkata Knight Riders,38,Kolkata Knight Riders,Delhi Daredevils
MK Tiwary,SS Iyer,Delhi Daredevils,63,Kolkata Knight Riders,Delhi Daredevils
SR Tendulkar,ST Jayasuriya,Mumbai Indians,70,Delhi Daredevils,Mumbai Indians
G Gambhir,V Sehwag,Delhi Daredevils,20,Delhi Daredevils,Mumbai Indians
T Kohli,YK Pathan,Rajasthan Royals,17,Delhi Daredevils,Rajasthan Royals
G Gambhir,V Sehwag,Delhi Daredevils,20,Delhi Daredevils,Rajasthan Royals
C Madan,SR Tendulkar,Mumbai Indians,41,Mumbai Indians,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,39,Mumbai Indians,Delhi Daredevils
ST Jayasuriya,YV Takawale,Mumbai Indians,46,Mumbai Indians,Delhi Daredevils
G Gambhir,V Sehwag,Delhi Daredevils,3,Mumbai Indians,Delhi Daredevils
AM Rahane,SR Watson,Rajasthan Royals,11,Rajasthan Royals,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,19,Rajasthan Royals,Kolkata Knight Riders
AG Paunikar,SR Watson,Rajasthan Royals,24,Kolkata Knight Riders,Rajasthan Royals
JH Kallis,MS Bisla,Kolkata Knight Riders,0,Kolkata Knight Riders,Rajasthan Royals
G Gambhir,V Sehwag,Delhi Daredevils,75,Kings XI Punjab,Delhi Daredevils
JR Hopes,SE Marsh,Kings XI Punjab,3,Kings XI Punjab,Delhi Daredevils
MJ Lumb,NV Ojha,Rajasthan Royals,47,Rajasthan Royals,Chennai Super Kings
M Vijay,ML Hayden,Chennai Super Kings,24,Rajasthan Royals,Chennai Super Kings
IR Jaggi,S Dhawan,Deccan Chargers,40,Rajasthan Royals,Deccan Chargers
AG Paunikar,R Dravid,Rajasthan Royals,31,Rajasthan Royals,Deccan Chargers
CH Gayle,V Kohli,Royal Challengers Bangalore,10,Draw,Draw
F du Plessis,MEK Hussey,Chennai Super Kings,5,Kolkata Knight Riders,Chennai Super Kings
BB McCullum,G Gambhir,Kolkata Knight Riders,14,Kolkata Knight Riders,Chennai Super Kings
CH Gayle,MA Agarwal,Royal Challengers Bangalore,6,Chennai Super Kings,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,4,Chennai Super Kings,Royal Challengers Bangalore
DA Warner,V Sehwag,Delhi Daredevils,4,Delhi Daredevils,Kochi Tuskers Kerala
BB McCullum,M Klinger,Kochi Tuskers Kerala,10,Delhi Daredevils,Kochi Tuskers Kerala
DA Warner,V Sehwag,Delhi Daredevils,146,Delhi Daredevils,Kings XI Punjab
