op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
AC Blizzard,SR Tendulkar,Mumbai Indians,50,Mumbai Indians,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,3,Mumbai Indians,Delhi Daredevils
PA Patel,S Dhawan,Deccan Chargers,39,Deccan Chargers,Pune Warriors
JD Ryder,MK Pandey,Pune Warriors,15,Deccan Chargers,Pune Warriors
AC Gilchrist,VVS Laxman,Deccan Chargers,2,Rajasthan Royals,Deccan Chargers
MJ Lumb,NV Ojha,Rajasthan Royals,55,Rajasthan Royals,Deccan Chargers
LMP Simmons,RG Sharma,Mumbai Indians,8,Rising Pune Supergiants,Mumbai Indians
AM Rahane,F du Plessis,Rising Pune Supergiants,78,Rising Pune Supergiants,Mumbai Indians
AM Nayar,AM Rahane,Rajasthan Royals,22,Kings XI Punjab,Rajasthan Royals
CA Pujara,V Sehwag,Kings XI Punjab,5,Kings XI Punjab,Rajasthan Royals
S Sohal,SM Katich,Kings XI Punjab,12,Kings XI Punjab,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,34,Kings XI Punjab,Deccan Chargers
AJ Finch,S Dhawan,Sunrisers Hyderabad,14,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,RV Uthappa,Kolkata Knight Riders,8,Kolkata Knight Riders,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,28,Sunrisers Hyderabad,Royal Challengers Bangalore
KL Rahul,V Kohli,Royal Challengers Bangalore,42,Sunrisers Hyderabad,Royal Challengers Bangalore
DR Smith,SR Tendulkar,Mumbai Indians,11,Delhi Daredevils,Mumbai Indians
DPMD Jayawardene,V Sehwag,Delhi Daredevils,151,Delhi Daredevils,Mumbai Indians
RS Bopara,SE Marsh,Kings XI Punjab,5,Mumbai Indians,Kings XI Punjab
S Dhawan,SR Tendulkar,Mumbai Indians,42,Mumbai Indians,Kings XI Punjab
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,93,Kings XI Punjab,Kochi Tuskers Kerala
AC Gilchrist,PC Valthaty,Kings XI Punjab,25,Kings XI Punjab,Kochi Tuskers Kerala
CH Gayle,SC Ganguly,Kolkata Knight Riders,17,Chennai Super Kings,Kolkata Knight Riders
M Vijay,ML Hayden,Chennai Super Kings,6,Chennai Super Kings,Kolkata Knight Riders
CA Pujara,V Sehwag,Kings XI Punjab,9,Kings XI Punjab,Kolkata Knight Riders
JH Kallis,MK Pandey,Kolkata Knight Riders,13,Kings XI Punjab,Kolkata Knight Riders
MJ Guptill,PA Patel,Mumbai Indians,2,Sunrisers Hyderabad,Mumbai Indians
DA Warner,S Dhawan,Sunrisers Hyderabad,4,Sunrisers Hyderabad,Mumbai Indians
TM Dilshan,V Kohli,Royal Challengers Bangalore,23,Royal Challengers Bangalore,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,56,Royal Challengers Bangalore,Rajasthan Royals
JH Kallis,MK Pandey,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,68,Royal Challengers Bangalore,Deccan Chargers
DA Warner,V Sehwag,Delhi Daredevils,41,Delhi Daredevils,Royal Challengers Bangalore
CL White,JH Kallis,Royal Challengers Bangalore,25,Delhi Daredevils,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,18,Deccan Chargers,Royal Challengers Bangalore
AC Gilchrist,MD Mishra,Deccan Chargers,11,Deccan Chargers,Royal Challengers Bangalore
JD Ryder,RV Uthappa,Pune Warriors,63,Royal Challengers Bangalore,Pune Warriors
CH Gayle,TM Dilshan,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Pune Warriors
M Vijay,M Vohra,Kings XI Punjab,21,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,RV Uthappa,Kolkata Knight Riders,82,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,V Sehwag,Delhi Daredevils,11,Kings XI Punjab,Delhi Daredevils
K Goel,SM Katich,Kings XI Punjab,2,Kings XI Punjab,Delhi Daredevils
BB McCullum,DR Smith,Chennai Super Kings,75,Chennai Super Kings,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,30,Chennai Super Kings,Sunrisers Hyderabad
GC Smith,JD Ryder,Pune Warriors,28,Delhi Daredevils,Pune Warriors
DA Warner,V Sehwag,Delhi Daredevils,75,Delhi Daredevils,Pune Warriors
SR Tendulkar,ST Jayasuriya,Mumbai Indians,21,Royal Challengers Bangalore,Mumbai Indians
JH Kallis,W Jaffer,Royal Challengers Bangalore,24,Royal Challengers Bangalore,Mumbai Indians
G Gambhir,RV Uthappa,Kolkata Knight Riders,23,Gujarat Lions,Kolkata Knight Riders
BB McCullum,DR Smith,Gujarat Lions,0,Gujarat Lions,Kolkata Knight Riders
M Vijay,MEK Hussey,Chennai Super Kings,83,Rajasthan Royals,Chennai Super Kings
AM Rahane,R Dravid,Rajasthan Royals,14,Rajasthan Royals,Chennai Super Kings
LMP Simmons,PA Patel,Mumbai Indians,43,Mumbai Indians,Rajasthan Royals
AM Rahane,SR Watson,Rajasthan Royals,30,Mumbai Indians,Rajasthan Royals
DA Warner,S Dhawan,Sunrisers Hyderabad,86,Sunrisers Hyderabad,Chennai Super Kings
BB McCullum,DR Smith,Chennai Super Kings,14,Sunrisers Hyderabad,Chennai Super Kings
CH Gayle,SS Tiwary,Royal Challengers Bangalore,36,Royal Challengers Bangalore,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,20,Royal Challengers Bangalore,Pune Warriors
PA Patel,S Vidyut,Chennai Super Kings,39,Rajasthan Royals,Chennai Super Kings
NK Patel,SA Asnodkar,Rajasthan Royals,19,Rajasthan Royals,Chennai Super Kings
DPMD Jayawardene,V Sehwag,Delhi Daredevils,13,Delhi Daredevils,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,99,Delhi Daredevils,Rajasthan Royals
BB McCullum,CH Gayle,Kolkata Knight Riders,0,Royal Challengers Bangalore,Kolkata Knight Riders
JH Kallis,SP Goswami,Royal Challengers Bangalore,69,Royal Challengers Bangalore,Kolkata Knight Riders
DJ Jacobs,SR Tendulkar,Mumbai Indians,14,Mumbai Indians,Kings XI Punjab
AC Gilchrist,PC Valthaty,Kings XI Punjab,1,Mumbai Indians,Kings XI Punjab
S Dhawan,S Sohal,Deccan Chargers,13,Kings XI Punjab,Deccan Chargers
AC Gilchrist,PC Valthaty,Kings XI Punjab,136,Kings XI Punjab,Deccan Chargers
MJ Lumb,NV Ojha,Rajasthan Royals,0,Rajasthan Royals,Kolkata Knight Riders
BJ Hodge,MK Tiwary,Kolkata Knight Riders,18,Rajasthan Royals,Kolkata Knight Riders
PA Patel,PA Reddy,Sunrisers Hyderabad,12,Royal Challengers Bangalore,Sunrisers Hyderabad
CH Gayle,MA Agarwal,Royal Challengers Bangalore,39,Royal Challengers Bangalore,Sunrisers Hyderabad
M Vijay,MEK Hussey,Chennai Super Kings,1,Chennai Super Kings,Mumbai Indians
DR Smith,SR Tendulkar,Mumbai Indians,47,Chennai Super Kings,Mumbai Indians
CH Gayle,V Kohli,Royal Challengers Bangalore,20,Royal Challengers Bangalore,Mumbai Indians
LMP Simmons,PA Patel,Mumbai Indians,29,Royal Challengers Bangalore,Mumbai Indians
G Gambhir,JH Kallis,Kolkata Knight Riders,1,Delhi Daredevils,Kolkata Knight Riders
M Vijay,MA Agarwal,Delhi Daredevils,10,Delhi Daredevils,Kolkata Knight Riders
AC Gilchrist,Mandeep Singh,Kings XI Punjab,45,Kolkata Knight Riders,Kings XI Punjab
G Gambhir,MS Bisla,Kolkata Knight Riders,10,Kolkata Knight Riders,Kings XI Punjab
AM Rahane,F du Plessis,Rising Pune Supergiants,24,Kolkata Knight Riders,Rising Pune Supergiants
G Gambhir,RV Uthappa,Kolkata Knight Riders,0,Kolkata Knight Riders,Rising Pune Supergiants
HM Amla,M Vijay,Kings XI Punjab,33,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,68,Sunrisers Hyderabad,Kings XI Punjab
BB McCullum,M Klinger,Kochi Tuskers Kerala,43,Royal Challengers Bangalore,Kochi Tuskers Kerala
CH Gayle,TM Dilshan,Royal Challengers Bangalore,67,Royal Challengers Bangalore,Kochi Tuskers Kerala
AC Gilchrist,SE Marsh,Kings XI Punjab,60,Kings XI Punjab,Delhi Daredevils
DPMD Jayawardene,UBT Chand,Delhi Daredevils,11,Kings XI Punjab,Delhi Daredevils
BB McCullum,DR Smith,Chennai Super Kings,0,Chennai Super Kings,Royal Challengers Bangalore
NJ Maddinson,V Kohli,Royal Challengers Bangalore,10,Chennai Super Kings,Royal Challengers Bangalore
A Mukund,CH Gayle,Royal Challengers Bangalore,44,Rajasthan Royals,Royal Challengers Bangalore
AM Rahane,R Dravid,Rajasthan Royals,21,Rajasthan Royals,Royal Challengers Bangalore
AJ Finch,S Dhawan,Sunrisers Hyderabad,2,Rajasthan Royals,Sunrisers Hyderabad
AM Nayar,AM Rahane,Rajasthan Royals,4,Rajasthan Royals,Sunrisers Hyderabad
M Vohra,V Sehwag,Kings XI Punjab,24,Kings XI Punjab,Rajasthan Royals
AM Rahane,KK Nair,Rajasthan Royals,21,Kings XI Punjab,Rajasthan Royals
R Dravid,SR Watson,Rajasthan Royals,86,Chennai Super Kings,Rajasthan Royals
M Vijay,MEK Hussey,Chennai Super Kings,8,Chennai Super Kings,Rajasthan Royals
BB McCullum,VVS Laxman,Kochi Tuskers Kerala,80,Royal Challengers Bangalore,Kochi Tuskers Kerala
MA Agarwal,TM Dilshan,Royal Challengers Bangalore,7,Royal Challengers Bangalore,Kochi Tuskers Kerala
G Gambhir,V Sehwag,Delhi Daredevils,12,Delhi Daredevils,Rajasthan Royals
GC Smith,RJ Quiney,Rajasthan Royals,7,Delhi Daredevils,Rajasthan Royals
AC Gilchrist,Y Venugopal Rao,Deccan Chargers,21,Kolkata Knight Riders,Deccan Chargers
BB McCullum,WP Saha,Kolkata Knight Riders,6,Kolkata Knight Riders,Deccan Chargers
CH Gayle,TM Dilshan,Royal Challengers Bangalore,57,Royal Challengers Bangalore,Pune Warriors
JD Ryder,TD Paine,Pune Warriors,35,Royal Challengers Bangalore,Pune Warriors
AC Gilchrist,Mandeep Singh,Kings XI Punjab,5,Rajasthan Royals,Kings XI Punjab
AM Rahane,SR Watson,Rajasthan Royals,43,Rajasthan Royals,Kings XI Punjab
AC Blizzard,SR Tendulkar,Mumbai Indians,18,Mumbai Indians,Pune Warriors
JD Ryder,MK Pandey,Pune Warriors,0,Mumbai Indians,Pune Warriors
DJ Jacobs,SR Tendulkar,Mumbai Indians,47,Mumbai Indians,Deccan Chargers
S Dhawan,S Sohal,Deccan Chargers,14,Mumbai Indians,Deccan Chargers
CA Pujara,CH Gayle,Royal Challengers Bangalore,15,Kolkata Knight Riders,Royal Challengers Bangalore
G Gambhir,MS Bisla,Kolkata Knight Riders,0,Kolkata Knight Riders,Royal Challengers Bangalore
DR Smith,F du Plessis,Chennai Super Kings,33,Sunrisers Hyderabad,Chennai Super Kings
DA Warner,S Dhawan,Sunrisers Hyderabad,116,Sunrisers Hyderabad,Chennai Super Kings
G Gambhir,RV Uthappa,Kolkata Knight Riders,2,Kolkata Knight Riders,Kings XI Punjab
M Vohra,V Sehwag,Kings XI Punjab,5,Kolkata Knight Riders,Kings XI Punjab
AP Tare,MEK Hussey,Mumbai Indians,20,Royal Challengers Bangalore,Mumbai Indians
NJ Maddinson,PA Patel,Royal Challengers Bangalore,16,Royal Challengers Bangalore,Mumbai Indians
DJ Jacobs,SR Tendulkar,Mumbai Indians,22,Rajasthan Royals,Mumbai Indians
R Dravid,SR Watson,Rajasthan Royals,17,Rajasthan Royals,Mumbai Indians
BB McCullum,DR Smith,Chennai Super Kings,23,Chennai Super Kings,Delhi Daredevils
M Vijay,MA Agarwal,Delhi Daredevils,8,Chennai Super Kings,Delhi Daredevils
AJ Finch,RG Sharma,Mumbai Indians,8,Kolkata Knight Riders,Mumbai Indians
G Gambhir,RV Uthappa,Kolkata Knight Riders,13,Kolkata Knight Riders,Mumbai Indians
AM Rahane,SR Watson,Rajasthan Royals,80,Rajasthan Royals,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,8,Rajasthan Royals,Kolkata Knight Riders
MA Agarwal,SS Iyer,Delhi Daredevils,15,Delhi Daredevils,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,50,Delhi Daredevils,Sunrisers Hyderabad
AM Rahane,KK Nair,Rajasthan Royals,44,Rajasthan Royals,Delhi Daredevils
KP Pietersen,MA Agarwal,Delhi Daredevils,19,Rajasthan Royals,Delhi Daredevils
M Vijay,ML Hayden,Chennai Super Kings,62,Chennai Super Kings,Rajasthan Royals
MJ Lumb,NV Ojha,Rajasthan Royals,69,Chennai Super Kings,Rajasthan Royals
RT Ponting,SR Tendulkar,Mumbai Indians,0,Mumbai Indians,Delhi Daredevils
DA Warner,UBT Chand,Delhi Daredevils,0,Mumbai Indians,Delhi Daredevils
GC Smith,RJ Quiney,Rajasthan Royals,43,Rajasthan Royals,Mumbai Indians
DJ Bravo,YV Takawale,Mumbai Indians,9,Rajasthan Royals,Mumbai Indians
S Sohal,SM Katich,Kings XI Punjab,5,Mumbai Indians,Kings XI Punjab
DJ Bravo,ST Jayasuriya,Mumbai Indians,5,Mumbai Indians,Kings XI Punjab
BB McCullum,DR Smith,Chennai Super Kings,20,Chennai Super Kings,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,17,Chennai Super Kings,Kolkata Knight Riders
M Vijay,MA Agarwal,Delhi Daredevils,15,Royal Challengers Bangalore,Delhi Daredevils
NJ Maddinson,PA Patel,Royal Challengers Bangalore,6,Royal Challengers Bangalore,Delhi Daredevils
SR Watson,SV Samson,Rajasthan Royals,34,Mumbai Indians,Rajasthan Royals
LMP Simmons,MEK Hussey,Mumbai Indians,19,Mumbai Indians,Rajasthan Royals
M Vijay,ML Hayden,Chennai Super Kings,27,Chennai Super Kings,Mumbai Indians
S Dhawan,SR Tendulkar,Mumbai Indians,46,Chennai Super Kings,Mumbai Indians
CH Gayle,V Kohli,Royal Challengers Bangalore,23,Chennai Super Kings,Royal Challengers Bangalore
DR Smith,MEK Hussey,Chennai Super Kings,21,Chennai Super Kings,Royal Challengers Bangalore
DA Warner,V Sehwag,Delhi Daredevils,9,Delhi Daredevils,Kolkata Knight Riders
CH Gayle,SC Ganguly,Kolkata Knight Riders,19,Delhi Daredevils,Kolkata Knight Riders
A Chopra,Salman Butt,Kolkata Knight Riders,16,Mumbai Indians,Kolkata Knight Riders
SR Tendulkar,ST Jayasuriya,Mumbai Indians,6,Mumbai Indians,Kolkata Knight Riders
AP Tare,MEK Hussey,Mumbai Indians,11,Chennai Super Kings,Mumbai Indians
BB McCullum,DR Smith,Chennai Super Kings,57,Chennai Super Kings,Mumbai Indians
DA Warner,S Dhawan,Sunrisers Hyderabad,48,Sunrisers Hyderabad,Rajasthan Royals
AM Rahane,SR Watson,Rajasthan Royals,8,Sunrisers Hyderabad,Rajasthan Royals
CH Gayle,TM Dilshan,Royal Challengers Bangalore,80,Royal Challengers Bangalore,Pune Warriors
MD Mishra,MJ Clarke,Pune Warriors,4,Royal Challengers Bangalore,Pune Warriors
BB McCullum,SC Ganguly,Kolkata Knight Riders,61,Kolkata Knight Riders,Royal Challengers Bangalore
R Dravid,W Jaffer,Royal Challengers Bangalore,4,Kolkata Knight Riders,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,87,Kolkata Knight Riders,Chennai Super Kings
G Gambhir,MS Bisla,Kolkata Knight Riders,3,Kolkata Knight Riders,Chennai Super Kings
DB Ravi Teja,S Dhawan,Deccan Chargers,51,Pune Warriors,Deccan Chargers
JD Ryder,MK Pandey,Pune Warriors,55,Pune Warriors,Deccan Chargers
JH Kallis,MK Pandey,Royal Challengers Bangalore,28,Royal Challengers Bangalore,Chennai Super Kings
ML Hayden,PA Patel,Chennai Super Kings,2,Royal Challengers Bangalore,Chennai Super Kings
M Vijay,M Vohra,Kings XI Punjab,14,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,S Dhawan,Sunrisers Hyderabad,90,Sunrisers Hyderabad,Kings XI Punjab
BB McCullum,CH Gayle,Kolkata Knight Riders,23,Kings XI Punjab,Kolkata Knight Riders
KC Sangakkara,S Sohal,Kings XI Punjab,1,Kings XI Punjab,Kolkata Knight Riders
AM Rahane,MDKJ Perera,Rajasthan Royals,0,Pune Warriors,Rajasthan Royals
AJ Finch,RV Uthappa,Pune Warriors,58,Pune Warriors,Rajasthan Royals
GC Smith,SA Asnodkar,Rajasthan Royals,65,Rajasthan Royals,Delhi Daredevils
G Gambhir,V Sehwag,Delhi Daredevils,10,Rajasthan Royals,Delhi Daredevils
JR Hopes,SE Marsh,Kings XI Punjab,28,Kings XI Punjab,Kolkata Knight Riders
Mohammad Hafeez,SC Ganguly,Kolkata Knight Riders,22,Kings XI Punjab,Kolkata Knight Riders
Mandeep Singh,V Sehwag,Kings XI Punjab,60,Kings XI Punjab,Royal Challengers Bangalore
CH Gayle,PA Patel,Royal Challengers Bangalore,8,Kings XI Punjab,Royal Challengers Bangalore
CH Gayle,TM Dilshan,Royal Challengers Bangalore,167,Royal Challengers Bangalore,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,0,Royal Challengers Bangalore,Pune Warriors
AC Gilchrist,MD Mishra,Deccan Chargers,3,Deccan Chargers,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,34,Deccan Chargers,Delhi Daredevils
K Goel,RS Bopara,Kings XI Punjab,0,Kings XI Punjab,Rajasthan Royals
GC Smith,SA Asnodkar,Rajasthan Royals,7,Kings XI Punjab,Rajasthan Royals
AB McDonald,CA Pujara,Royal Challengers Bangalore,37,Royal Challengers Bangalore,Delhi Daredevils
AJ Finch,V Sehwag,Delhi Daredevils,13,Royal Challengers Bangalore,Delhi Daredevils
BB McCullum,CH Gayle,Kolkata Knight Riders,1,Deccan Chargers,Kolkata Knight Riders
AC Gilchrist,HH Gibbs,Deccan Chargers,24,Deccan Chargers,Kolkata Knight Riders
BB McCullum,SC Ganguly,Kolkata Knight Riders,13,Royal Challengers Bangalore,Kolkata Knight Riders
JD Ryder,JH Kallis,Royal Challengers Bangalore,58,Royal Challengers Bangalore,Kolkata Knight Riders
AM Rahane,SR Watson,Rajasthan Royals,36,Royal Challengers Bangalore,Rajasthan Royals
CH Gayle,V Kohli,Royal Challengers Bangalore,36,Royal Challengers Bangalore,Rajasthan Royals
K Goel,RS Bopara,Kings XI Punjab,9,Kolkata Knight Riders,Kings XI Punjab
BB McCullum,CH Gayle,Kolkata Knight Riders,57,Kolkata Knight Riders,Kings XI Punjab
M Vijay,MEK Hussey,Chennai Super Kings,159,Chennai Super Kings,Royal Challengers Bangalore
CH Gayle,MA Agarwal,Royal Challengers Bangalore,1,Chennai Super Kings,Royal Challengers Bangalore
G Gambhir,MS Bisla,Kolkata Knight Riders,59,Kolkata Knight Riders,Sunrisers Hyderabad
CL White,PA Patel,Sunrisers Hyderabad,57,Kolkata Knight Riders,Sunrisers Hyderabad
M Vohra,V Sehwag,Kings XI Punjab,1,Delhi Daredevils,Kings XI Punjab
MA Agarwal,SS Iyer,Delhi Daredevils,106,Delhi Daredevils,Kings XI Punjab
AC Gilchrist,Y Venugopal Rao,Deccan Chargers,9,Delhi Daredevils,Deccan Chargers
G Gambhir,V Sehwag,Delhi Daredevils,31,Delhi Daredevils,Deccan Chargers
G Gambhir,RV Uthappa,Kolkata Knight Riders,57,Kolkata Knight Riders,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,5,Kolkata Knight Riders,Sunrisers Hyderabad
M Vijay,MEK Hussey,Chennai Super Kings,17,Kings XI Punjab,Chennai Super Kings
AC Gilchrist,Mandeep Singh,Kings XI Punjab,51,Kings XI Punjab,Chennai Super Kings
MK Pandey,RV Uthappa,Pune Warriors,1,Kings XI Punjab,Pune Warriors
AC Gilchrist,Mandeep Singh,Kings XI Punjab,21,Kings XI Punjab,Pune Warriors
CA Pujara,CH Gayle,Royal Challengers Bangalore,6,Royal Challengers Bangalore,Delhi Daredevils
DPMD Jayawardene,V Sehwag,Delhi Daredevils,25,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,PA Patel,Royal Challengers Bangalore,33,Royal Challengers Bangalore,Delhi Daredevils
M Vijay,Q de Kock,Delhi Daredevils,2,Royal Challengers Bangalore,Delhi Daredevils
BB McCullum,G Gambhir,Kolkata Knight Riders,21,Kolkata Knight Riders,Pune Warriors
JD Ryder,RV Uthappa,Pune Warriors,11,Kolkata Knight Riders,Pune Warriors
F du Plessis,M Vijay,Chennai Super Kings,2,Chennai Super Kings,Deccan Chargers
DJ Harris,S Dhawan,Deccan Chargers,32,Chennai Super Kings,Deccan Chargers
AM Rahane,R Dravid,Rajasthan Royals,6,Chennai Super Kings,Rajasthan Royals
M Vijay,MEK Hussey,Chennai Super Kings,1,Chennai Super Kings,Rajasthan Royals
JD Ryder,MK Pandey,Pune Warriors,9,Kolkata Knight Riders,Pune Warriors
G Gambhir,SP Goswami,Kolkata Knight Riders,7,Kolkata Knight Riders,Pune Warriors
BB McCullum,SC Ganguly,Kolkata Knight Riders,5,Mumbai Indians,Kolkata Knight Riders
AM Rahane,ST Jayasuriya,Mumbai Indians,16,Mumbai Indians,Kolkata Knight Riders
DA Warner,S Dhawan,Sunrisers Hyderabad,29,Sunrisers Hyderabad,Delhi Daredevils
Q de Kock,SS Iyer,Delhi Daredevils,13,Sunrisers Hyderabad,Delhi Daredevils
ML Hayden,PA Patel,Chennai Super Kings,106,Chennai Super Kings,Royal Challengers Bangalore
P Kumar,RV Uthappa,Royal Challengers Bangalore,0,Chennai Super Kings,Royal Challengers Bangalore
AC Gilchrist,HH Gibbs,Deccan Chargers,31,Kings XI Punjab,Deccan Chargers
S Sohal,SM Katich,Kings XI Punjab,41,Kings XI Punjab,Deccan Chargers
F du Plessis,S Badrinath,Chennai Super Kings,116,Chennai Super Kings,Pune Warriors
JD Ryder,RV Uthappa,Pune Warriors,13,Chennai Super Kings,Pune Warriors
MA Agarwal,SS Iyer,Delhi Daredevils,2,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,V Kohli,Royal Challengers Bangalore,99,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,MA Agarwal,Royal Challengers Bangalore,30,Chennai Super Kings,Royal Challengers Bangalore
M Vijay,MEK Hussey,Chennai Super Kings,3,Chennai Super Kings,Royal Challengers Bangalore
JH Kallis,SP Goswami,Kolkata Knight Riders,29,Kolkata Knight Riders,Delhi Daredevils
DA Warner,V Sehwag,Delhi Daredevils,14,Kolkata Knight Riders,Delhi Daredevils
DJ Harris,S Dhawan,Deccan Chargers,86,Royal Challengers Bangalore,Deccan Chargers
CH Gayle,TM Dilshan,Royal Challengers Bangalore,91,Royal Challengers Bangalore,Deccan Chargers
G Gambhir,YK Pathan,Kolkata Knight Riders,27,Mumbai Indians,Kolkata Knight Riders
DR Smith,SR Tendulkar,Mumbai Indians,29,Mumbai Indians,Kolkata Knight Riders
G Gambhir,V Sehwag,Delhi Daredevils,20,Rajasthan Royals,Delhi Daredevils
GC Smith,RJ Quiney,Rajasthan Royals,20,Rajasthan Royals,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,5,Kolkata Knight Riders,Royal Challengers Bangalore
CH Gayle,YV Takawale,Royal Challengers Bangalore,7,Kolkata Knight Riders,Royal Challengers Bangalore
MEK Hussey,WP Saha,Chennai Super Kings,27,Chennai Super Kings,Kings XI Punjab
LA Pomersbach,Mandeep Singh,Kings XI Punjab,13,Chennai Super Kings,Kings XI Punjab
G Gambhir,V Sehwag,Delhi Daredevils,47,Rajasthan Royals,Delhi Daredevils
GC Smith,YK Pathan,Rajasthan Royals,11,Rajasthan Royals,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,33,Kolkata Knight Riders,Sunrisers Hyderabad
DA Warner,S Dhawan,Sunrisers Hyderabad,28,Kolkata Knight Riders,Sunrisers Hyderabad
M Vijay,MEK Hussey,Chennai Super Kings,8,Kolkata Knight Riders,Chennai Super Kings
EJG Morgan,JH Kallis,Kolkata Knight Riders,9,Kolkata Knight Riders,Chennai Super Kings
SR Tendulkar,ST Jayasuriya,Mumbai Indians,38,Mumbai Indians,Rajasthan Royals
GC Smith,SA Asnodkar,Rajasthan Royals,0,Mumbai Indians,Rajasthan Royals
AM Rahane,R Dravid,Rajasthan Royals,9,Mumbai Indians,Rajasthan Royals
DR Smith,SR Tendulkar,Mumbai Indians,163,Mumbai Indians,Rajasthan Royals
CH Gayle,V Kohli,Royal Challengers Bangalore,0,Delhi Daredevils,Royal Challengers Bangalore
Q de Kock,SS Iyer,Delhi Daredevils,11,Delhi Daredevils,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,12,Chennai Super Kings,Royal Challengers Bangalore
M Vijay,ML Hayden,Chennai Super Kings,61,Chennai Super Kings,Royal Challengers Bangalore
JD Ryder,RV Uthappa,Pune Warriors,26,Pune Warriors,Delhi Daredevils
DPMD Jayawardene,V Sehwag,Delhi Daredevils,12,Pune Warriors,Delhi Daredevils
AM Rahane,SR Watson,Rajasthan Royals,71,Chennai Super Kings,Rajasthan Royals
M Vijay,MEK Hussey,Chennai Super Kings,22,Chennai Super Kings,Rajasthan Royals
AC Gilchrist,HH Gibbs,Deccan Chargers,8,Delhi Daredevils,Deccan Chargers
G Gambhir,V Sehwag,Delhi Daredevils,30,Delhi Daredevils,Deccan Chargers
DR Smith,SR Tendulkar,Mumbai Indians,93,Mumbai Indians,Kolkata Knight Riders
G Gambhir,MS Bisla,Kolkata Knight Riders,1,Mumbai Indians,Kolkata Knight Riders
MA Agarwal,SS Iyer,Delhi Daredevils,2,Delhi Daredevils,Mumbai Indians
LMP Simmons,PA Patel,Mumbai Indians,35,Delhi Daredevils,Mumbai Indians
AJ Finch,S Dhawan,Sunrisers Hyderabad,65,Kings XI Punjab,Sunrisers Hyderabad
M Vohra,V Sehwag,Kings XI Punjab,4,Kings XI Punjab,Sunrisers Hyderabad
AM Rahane,KK Nair,Rajasthan Royals,52,Rajasthan Royals,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,121,Rajasthan Royals,Kolkata Knight Riders
DA Warner,S Dhawan,Sunrisers Hyderabad,12,Sunrisers Hyderabad,Kolkata Knight Riders
G Gambhir,RV Uthappa,Kolkata Knight Riders,15,Sunrisers Hyderabad,Kolkata Knight Riders
PA Reddy,S Dhawan,Deccan Chargers,6,Deccan Chargers,Royal Challengers Bangalore
CH Gayle,TM Dilshan,Royal Challengers Bangalore,30,Deccan Chargers,Royal Challengers Bangalore
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,49,Kochi Tuskers Kerala,Kolkata Knight Riders
JH Kallis,MS Bisla,Kolkata Knight Riders,24,Kochi Tuskers Kerala,Kolkata Knight Riders
CH Gayle,V Kohli,Royal Challengers Bangalore,147,Royal Challengers Bangalore,Kings XI Punjab
HM Amla,M Vijay,Kings XI Punjab,17,Royal Challengers Bangalore,Kings XI Punjab
PA Patel,SP Fleming,Chennai Super Kings,23,Delhi Daredevils,Chennai Super Kings
G Gambhir,V Sehwag,Delhi Daredevils,115,Delhi Daredevils,Chennai Super Kings
M Vijay,MEK Hussey,Chennai Super Kings,19,Chennai Super Kings,Kochi Tuskers Kerala
BB McCullum,PA Patel,Kochi Tuskers Kerala,11,Chennai Super Kings,Kochi Tuskers Kerala
