 player1,player2,partner-name,team,partnership,winner,looser
LMP Simmons,PA Patel,LMP Simmons- PA Patel,Mumbai Indians,131,Mumbai Indians,Kings XI Punjab
LMP Simmons,RG Sharma,LMP Simmons- RG Sharma,Mumbai Indians,43,Mumbai Indians,Kings XI Punjab
KA Pollard,LMP Simmons,KA Pollard- LMP Simmons,Mumbai Indians,12,Mumbai Indians,Kings XI Punjab
AT Rayudu,KA Pollard,AT Rayudu- KA Pollard,Mumbai Indians,6,Mumbai Indians,Kings XI Punjab
M Vijay,V Sehwag,M Vijay- V Sehwag,Kings XI Punjab,15,Mumbai Indians,Kings XI Punjab
GJ Maxwell,M Vijay,GJ Maxwell- M Vijay,Kings XI Punjab,29,Mumbai Indians,Kings XI Punjab
DA Miller,M Vijay,DA Miller- M Vijay,Kings XI Punjab,48,Mumbai Indians,Kings XI Punjab
DA Miller,GJ Bailey,DA Miller- GJ Bailey,Kings XI Punjab,33,Mumbai Indians,Kings XI Punjab
GJ Bailey,WP Saha,GJ Bailey- WP Saha,Kings XI Punjab,21,Mumbai Indians,Kings XI Punjab
AR Patel,WP Saha,AR Patel- WP Saha,Kings XI Punjab,0,Mumbai Indians,Kings XI Punjab
MG Johnson,WP Saha,MG Johnson- WP Saha,Kings XI Punjab,9,Mumbai Indians,Kings XI Punjab
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,95,Sunrisers Hyderabad,Chennai Super Kings
MC Henriques,S Dhawan,MC Henriques- S Dhawan,Sunrisers Hyderabad,21,Sunrisers Hyderabad,Chennai Super Kings
EJG Morgan,S Dhawan,EJG Morgan- S Dhawan,Sunrisers Hyderabad,24,Sunrisers Hyderabad,Chennai Super Kings
EJG Morgan,NV Ojha,EJG Morgan- NV Ojha,Sunrisers Hyderabad,25,Sunrisers Hyderabad,Chennai Super Kings
A Ashish Reddy,EJG Morgan,A Ashish Reddy- EJG Morgan,Sunrisers Hyderabad,7,Sunrisers Hyderabad,Chennai Super Kings
EJG Morgan,GH Vihari,EJG Morgan- GH Vihari,Sunrisers Hyderabad,25,Sunrisers Hyderabad,Chennai Super Kings
EJG Morgan,KV Sharma,EJG Morgan- KV Sharma,Sunrisers Hyderabad,4,Sunrisers Hyderabad,Chennai Super Kings
BB McCullum,DR Smith,BB McCullum- DR Smith,Chennai Super Kings,18,Sunrisers Hyderabad,Chennai Super Kings
DR Smith,SK Raina,DR Smith- SK Raina,Chennai Super Kings,34,Sunrisers Hyderabad,Chennai Super Kings
F du Plessis,SK Raina,F du Plessis- SK Raina,Chennai Super Kings,20,Sunrisers Hyderabad,Chennai Super Kings
F du Plessis,MS Dhoni,F du Plessis- MS Dhoni,Chennai Super Kings,46,Sunrisers Hyderabad,Chennai Super Kings
MS Dhoni,P Negi,MS Dhoni- P Negi,Chennai Super Kings,0,Sunrisers Hyderabad,Chennai Super Kings
DJ Bravo,P Negi,DJ Bravo- P Negi,Chennai Super Kings,27,Sunrisers Hyderabad,Chennai Super Kings
DJ Bravo,RA Jadeja,DJ Bravo- RA Jadeja,Chennai Super Kings,29,Sunrisers Hyderabad,Chennai Super Kings
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,62,Royal Challengers Bangalore,Kolkata Knight Riders
AD Russell,RV Uthappa,AD Russell- RV Uthappa,Kolkata Knight Riders,38,Royal Challengers Bangalore,Kolkata Knight Riders
AD Russell,RN ten Doeschate,AD Russell- RN ten Doeschate,Kolkata Knight Riders,25,Royal Challengers Bangalore,Kolkata Knight Riders
RN ten Doeschate,YK Pathan,RN ten Doeschate- YK Pathan,Kolkata Knight Riders,6,Royal Challengers Bangalore,Kolkata Knight Riders
SA Yadav,YK Pathan,SA Yadav- YK Pathan,Kolkata Knight Riders,9,Royal Challengers Bangalore,Kolkata Knight Riders
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,57,Royal Challengers Bangalore,Kolkata Knight Riders
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,3,Royal Challengers Bangalore,Kolkata Knight Riders
Mandeep Singh,V Kohli,Mandeep Singh- V Kohli,Royal Challengers Bangalore,30,Royal Challengers Bangalore,Kolkata Knight Riders
D Wiese,Mandeep Singh,D Wiese- Mandeep Singh,Royal Challengers Bangalore,34,Royal Challengers Bangalore,Kolkata Knight Riders
LMP Simmons,PA Patel,LMP Simmons- PA Patel,Mumbai Indians,77,Mumbai Indians,Rajasthan Royals
LMP Simmons,UBT Chand,LMP Simmons- UBT Chand,Mumbai Indians,30,Mumbai Indians,Rajasthan Royals
RG Sharma,UBT Chand,RG Sharma- UBT Chand,Mumbai Indians,11,Mumbai Indians,Rajasthan Royals
AT Rayudu,RG Sharma,AT Rayudu- RG Sharma,Mumbai Indians,36,Mumbai Indians,Rajasthan Royals
AT Rayudu,KA Pollard,AT Rayudu- KA Pollard,Mumbai Indians,61,Mumbai Indians,Rajasthan Royals
AT Rayudu,Harbhajan Singh,AT Rayudu- Harbhajan Singh,Mumbai Indians,6,Mumbai Indians,Rajasthan Royals
AM Rahane,SR Watson,AM Rahane- SR Watson,Rajasthan Royals,36,Mumbai Indians,Rajasthan Royals
SR Watson,SV Samson,SR Watson- SV Samson,Rajasthan Royals,41,Mumbai Indians,Rajasthan Royals
SPD Smith,SV Samson,SPD Smith- SV Samson,Rajasthan Royals,56,Mumbai Indians,Rajasthan Royals
KK Nair,SV Samson,KK Nair- SV Samson,Rajasthan Royals,34,Mumbai Indians,Rajasthan Royals
KK Nair,STR Binny,KK Nair- STR Binny,Rajasthan Royals,0,Mumbai Indians,Rajasthan Royals
DJ Hooda,STR Binny,DJ Hooda- STR Binny,Rajasthan Royals,1,Mumbai Indians,Rajasthan Royals
STR Binny,TG Southee,STR Binny- TG Southee,Rajasthan Royals,15,Mumbai Indians,Rajasthan Royals
J Theron,STR Binny,J Theron- STR Binny,Rajasthan Royals,2,Mumbai Indians,Rajasthan Royals
M Vohra,V Sehwag,M Vohra- V Sehwag,Kings XI Punjab,3,Delhi Daredevils,Kings XI Punjab
M Vohra,SE Marsh,M Vohra- SE Marsh,Kings XI Punjab,5,Delhi Daredevils,Kings XI Punjab
M Vohra,WP Saha,M Vohra- WP Saha,Kings XI Punjab,4,Delhi Daredevils,Kings XI Punjab
DA Miller,WP Saha,DA Miller- WP Saha,Kings XI Punjab,0,Delhi Daredevils,Kings XI Punjab
DA Miller,GJ Bailey,DA Miller- GJ Bailey,Kings XI Punjab,27,Delhi Daredevils,Kings XI Punjab
DA Miller,NLTC Perera,DA Miller- NLTC Perera,Kings XI Punjab,8,Delhi Daredevils,Kings XI Punjab
AR Patel,DA Miller,AR Patel- DA Miller,Kings XI Punjab,57,Delhi Daredevils,Kings XI Punjab
DA Miller,SN Thakur,DA Miller- SN Thakur,Kings XI Punjab,2,Delhi Daredevils,Kings XI Punjab
Anureet Singh,SN Thakur,Anureet Singh- SN Thakur,Kings XI Punjab,14,Delhi Daredevils,Kings XI Punjab
MA Agarwal,SS Iyer,MA Agarwal- SS Iyer,Delhi Daredevils,120,Delhi Daredevils,Kings XI Punjab
MA Agarwal,SS Tiwary,MA Agarwal- SS Tiwary,Delhi Daredevils,13,Delhi Daredevils,Kings XI Punjab
BB McCullum,DR Smith,BB McCullum- DR Smith,Chennai Super Kings,55,Chennai Super Kings,Kolkata Knight Riders
DR Smith,SK Raina,DR Smith- SK Raina,Chennai Super Kings,22,Chennai Super Kings,Kolkata Knight Riders
F du Plessis,SK Raina,F du Plessis- SK Raina,Chennai Super Kings,3,Chennai Super Kings,Kolkata Knight Riders
F du Plessis,MS Dhoni,F du Plessis- MS Dhoni,Chennai Super Kings,14,Chennai Super Kings,Kolkata Knight Riders
DJ Bravo,F du Plessis,DJ Bravo- F du Plessis,Chennai Super Kings,7,Chennai Super Kings,Kolkata Knight Riders
F du Plessis,RA Jadeja,F du Plessis- RA Jadeja,Chennai Super Kings,36,Chennai Super Kings,Kolkata Knight Riders
F du Plessis,R Ashwin,F du Plessis- R Ashwin,Chennai Super Kings,10,Chennai Super Kings,Kolkata Knight Riders
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,11,Chennai Super Kings,Kolkata Knight Riders
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Kolkata Knight Riders,51,Chennai Super Kings,Kolkata Knight Riders
MK Pandey,SA Yadav,MK Pandey- SA Yadav,Kolkata Knight Riders,9,Chennai Super Kings,Kolkata Knight Riders
SA Yadav,YK Pathan,SA Yadav- YK Pathan,Kolkata Knight Riders,15,Chennai Super Kings,Kolkata Knight Riders
RN ten Doeschate,YK Pathan,RN ten Doeschate- YK Pathan,Kolkata Knight Riders,15,Chennai Super Kings,Kolkata Knight Riders
AD Russell,RN ten Doeschate,AD Russell- RN ten Doeschate,Kolkata Knight Riders,9,Chennai Super Kings,Kolkata Knight Riders
PJ Cummins,RN ten Doeschate,PJ Cummins- RN ten Doeschate,Kolkata Knight Riders,1,Chennai Super Kings,Kolkata Knight Riders
PP Chawla,RN ten Doeschate,PP Chawla- RN ten Doeschate,Kolkata Knight Riders,3,Chennai Super Kings,Kolkata Knight Riders
RN ten Doeschate,UT Yadav,RN ten Doeschate- UT Yadav,Kolkata Knight Riders,12,Chennai Super Kings,Kolkata Knight Riders
GB Hogg,RN ten Doeschate,GB Hogg- RN ten Doeschate,Kolkata Knight Riders,16,Chennai Super Kings,Kolkata Knight Riders
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,26,Draw,Draw
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,9,Draw,Draw
AB de Villiers,Mandeep Singh,AB de Villiers- Mandeep Singh,Royal Challengers Bangalore,74,Draw,Draw
AB de Villiers,KD Karthik,AB de Villiers- KD Karthik,Royal Challengers Bangalore,31,Draw,Draw
KD Karthik,SN Khan,KD Karthik- SN Khan,Royal Challengers Bangalore,28,Draw,Draw
D Wiese,SN Khan,D Wiese- SN Khan,Royal Challengers Bangalore,32,Draw,Draw
HV Patel,SN Khan,HV Patel- SN Khan,Royal Challengers Bangalore,16,Draw,Draw
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,54,Kolkata Knight Riders,Delhi Daredevils
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Kolkata Knight Riders,25,Kolkata Knight Riders,Delhi Daredevils
MK Pandey,PP Chawla,MK Pandey- PP Chawla,Kolkata Knight Riders,19,Kolkata Knight Riders,Delhi Daredevils
PP Chawla,YK Pathan,PP Chawla- YK Pathan,Kolkata Knight Riders,26,Kolkata Knight Riders,Delhi Daredevils
AD Russell,YK Pathan,AD Russell- YK Pathan,Kolkata Knight Riders,20,Kolkata Knight Riders,Delhi Daredevils
SA Yadav,YK Pathan,SA Yadav- YK Pathan,Kolkata Knight Riders,25,Kolkata Knight Riders,Delhi Daredevils
J Botha,SA Yadav,J Botha- SA Yadav,Kolkata Knight Riders,18,Kolkata Knight Riders,Delhi Daredevils
MK Tiwary,SS Iyer,MK Tiwary- SS Iyer,Delhi Daredevils,81,Kolkata Knight Riders,Delhi Daredevils
JP Duminy,SS Iyer,JP Duminy- SS Iyer,Delhi Daredevils,8,Kolkata Knight Riders,Delhi Daredevils
JP Duminy,KM Jadhav,JP Duminy- KM Jadhav,Delhi Daredevils,25,Kolkata Knight Riders,Delhi Daredevils
JP Duminy,Yuvraj Singh,JP Duminy- Yuvraj Singh,Delhi Daredevils,0,Kolkata Knight Riders,Delhi Daredevils
AD Mathews,JP Duminy,AD Mathews- JP Duminy,Delhi Daredevils,15,Kolkata Knight Riders,Delhi Daredevils
AD Mathews,SS Tiwary,AD Mathews- SS Tiwary,Delhi Daredevils,32,Kolkata Knight Riders,Delhi Daredevils
JA Morkel,SS Tiwary,JA Morkel- SS Tiwary,Delhi Daredevils,15,Kolkata Knight Riders,Delhi Daredevils
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,25,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,GH Vihari,DA Warner- GH Vihari,Sunrisers Hyderabad,46,Sunrisers Hyderabad,Kings XI Punjab
DA Warner,MC Henriques,DA Warner- MC Henriques,Sunrisers Hyderabad,20,Sunrisers Hyderabad,Kings XI Punjab
MC Henriques,NV Ojha,MC Henriques- NV Ojha,Sunrisers Hyderabad,45,Sunrisers Hyderabad,Kings XI Punjab
MC Henriques,RS Bopara,MC Henriques- RS Bopara,Sunrisers Hyderabad,2,Sunrisers Hyderabad,Kings XI Punjab
A Ashish Reddy,MC Henriques,A Ashish Reddy- MC Henriques,Sunrisers Hyderabad,13,Sunrisers Hyderabad,Kings XI Punjab
A Ashish Reddy,KV Sharma,A Ashish Reddy- KV Sharma,Sunrisers Hyderabad,14,Sunrisers Hyderabad,Kings XI Punjab
M Vijay,M Vohra,M Vijay- M Vohra,Kings XI Punjab,24,Sunrisers Hyderabad,Kings XI Punjab
M Vijay,SE Marsh,M Vijay- SE Marsh,Kings XI Punjab,3,Sunrisers Hyderabad,Kings XI Punjab
GJ Bailey,M Vijay,GJ Bailey- M Vijay,Kings XI Punjab,32,Sunrisers Hyderabad,Kings XI Punjab
DA Miller,M Vijay,DA Miller- M Vijay,Kings XI Punjab,8,Sunrisers Hyderabad,Kings XI Punjab
DA Miller,WP Saha,DA Miller- WP Saha,Kings XI Punjab,19,Sunrisers Hyderabad,Kings XI Punjab
AR Patel,WP Saha,AR Patel- WP Saha,Kings XI Punjab,44,Sunrisers Hyderabad,Kings XI Punjab
R Dhawan,WP Saha,R Dhawan- WP Saha,Kings XI Punjab,7,Sunrisers Hyderabad,Kings XI Punjab
MG Johnson,R Dhawan,MG Johnson- R Dhawan,Kings XI Punjab,3,Sunrisers Hyderabad,Kings XI Punjab
Anureet Singh,MG Johnson,Anureet Singh- MG Johnson,Kings XI Punjab,1,Sunrisers Hyderabad,Kings XI Punjab
MG Johnson,Sandeep Sharma,MG Johnson- Sandeep Sharma,Kings XI Punjab,3,Sunrisers Hyderabad,Kings XI Punjab
MA Agarwal,SS Iyer,MA Agarwal- SS Iyer,Delhi Daredevils,5,Royal Challengers Bangalore,Delhi Daredevils
JP Duminy,MA Agarwal,JP Duminy- MA Agarwal,Delhi Daredevils,34,Royal Challengers Bangalore,Delhi Daredevils
MA Agarwal,Yuvraj Singh,MA Agarwal- Yuvraj Singh,Delhi Daredevils,3,Royal Challengers Bangalore,Delhi Daredevils
AD Mathews,MA Agarwal,AD Mathews- MA Agarwal,Delhi Daredevils,0,Royal Challengers Bangalore,Delhi Daredevils
KM Jadhav,MA Agarwal,KM Jadhav- MA Agarwal,Delhi Daredevils,28,Royal Challengers Bangalore,Delhi Daredevils
KM Jadhav,NM Coulter-Nile,KM Jadhav- NM Coulter-Nile,Delhi Daredevils,5,Royal Challengers Bangalore,Delhi Daredevils
A Mishra,KM Jadhav,A Mishra- KM Jadhav,Delhi Daredevils,13,Royal Challengers Bangalore,Delhi Daredevils
KM Jadhav,S Nadeem,KM Jadhav- S Nadeem,Delhi Daredevils,5,Royal Challengers Bangalore,Delhi Daredevils
Imran Tahir,KM Jadhav,Imran Tahir- KM Jadhav,Delhi Daredevils,2,Royal Challengers Bangalore,Delhi Daredevils
DJ Muthuswami,Imran Tahir,DJ Muthuswami- Imran Tahir,Delhi Daredevils,3,Royal Challengers Bangalore,Delhi Daredevils
BB McCullum,DR Smith,BB McCullum- DR Smith,Chennai Super Kings,152,Chennai Super Kings,Kings XI Punjab
BB McCullum,SK Raina,BB McCullum- SK Raina,Chennai Super Kings,66,Chennai Super Kings,Kings XI Punjab
MS Dhoni,SK Raina,MS Dhoni- SK Raina,Chennai Super Kings,28,Chennai Super Kings,Kings XI Punjab
MS Dhoni,RA Jadeja,MS Dhoni- RA Jadeja,Chennai Super Kings,48,Chennai Super Kings,Kings XI Punjab
M Vijay,V Sehwag,M Vijay- V Sehwag,Kings XI Punjab,52,Chennai Super Kings,Kings XI Punjab
M Vijay,SE Marsh,M Vijay- SE Marsh,Kings XI Punjab,31,Chennai Super Kings,Kings XI Punjab
GJ Bailey,M Vijay,GJ Bailey- M Vijay,Kings XI Punjab,5,Chennai Super Kings,Kings XI Punjab
DA Miller,M Vijay,DA Miller- M Vijay,Kings XI Punjab,15,Chennai Super Kings,Kings XI Punjab
M Vijay,WP Saha,M Vijay- WP Saha,Kings XI Punjab,0,Chennai Super Kings,Kings XI Punjab
AR Patel,WP Saha,AR Patel- WP Saha,Kings XI Punjab,11,Chennai Super Kings,Kings XI Punjab
MG Johnson,WP Saha,MG Johnson- WP Saha,Kings XI Punjab,3,Chennai Super Kings,Kings XI Punjab
Anureet Singh,WP Saha,Anureet Singh- WP Saha,Kings XI Punjab,21,Chennai Super Kings,Kings XI Punjab
Anureet Singh,Karanveer Singh,Anureet Singh- Karanveer Singh,Kings XI Punjab,4,Chennai Super Kings,Kings XI Punjab
Karanveer Singh,Sandeep Sharma,Karanveer Singh- Sandeep Sharma,Kings XI Punjab,1,Chennai Super Kings,Kings XI Punjab
LMP Simmons,PA Patel,LMP Simmons- PA Patel,Mumbai Indians,43,Mumbai Indians,Sunrisers Hyderabad
LMP Simmons,UBT Chand,LMP Simmons- UBT Chand,Mumbai Indians,7,Mumbai Indians,Sunrisers Hyderabad
LMP Simmons,RG Sharma,LMP Simmons- RG Sharma,Mumbai Indians,51,Mumbai Indians,Sunrisers Hyderabad
KA Pollard,RG Sharma,KA Pollard- RG Sharma,Mumbai Indians,8,Mumbai Indians,Sunrisers Hyderabad
AT Rayudu,KA Pollard,AT Rayudu- KA Pollard,Mumbai Indians,18,Mumbai Indians,Sunrisers Hyderabad
Harbhajan Singh,KA Pollard,Harbhajan Singh- KA Pollard,Mumbai Indians,2,Mumbai Indians,Sunrisers Hyderabad
J Suchith,KA Pollard,J Suchith- KA Pollard,Mumbai Indians,21,Mumbai Indians,Sunrisers Hyderabad
J Suchith,R Vinay Kumar,J Suchith- R Vinay Kumar,Mumbai Indians,0,Mumbai Indians,Sunrisers Hyderabad
J Suchith,MJ McClenaghan,J Suchith- MJ McClenaghan,Mumbai Indians,8,Mumbai Indians,Sunrisers Hyderabad
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,53,Mumbai Indians,Sunrisers Hyderabad
KL Rahul,S Dhawan,KL Rahul- S Dhawan,Sunrisers Hyderabad,7,Mumbai Indians,Sunrisers Hyderabad
KL Rahul,NV Ojha,KL Rahul- NV Ojha,Sunrisers Hyderabad,16,Mumbai Indians,Sunrisers Hyderabad
KL Rahul,RS Bopara,KL Rahul- RS Bopara,Sunrisers Hyderabad,36,Mumbai Indians,Sunrisers Hyderabad
GH Vihari,RS Bopara,GH Vihari- RS Bopara,Sunrisers Hyderabad,22,Mumbai Indians,Sunrisers Hyderabad
GH Vihari,KV Sharma,GH Vihari- KV Sharma,Sunrisers Hyderabad,1,Mumbai Indians,Sunrisers Hyderabad
KV Sharma,P Kumar,KV Sharma- P Kumar,Sunrisers Hyderabad,0,Mumbai Indians,Sunrisers Hyderabad
DW Steyn,KV Sharma,DW Steyn- KV Sharma,Sunrisers Hyderabad,0,Mumbai Indians,Sunrisers Hyderabad
B Kumar,KV Sharma,B Kumar- KV Sharma,Sunrisers Hyderabad,10,Mumbai Indians,Sunrisers Hyderabad
AM Rahane,SR Watson,AM Rahane- SR Watson,Rajasthan Royals,46,Royal Challengers Bangalore,Rajasthan Royals
SPD Smith,SR Watson,SPD Smith- SR Watson,Rajasthan Royals,10,Royal Challengers Bangalore,Rajasthan Royals
KK Nair,SPD Smith,KK Nair- SPD Smith,Rajasthan Royals,26,Royal Challengers Bangalore,Rajasthan Royals
DJ Hooda,SPD Smith,DJ Hooda- SPD Smith,Rajasthan Royals,12,Royal Challengers Bangalore,Rajasthan Royals
SPD Smith,SV Samson,SPD Smith- SV Samson,Rajasthan Royals,5,Royal Challengers Bangalore,Rajasthan Royals
SPD Smith,STR Binny,SPD Smith- STR Binny,Rajasthan Royals,30,Royal Challengers Bangalore,Rajasthan Royals
JP Faulkner,STR Binny,JP Faulkner- STR Binny,Rajasthan Royals,2,Royal Challengers Bangalore,Rajasthan Royals
CH Morris,JP Faulkner,CH Morris- JP Faulkner,Rajasthan Royals,5,Royal Challengers Bangalore,Rajasthan Royals
CH Morris,DS Kulkarni,CH Morris- DS Kulkarni,Rajasthan Royals,1,Royal Challengers Bangalore,Rajasthan Royals
CH Morris,PV Tambe,CH Morris- PV Tambe,Rajasthan Royals,3,Royal Challengers Bangalore,Rajasthan Royals
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,39,Royal Challengers Bangalore,Rajasthan Royals
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,98,Royal Challengers Bangalore,Rajasthan Royals
MA Agarwal,SS Iyer,MA Agarwal- SS Iyer,Delhi Daredevils,100,Delhi Daredevils,Mumbai Indians
JP Duminy,SS Iyer,JP Duminy- SS Iyer,Delhi Daredevils,154,Delhi Daredevils,Mumbai Indians
AD Mathews,JP Duminy,AD Mathews- JP Duminy,Delhi Daredevils,18,Delhi Daredevils,Mumbai Indians
JP Duminy,Yuvraj Singh,JP Duminy- Yuvraj Singh,Delhi Daredevils,13,Delhi Daredevils,Mumbai Indians
JP Duminy,KM Jadhav,JP Duminy- KM Jadhav,Delhi Daredevils,3,Delhi Daredevils,Mumbai Indians
LMP Simmons,PA Patel,LMP Simmons- PA Patel,Mumbai Indians,38,Delhi Daredevils,Mumbai Indians
PA Patel,UBT Chand,PA Patel- UBT Chand,Mumbai Indians,13,Delhi Daredevils,Mumbai Indians
RG Sharma,UBT Chand,RG Sharma- UBT Chand,Mumbai Indians,20,Delhi Daredevils,Mumbai Indians
KA Pollard,RG Sharma,KA Pollard- RG Sharma,Mumbai Indians,14,Delhi Daredevils,Mumbai Indians
AT Rayudu,RG Sharma,AT Rayudu- RG Sharma,Mumbai Indians,49,Delhi Daredevils,Mumbai Indians
AT Rayudu,HH Pandya,AT Rayudu- HH Pandya,Mumbai Indians,0,Delhi Daredevils,Mumbai Indians
AT Rayudu,Harbhajan Singh,AT Rayudu- Harbhajan Singh,Mumbai Indians,4,Delhi Daredevils,Mumbai Indians
Harbhajan Singh,MJ McClenaghan,Harbhajan Singh- MJ McClenaghan,Mumbai Indians,0,Delhi Daredevils,Mumbai Indians
Harbhajan Singh,SL Malinga,Harbhajan Singh- SL Malinga,Mumbai Indians,18,Delhi Daredevils,Mumbai Indians
JJ Bumrah,SL Malinga,JJ Bumrah- SL Malinga,Mumbai Indians,0,Delhi Daredevils,Mumbai Indians
BB McCullum,DR Smith,BB McCullum- DR Smith,Chennai Super Kings,12,Chennai Super Kings,Royal Challengers Bangalore
DR Smith,SK Raina,DR Smith- SK Raina,Chennai Super Kings,58,Chennai Super Kings,Royal Challengers Bangalore
MS Dhoni,SK Raina,MS Dhoni- SK Raina,Chennai Super Kings,54,Chennai Super Kings,Royal Challengers Bangalore
MS Dhoni,RA Jadeja,MS Dhoni- RA Jadeja,Chennai Super Kings,8,Chennai Super Kings,Royal Challengers Bangalore
F du Plessis,RA Jadeja,F du Plessis- RA Jadeja,Chennai Super Kings,3,Chennai Super Kings,Royal Challengers Bangalore
DJ Bravo,F du Plessis,DJ Bravo- F du Plessis,Chennai Super Kings,21,Chennai Super Kings,Royal Challengers Bangalore
F du Plessis,R Ashwin,F du Plessis- R Ashwin,Chennai Super Kings,12,Chennai Super Kings,Royal Challengers Bangalore
F du Plessis,MM Sharma,F du Plessis- MM Sharma,Chennai Super Kings,9,Chennai Super Kings,Royal Challengers Bangalore
A Nehra,F du Plessis,A Nehra- F du Plessis,Chennai Super Kings,4,Chennai Super Kings,Royal Challengers Bangalore
MS Bisla,RR Rossouw,MS Bisla- RR Rossouw,Royal Challengers Bangalore,35,Chennai Super Kings,Royal Challengers Bangalore
RR Rossouw,V Kohli,RR Rossouw- V Kohli,Royal Challengers Bangalore,2,Chennai Super Kings,Royal Challengers Bangalore
KD Karthik,V Kohli,KD Karthik- V Kohli,Royal Challengers Bangalore,28,Chennai Super Kings,Royal Challengers Bangalore
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,24,Chennai Super Kings,Royal Challengers Bangalore
SN Khan,V Kohli,SN Khan- V Kohli,Royal Challengers Bangalore,12,Chennai Super Kings,Royal Challengers Bangalore
D Wiese,V Kohli,D Wiese- V Kohli,Royal Challengers Bangalore,26,Chennai Super Kings,Royal Challengers Bangalore
D Wiese,HV Patel,D Wiese- HV Patel,Royal Challengers Bangalore,0,Chennai Super Kings,Royal Challengers Bangalore
D Wiese,MA Starc,D Wiese- MA Starc,Royal Challengers Bangalore,31,Chennai Super Kings,Royal Challengers Bangalore
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,161,Sunrisers Hyderabad,Kolkata Knight Riders
RS Bopara,S Dhawan,RS Bopara- S Dhawan,Sunrisers Hyderabad,13,Sunrisers Hyderabad,Kolkata Knight Riders
NV Ojha,S Dhawan,NV Ojha- S Dhawan,Sunrisers Hyderabad,19,Sunrisers Hyderabad,Kolkata Knight Riders
MC Henriques,NV Ojha,MC Henriques- NV Ojha,Sunrisers Hyderabad,8,Sunrisers Hyderabad,Kolkata Knight Riders
KL Rahul,MC Henriques,KL Rahul- MC Henriques,Sunrisers Hyderabad,6,Sunrisers Hyderabad,Kolkata Knight Riders
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,41,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,RV Uthappa,MK Pandey- RV Uthappa,Kolkata Knight Riders,14,Sunrisers Hyderabad,Kolkata Knight Riders
AD Russell,MK Pandey,AD Russell- MK Pandey,Kolkata Knight Riders,31,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,YK Pathan,MK Pandey- YK Pathan,Kolkata Knight Riders,14,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,SA Yadav,MK Pandey- SA Yadav,Kolkata Knight Riders,7,Sunrisers Hyderabad,Kolkata Knight Riders
AM Rahane,SR Watson,AM Rahane- SR Watson,Rajasthan Royals,102,Draw,Draw
AM Rahane,DJ Hooda,AM Rahane- DJ Hooda,Rajasthan Royals,41,Draw,Draw
AM Rahane,SPD Smith,AM Rahane- SPD Smith,Rajasthan Royals,1,Draw,Draw
AM Rahane,KK Nair,AM Rahane- KK Nair,Rajasthan Royals,25,Draw,Draw
JP Faulkner,KK Nair,JP Faulkner- KK Nair,Rajasthan Royals,4,Draw,Draw
KK Nair,STR Binny,KK Nair- STR Binny,Rajasthan Royals,9,Draw,Draw
STR Binny,SV Samson,STR Binny- SV Samson,Rajasthan Royals,16,Draw,Draw
M Vijay,V Sehwag,M Vijay- V Sehwag,Kings XI Punjab,19,Draw,Draw
M Vijay,SE Marsh,M Vijay- SE Marsh,Kings XI Punjab,39,Draw,Draw
GJ Maxwell,SE Marsh,GJ Maxwell- SE Marsh,Kings XI Punjab,17,Draw,Draw
DA Miller,SE Marsh,DA Miller- SE Marsh,Kings XI Punjab,58,Draw,Draw
DA Miller,WP Saha,DA Miller- WP Saha,Kings XI Punjab,35,Draw,Draw
AR Patel,DA Miller,AR Patel- DA Miller,Kings XI Punjab,14,Draw,Draw
AR Patel,MG Johnson,AR Patel- MG Johnson,Kings XI Punjab,25,Draw,Draw
DA Miller,SE Marsh,DA Miller- SE Marsh,Kings XI Punjab,25,Draw,Draw
GJ Maxwell,SE Marsh,GJ Maxwell- SE Marsh,Kings XI Punjab,15,Draw,Draw
JP Faulkner,SR Watson,JP Faulkner- SR Watson,Rajasthan Royals,15,Draw,Draw
