 player1,player2,partner-name,team,partnership,winner,looser
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,16,Sunrisers Hyderabad,Kolkata Knight Riders
C Munro,G Gambhir,C Munro- G Gambhir,Kolkata Knight Riders,38,Sunrisers Hyderabad,Kolkata Knight Riders
G Gambhir,MK Pandey,G Gambhir- MK Pandey,Kolkata Knight Riders,10,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,YK Pathan,MK Pandey- YK Pathan,Kolkata Knight Riders,6,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,SA Yadav,MK Pandey- SA Yadav,Kolkata Knight Riders,46,Sunrisers Hyderabad,Kolkata Knight Riders
MK Pandey,R Sathish,MK Pandey- R Sathish,Kolkata Knight Riders,10,Sunrisers Hyderabad,Kolkata Knight Riders
JO Holder,R Sathish,JO Holder- R Sathish,Kolkata Knight Riders,14,Sunrisers Hyderabad,Kolkata Knight Riders
JO Holder,SP Narine,JO Holder- SP Narine,Kolkata Knight Riders,1,Sunrisers Hyderabad,Kolkata Knight Riders
M Morkel,SP Narine,M Morkel- SP Narine,Kolkata Knight Riders,0,Sunrisers Hyderabad,Kolkata Knight Riders
AJ Finch,BB McCullum,AJ Finch- BB McCullum,Gujarat Lions,2,Royal Challengers Bangalore,Gujarat Lions
AJ Finch,SK Raina,AJ Finch- SK Raina,Gujarat Lions,4,Royal Challengers Bangalore,Gujarat Lions
KD Karthik,SK Raina,KD Karthik- SK Raina,Gujarat Lions,3,Royal Challengers Bangalore,Gujarat Lions
DR Smith,KD Karthik,DR Smith- KD Karthik,Gujarat Lions,85,Royal Challengers Bangalore,Gujarat Lions
DR Smith,RA Jadeja,DR Smith- RA Jadeja,Gujarat Lions,13,Royal Challengers Bangalore,Gujarat Lions
DJ Bravo,DR Smith,DJ Bravo- DR Smith,Gujarat Lions,8,Royal Challengers Bangalore,Gujarat Lions
DJ Bravo,ER Dwivedi,DJ Bravo- ER Dwivedi,Gujarat Lions,30,Royal Challengers Bangalore,Gujarat Lions
DJ Bravo,P Kumar,DJ Bravo- P Kumar,Gujarat Lions,0,Royal Challengers Bangalore,Gujarat Lions
DS Kulkarni,P Kumar,DS Kulkarni- P Kumar,Gujarat Lions,11,Royal Challengers Bangalore,Gujarat Lions
DS Kulkarni,SB Jakati,DS Kulkarni- SB Jakati,Gujarat Lions,2,Royal Challengers Bangalore,Gujarat Lions
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,14,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,CH Gayle,AB de Villiers- CH Gayle,Royal Challengers Bangalore,13,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,KL Rahul,AB de Villiers- KL Rahul,Royal Challengers Bangalore,0,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,SR Watson,AB de Villiers- SR Watson,Royal Challengers Bangalore,3,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,Sachin Baby,AB de Villiers- Sachin Baby,Royal Challengers Bangalore,1,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,STR Binny,AB de Villiers- STR Binny,Royal Challengers Bangalore,39,Royal Challengers Bangalore,Gujarat Lions
AB de Villiers,Iqbal Abdulla,AB de Villiers- Iqbal Abdulla,Royal Challengers Bangalore,91,Royal Challengers Bangalore,Gujarat Lions
Q de Kock,RR Pant,Q de Kock- RR Pant,Delhi Daredevils,102,Royal Challengers Bangalore,Delhi Daredevils
KK Nair,Q de Kock,KK Nair- Q de Kock,Delhi Daredevils,31,Royal Challengers Bangalore,Delhi Daredevils
Q de Kock,SV Samson,Q de Kock- SV Samson,Delhi Daredevils,29,Royal Challengers Bangalore,Delhi Daredevils
Q de Kock,SW Billings,Q de Kock- SW Billings,Delhi Daredevils,10,Royal Challengers Bangalore,Delhi Daredevils
P Negi,Q de Kock,P Negi- Q de Kock,Delhi Daredevils,15,Royal Challengers Bangalore,Delhi Daredevils
CR Brathwaite,Q de Kock,CR Brathwaite- Q de Kock,Delhi Daredevils,2,Royal Challengers Bangalore,Delhi Daredevils
CH Morris,Q de Kock,CH Morris- Q de Kock,Delhi Daredevils,9,Royal Challengers Bangalore,Delhi Daredevils
CH Morris,J Yadav,CH Morris- J Yadav,Delhi Daredevils,31,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,V Kohli,CH Gayle- V Kohli,Royal Challengers Bangalore,36,Royal Challengers Bangalore,Delhi Daredevils
AB de Villiers,V Kohli,AB de Villiers- V Kohli,Royal Challengers Bangalore,12,Royal Challengers Bangalore,Delhi Daredevils
KL Rahul,V Kohli,KL Rahul- V Kohli,Royal Challengers Bangalore,66,Royal Challengers Bangalore,Delhi Daredevils
SR Watson,V Kohli,SR Watson- V Kohli,Royal Challengers Bangalore,28,Royal Challengers Bangalore,Delhi Daredevils
STR Binny,V Kohli,STR Binny- V Kohli,Royal Challengers Bangalore,28,Royal Challengers Bangalore,Delhi Daredevils
G Gambhir,RV Uthappa,G Gambhir- RV Uthappa,Kolkata Knight Riders,61,Kolkata Knight Riders,Sunrisers Hyderabad
C Munro,G Gambhir,C Munro- G Gambhir,Kolkata Knight Riders,15,Kolkata Knight Riders,Sunrisers Hyderabad
G Gambhir,MK Pandey,G Gambhir- MK Pandey,Kolkata Knight Riders,9,Kolkata Knight Riders,Sunrisers Hyderabad
MK Pandey,YK Pathan,MK Pandey- YK Pathan,Kolkata Knight Riders,87,Kolkata Knight Riders,Sunrisers Hyderabad
JO Holder,YK Pathan,JO Holder- YK Pathan,Kolkata Knight Riders,9,Kolkata Knight Riders,Sunrisers Hyderabad
Shakib Al Hasan,YK Pathan,Shakib Al Hasan- YK Pathan,Kolkata Knight Riders,11,Kolkata Knight Riders,Sunrisers Hyderabad
SA Yadav,YK Pathan,SA Yadav- YK Pathan,Kolkata Knight Riders,7,Kolkata Knight Riders,Sunrisers Hyderabad
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,35,Kolkata Knight Riders,Sunrisers Hyderabad
NV Ojha,S Dhawan,NV Ojha- S Dhawan,Sunrisers Hyderabad,58,Kolkata Knight Riders,Sunrisers Hyderabad
NV Ojha,Yuvraj Singh,NV Ojha- Yuvraj Singh,Sunrisers Hyderabad,6,Kolkata Knight Riders,Sunrisers Hyderabad
KS Williamson,Yuvraj Singh,KS Williamson- Yuvraj Singh,Sunrisers Hyderabad,18,Kolkata Knight Riders,Sunrisers Hyderabad
DJ Hooda,KS Williamson,DJ Hooda- KS Williamson,Sunrisers Hyderabad,5,Kolkata Knight Riders,Sunrisers Hyderabad
KS Williamson,MC Henriques,KS Williamson- MC Henriques,Sunrisers Hyderabad,2,Kolkata Knight Riders,Sunrisers Hyderabad
KV Sharma,MC Henriques,KV Sharma- MC Henriques,Sunrisers Hyderabad,19,Kolkata Knight Riders,Sunrisers Hyderabad
B Kumar,KV Sharma,B Kumar- KV Sharma,Sunrisers Hyderabad,8,Kolkata Knight Riders,Sunrisers Hyderabad
BB Sran,KV Sharma,BB Sran- KV Sharma,Sunrisers Hyderabad,5,Kolkata Knight Riders,Sunrisers Hyderabad
MJ Guptill,RG Sharma,MJ Guptill- RG Sharma,Mumbai Indians,38,Gujarat Lions,Mumbai Indians
MJ Guptill,N Rana,MJ Guptill- N Rana,Mumbai Indians,8,Gujarat Lions,Mumbai Indians
KH Pandya,N Rana,KH Pandya- N Rana,Mumbai Indians,4,Gujarat Lions,Mumbai Indians
JC Buttler,N Rana,JC Buttler- N Rana,Mumbai Indians,75,Gujarat Lions,Mumbai Indians
KA Pollard,N Rana,KA Pollard- N Rana,Mumbai Indians,33,Gujarat Lions,Mumbai Indians
HH Pandya,KA Pollard,HH Pandya- KA Pollard,Mumbai Indians,7,Gujarat Lions,Mumbai Indians
HH Pandya,Harbhajan Singh,HH Pandya- Harbhajan Singh,Mumbai Indians,6,Gujarat Lions,Mumbai Indians
HH Pandya,R Vinay Kumar,HH Pandya- R Vinay Kumar,Mumbai Indians,6,Gujarat Lions,Mumbai Indians
AJ Finch,BB McCullum,AJ Finch- BB McCullum,Gujarat Lions,6,Gujarat Lions,Mumbai Indians
BB McCullum,SK Raina,BB McCullum- SK Raina,Gujarat Lions,96,Gujarat Lions,Mumbai Indians
KD Karthik,SK Raina,KD Karthik- SK Raina,Gujarat Lions,15,Gujarat Lions,Mumbai Indians
DR Smith,SK Raina,DR Smith- SK Raina,Gujarat Lions,11,Gujarat Lions,Mumbai Indians
DR Smith,RA Jadeja,DR Smith- RA Jadeja,Gujarat Lions,51,Gujarat Lions,Mumbai Indians
HM Amla,M Vijay,HM Amla- M Vijay,Kings XI Punjab,111,Rising Pune Supergiants,Kings XI Punjab
M Vijay,WP Saha,M Vijay- WP Saha,Kings XI Punjab,5,Rising Pune Supergiants,Kings XI Punjab
Gurkeerat Singh,M Vijay,Gurkeerat Singh- M Vijay,Kings XI Punjab,58,Rising Pune Supergiants,Kings XI Punjab
DA Miller,Gurkeerat Singh,DA Miller- Gurkeerat Singh,Kings XI Punjab,27,Rising Pune Supergiants,Kings XI Punjab
DA Miller,F Behardien,DA Miller- F Behardien,Kings XI Punjab,4,Rising Pune Supergiants,Kings XI Punjab
AR Patel,F Behardien,AR Patel- F Behardien,Kings XI Punjab,6,Rising Pune Supergiants,Kings XI Punjab
AR Patel,R Dhawan,AR Patel- R Dhawan,Kings XI Punjab,0,Rising Pune Supergiants,Kings XI Punjab
KJ Abbott,R Dhawan,KJ Abbott- R Dhawan,Kings XI Punjab,12,Rising Pune Supergiants,Kings XI Punjab
AM Rahane,UT Khawaja,AM Rahane- UT Khawaja,Rising Pune Supergiants,47,Rising Pune Supergiants,Kings XI Punjab
GJ Bailey,UT Khawaja,GJ Bailey- UT Khawaja,Rising Pune Supergiants,12,Rising Pune Supergiants,Kings XI Punjab
SS Tiwary,UT Khawaja,SS Tiwary- UT Khawaja,Rising Pune Supergiants,31,Rising Pune Supergiants,Kings XI Punjab
MS Dhoni,UT Khawaja,MS Dhoni- UT Khawaja,Rising Pune Supergiants,2,Rising Pune Supergiants,Kings XI Punjab
IK Pathan,MS Dhoni,IK Pathan- MS Dhoni,Rising Pune Supergiants,6,Rising Pune Supergiants,Kings XI Punjab
MS Dhoni,NLTC Perera,MS Dhoni- NLTC Perera,Rising Pune Supergiants,58,Rising Pune Supergiants,Kings XI Punjab
MS Dhoni,R Ashwin,MS Dhoni- R Ashwin,Rising Pune Supergiants,29,Rising Pune Supergiants,Kings XI Punjab
DA Warner,S Dhawan,DA Warner- S Dhawan,Sunrisers Hyderabad,75,Delhi Daredevils,Sunrisers Hyderabad
DA Warner,DJ Hooda,DA Warner- DJ Hooda,Sunrisers Hyderabad,2,Delhi Daredevils,Sunrisers Hyderabad
DA Warner,Yuvraj Singh,DA Warner- Yuvraj Singh,Sunrisers Hyderabad,18,Delhi Daredevils,Sunrisers Hyderabad
DA Warner,MC Henriques,DA Warner- MC Henriques,Sunrisers Hyderabad,39,Delhi Daredevils,Sunrisers Hyderabad
DA Warner,EJG Morgan,DA Warner- EJG Morgan,Sunrisers Hyderabad,12,Delhi Daredevils,Sunrisers Hyderabad
EJG Morgan,NV Ojha,EJG Morgan- NV Ojha,Sunrisers Hyderabad,15,Delhi Daredevils,Sunrisers Hyderabad
B Kumar,NV Ojha,B Kumar- NV Ojha,Sunrisers Hyderabad,26,Delhi Daredevils,Sunrisers Hyderabad
Q de Kock,RR Pant,Q de Kock- RR Pant,Delhi Daredevils,35,Delhi Daredevils,Sunrisers Hyderabad
