Match ID,Player Name,Runs scored,Balls,Fours,Sixes,Wicket Taker,Wicket Type,Balls Bowled,Runs Conceded,Wickets Taken,Team
336034,AS Yadav,3,4,0,0,,,0,0,0,Deccan Chargers
336034,HH Gibbs,5,7,1,0,P Kumar,caught,0,0,0,Deccan Chargers
336034,Shahid Afridi,1,2,0,0,P Kumar,caught,24,24,1,Deccan Chargers
336034,VVS Laxman,52,44,7,0,P Kumar,lbw,0,0,0,Deccan Chargers
336034,Z Khan,0,0,0,0,,,25,24,2,Royal Challengers Bangalore
336034,Misbah-ul-Haq,3,5,0,0,Shahid Afridi,lbw,0,0,0,Royal Challengers Bangalore
336034,R Dravid,26,19,1,2,SB Styris,caught,0,0,0,Royal Challengers Bangalore
336034,A Kumble,0,0,0,0,,,47,25,0,Royal Challengers Bangalore
336034,DW Steyn,0,0,0,0,,,21,25,0,Royal Challengers Bangalore
336034,MV Boucher,16,14,2,0,RP Singh,bowled,0,0,0,Royal Challengers Bangalore
336034,W Jaffer,44,37,6,0,PP Ojha,caught,0,0,0,Royal Challengers Bangalore
336034,RP Singh,0,0,0,0,,,41,25,3,Deccan Chargers
336034,SB Bangar,17,7,0,2,,,14,6,0,Deccan Chargers
336034,SB Styris,2,3,0,0,Z Khan,lbw,29,25,1,Deccan Chargers
336034,B Chipli,10,7,2,0,RP Singh,bowled,0,0,0,Royal Challengers Bangalore
336034,P Kumar,8,4,2,0,SB Styris,run out,24,24,3,Royal Challengers Bangalore
336034,AC Gilchrist,10,12,2,0,Z Khan,caught,0,0,0,Deccan Chargers
336034,V Kohli,38,31,1,2,RP Singh,caught,0,0,0,Royal Challengers Bangalore
336034,RG Sharma,57,43,5,3,JH Kallis,caught,0,0,0,Deccan Chargers
336034,DP Vijaykumar,0,0,0,0,,,19,18,0,Deccan Chargers
336013,JA Morkel,7,6,0,0,,,25,24,1,Chennai Super Kings
336013,S Badrinath,64,52,6,3,VRV Singh,caught,0,0,0,Chennai Super Kings
336013,MS Dhoni,60,44,2,4,,,0,0,0,Chennai Super Kings
336013,PP Chawla,17,16,1,1,L Balaji,caught,36,19,1,Kings XI Punjab
336013,P Amarnath,0,0,0,0,,,35,18,1,Chennai Super Kings
336013,MS Gony,0,0,0,0,,,38,24,1,Chennai Super Kings
