op_partner_name,team,partnership,winner,loser
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,69,winner_Kolkata Knight Riders,loser_Delhi Daredevils
NV Ojha-RJ Quiney,team_Rajasthan Royals,22,winner_Kolkata Knight Riders,loser_Rajasthan Royals
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,9,winner_Kolkata Knight Riders,loser_Rajasthan Royals
AM Rahane-UT Khawaja,team_Rising Pune Supergiants,26,winner_Royal Challengers Bangalore,loser_Rising Pune Supergiants
KL Rahul-V Kohli,team_Royal Challengers Bangalore,94,winner_Royal Challengers Bangalore,loser_Rising Pune Supergiants
BB McCullum-DR Smith,team_Chennai Super Kings,0,winner_Kolkata Knight Riders,loser_Chennai Super Kings
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,33,winner_Kolkata Knight Riders,loser_Chennai Super Kings
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,5,winner_Delhi Daredevils,loser_Kings XI Punjab
DA Warner-UBT Chand,team_Delhi Daredevils,82,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,67,winner_Kings XI Punjab,loser_Rajasthan Royals
R Dravid-SA Asnodkar,team_Rajasthan Royals,12,winner_Kings XI Punjab,loser_Rajasthan Royals
KL Rahul-V Kohli,team_Royal Challengers Bangalore,63,winner_Royal Challengers Bangalore,loser_Kings XI Punjab
HM Amla-M Vijay,team_Kings XI Punjab,45,winner_Royal Challengers Bangalore,loser_Kings XI Punjab
M Vijay-MEK Hussey,team_Chennai Super Kings,7,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
AB de Villiers-CH Gayle,team_Royal Challengers Bangalore,0,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
BB McCullum-DR Smith,team_Chennai Super Kings,44,winner_Mumbai Indians,loser_Chennai Super Kings
LMP Simmons-PA Patel,team_Mumbai Indians,84,winner_Mumbai Indians,loser_Chennai Super Kings
BB McCullum-DR Smith,team_Gujarat Lions,17,winner_Delhi Daredevils,loser_Gujarat Lions
Q de Kock-RR Pant,team_Delhi Daredevils,115,winner_Delhi Daredevils,loser_Gujarat Lions
DJ Jacobs-RE Levi,team_Mumbai Indians,2,winner_Delhi Daredevils,loser_Mumbai Indians
NV Ojha-V Sehwag,team_Delhi Daredevils,34,winner_Delhi Daredevils,loser_Mumbai Indians
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,69,winner_Mumbai Indians,loser_Kolkata Knight Riders
PA Patel-RG Sharma,team_Mumbai Indians,8,winner_Mumbai Indians,loser_Kolkata Knight Riders
AC Gilchrist-HH Gibbs,team_Deccan Chargers,1,winner_Deccan Chargers,loser_Royal Challengers Bangalore
JH Kallis-MK Pandey,team_Royal Challengers Bangalore,0,winner_Deccan Chargers,loser_Royal Challengers Bangalore
CH Gayle-PA Patel,team_Royal Challengers Bangalore,21,winner_Kings XI Punjab,loser_Royal Challengers Bangalore
CA Pujara-V Sehwag,team_Kings XI Punjab,22,winner_Kings XI Punjab,loser_Royal Challengers Bangalore
PA Patel-S Dhawan,team_Sunrisers Hyderabad,2,winner_Rajasthan Royals,loser_Sunrisers Hyderabad
AM Rahane-R Dravid,team_Rajasthan Royals,13,winner_Rajasthan Royals,loser_Sunrisers Hyderabad
S Dhawan-S Sohal,team_Deccan Chargers,20,winner_Deccan Chargers,loser_Royal Challengers Bangalore
MA Agarwal-TM Dilshan,team_Royal Challengers Bangalore,8,winner_Deccan Chargers,loser_Royal Challengers Bangalore
S Dhawan-SR Tendulkar,team_Mumbai Indians,7,winner_Kings XI Punjab,loser_Mumbai Indians
AB Barath-DPMD Jayawardene,team_Kings XI Punjab,41,winner_Kings XI Punjab,loser_Mumbai Indians
K Goel-RS Bopara,team_Kings XI Punjab,67,winner_Delhi Daredevils,loser_Kings XI Punjab
G Gambhir-V Sehwag,team_Delhi Daredevils,58,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Blizzard-SR Tendulkar,team_Mumbai Indians,50,winner_Mumbai Indians,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,3,winner_Mumbai Indians,loser_Delhi Daredevils
PA Patel-S Dhawan,team_Deccan Chargers,39,winner_Deccan Chargers,loser_Pune Warriors
JD Ryder-MK Pandey,team_Pune Warriors,15,winner_Deccan Chargers,loser_Pune Warriors
AC Gilchrist-VVS Laxman,team_Deccan Chargers,2,winner_Rajasthan Royals,loser_Deccan Chargers
MJ Lumb-NV Ojha,team_Rajasthan Royals,55,winner_Rajasthan Royals,loser_Deccan Chargers
LMP Simmons-RG Sharma,team_Mumbai Indians,8,winner_Rising Pune Supergiants,loser_Mumbai Indians
AM Rahane-F du Plessis,team_Rising Pune Supergiants,78,winner_Rising Pune Supergiants,loser_Mumbai Indians
AM Nayar-AM Rahane,team_Rajasthan Royals,22,winner_Kings XI Punjab,loser_Rajasthan Royals
CA Pujara-V Sehwag,team_Kings XI Punjab,5,winner_Kings XI Punjab,loser_Rajasthan Royals
S Sohal-SM Katich,team_Kings XI Punjab,12,winner_Kings XI Punjab,loser_Deccan Chargers
AC Gilchrist-HH Gibbs,team_Deccan Chargers,34,winner_Kings XI Punjab,loser_Deccan Chargers
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,14,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,8,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
DA Warner-S Dhawan,team_Sunrisers Hyderabad,28,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
KL Rahul-V Kohli,team_Royal Challengers Bangalore,42,winner_Sunrisers Hyderabad,loser_Royal Challengers Bangalore
DR Smith-SR Tendulkar,team_Mumbai Indians,11,winner_Delhi Daredevils,loser_Mumbai Indians
DPMD Jayawardene-V Sehwag,team_Delhi Daredevils,151,winner_Delhi Daredevils,loser_Mumbai Indians
RS Bopara-SE Marsh,team_Kings XI Punjab,5,winner_Mumbai Indians,loser_Kings XI Punjab
S Dhawan-SR Tendulkar,team_Mumbai Indians,42,winner_Mumbai Indians,loser_Kings XI Punjab
BB McCullum-DPMD Jayawardene,team_Kochi Tuskers Kerala,93,winner_Kings XI Punjab,loser_Kochi Tuskers Kerala
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,25,winner_Kings XI Punjab,loser_Kochi Tuskers Kerala
CH Gayle-SC Ganguly,team_Kolkata Knight Riders,17,winner_Chennai Super Kings,loser_Kolkata Knight Riders
M Vijay-ML Hayden,team_Chennai Super Kings,6,winner_Chennai Super Kings,loser_Kolkata Knight Riders
CA Pujara-V Sehwag,team_Kings XI Punjab,9,winner_Kings XI Punjab,loser_Kolkata Knight Riders
JH Kallis-MK Pandey,team_Kolkata Knight Riders,13,winner_Kings XI Punjab,loser_Kolkata Knight Riders
MJ Guptill-PA Patel,team_Mumbai Indians,2,winner_Sunrisers Hyderabad,loser_Mumbai Indians
DA Warner-S Dhawan,team_Sunrisers Hyderabad,4,winner_Sunrisers Hyderabad,loser_Mumbai Indians
TM Dilshan-V Kohli,team_Royal Challengers Bangalore,23,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
AM Rahane-R Dravid,team_Rajasthan Royals,56,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
JH Kallis-MK Pandey,team_Royal Challengers Bangalore,7,winner_Royal Challengers Bangalore,loser_Deccan Chargers
AC Gilchrist-HH Gibbs,team_Deccan Chargers,68,winner_Royal Challengers Bangalore,loser_Deccan Chargers
DA Warner-V Sehwag,team_Delhi Daredevils,41,winner_Delhi Daredevils,loser_Royal Challengers Bangalore
CL White-JH Kallis,team_Royal Challengers Bangalore,25,winner_Delhi Daredevils,loser_Royal Challengers Bangalore
JH Kallis-MK Pandey,team_Royal Challengers Bangalore,18,winner_Deccan Chargers,loser_Royal Challengers Bangalore
AC Gilchrist-MD Mishra,team_Deccan Chargers,11,winner_Deccan Chargers,loser_Royal Challengers Bangalore
JD Ryder-RV Uthappa,team_Pune Warriors,63,winner_Royal Challengers Bangalore,loser_Pune Warriors
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,7,winner_Royal Challengers Bangalore,loser_Pune Warriors
M Vijay-M Vohra,team_Kings XI Punjab,21,winner_Kolkata Knight Riders,loser_Kings XI Punjab
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,82,winner_Kolkata Knight Riders,loser_Kings XI Punjab
G Gambhir-V Sehwag,team_Delhi Daredevils,11,winner_Kings XI Punjab,loser_Delhi Daredevils
K Goel-SM Katich,team_Kings XI Punjab,2,winner_Kings XI Punjab,loser_Delhi Daredevils
BB McCullum-DR Smith,team_Chennai Super Kings,75,winner_Chennai Super Kings,loser_Sunrisers Hyderabad
DA Warner-S Dhawan,team_Sunrisers Hyderabad,30,winner_Chennai Super Kings,loser_Sunrisers Hyderabad
GC Smith-JD Ryder,team_Pune Warriors,28,winner_Delhi Daredevils,loser_Pune Warriors
DA Warner-V Sehwag,team_Delhi Daredevils,75,winner_Delhi Daredevils,loser_Pune Warriors
SR Tendulkar-ST Jayasuriya,team_Mumbai Indians,21,winner_Royal Challengers Bangalore,loser_Mumbai Indians
JH Kallis-W Jaffer,team_Royal Challengers Bangalore,24,winner_Royal Challengers Bangalore,loser_Mumbai Indians
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,23,winner_Gujarat Lions,loser_Kolkata Knight Riders
BB McCullum-DR Smith,team_Gujarat Lions,0,winner_Gujarat Lions,loser_Kolkata Knight Riders
M Vijay-MEK Hussey,team_Chennai Super Kings,83,winner_Rajasthan Royals,loser_Chennai Super Kings
AM Rahane-R Dravid,team_Rajasthan Royals,14,winner_Rajasthan Royals,loser_Chennai Super Kings
LMP Simmons-PA Patel,team_Mumbai Indians,43,winner_Mumbai Indians,loser_Rajasthan Royals
AM Rahane-SR Watson,team_Rajasthan Royals,30,winner_Mumbai Indians,loser_Rajasthan Royals
DA Warner-S Dhawan,team_Sunrisers Hyderabad,86,winner_Sunrisers Hyderabad,loser_Chennai Super Kings
BB McCullum-DR Smith,team_Chennai Super Kings,14,winner_Sunrisers Hyderabad,loser_Chennai Super Kings
CH Gayle-SS Tiwary,team_Royal Challengers Bangalore,36,winner_Royal Challengers Bangalore,loser_Pune Warriors
AJ Finch-RV Uthappa,team_Pune Warriors,20,winner_Royal Challengers Bangalore,loser_Pune Warriors
PA Patel-S Vidyut,team_Chennai Super Kings,39,winner_Rajasthan Royals,loser_Chennai Super Kings
NK Patel-SA Asnodkar,team_Rajasthan Royals,19,winner_Rajasthan Royals,loser_Chennai Super Kings
DPMD Jayawardene-V Sehwag,team_Delhi Daredevils,13,winner_Delhi Daredevils,loser_Rajasthan Royals
AM Rahane-R Dravid,team_Rajasthan Royals,99,winner_Delhi Daredevils,loser_Rajasthan Royals
BB McCullum-CH Gayle,team_Kolkata Knight Riders,0,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
JH Kallis-SP Goswami,team_Royal Challengers Bangalore,69,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
DJ Jacobs-SR Tendulkar,team_Mumbai Indians,14,winner_Mumbai Indians,loser_Kings XI Punjab
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,1,winner_Mumbai Indians,loser_Kings XI Punjab
S Dhawan-S Sohal,team_Deccan Chargers,13,winner_Kings XI Punjab,loser_Deccan Chargers
AC Gilchrist-PC Valthaty,team_Kings XI Punjab,136,winner_Kings XI Punjab,loser_Deccan Chargers
MJ Lumb-NV Ojha,team_Rajasthan Royals,0,winner_Rajasthan Royals,loser_Kolkata Knight Riders
BJ Hodge-MK Tiwary,team_Kolkata Knight Riders,18,winner_Rajasthan Royals,loser_Kolkata Knight Riders
PA Patel-PA Reddy,team_Sunrisers Hyderabad,12,winner_Royal Challengers Bangalore,loser_Sunrisers Hyderabad
CH Gayle-MA Agarwal,team_Royal Challengers Bangalore,39,winner_Royal Challengers Bangalore,loser_Sunrisers Hyderabad
M Vijay-MEK Hussey,team_Chennai Super Kings,1,winner_Chennai Super Kings,loser_Mumbai Indians
DR Smith-SR Tendulkar,team_Mumbai Indians,47,winner_Chennai Super Kings,loser_Mumbai Indians
CH Gayle-V Kohli,team_Royal Challengers Bangalore,20,winner_Royal Challengers Bangalore,loser_Mumbai Indians
LMP Simmons-PA Patel,team_Mumbai Indians,29,winner_Royal Challengers Bangalore,loser_Mumbai Indians
G Gambhir-JH Kallis,team_Kolkata Knight Riders,1,winner_Delhi Daredevils,loser_Kolkata Knight Riders
M Vijay-MA Agarwal,team_Delhi Daredevils,10,winner_Delhi Daredevils,loser_Kolkata Knight Riders
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,45,winner_Kolkata Knight Riders,loser_Kings XI Punjab
G Gambhir-MS Bisla,team_Kolkata Knight Riders,10,winner_Kolkata Knight Riders,loser_Kings XI Punjab
AM Rahane-F du Plessis,team_Rising Pune Supergiants,24,winner_Kolkata Knight Riders,loser_Rising Pune Supergiants
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,0,winner_Kolkata Knight Riders,loser_Rising Pune Supergiants
HM Amla-M Vijay,team_Kings XI Punjab,33,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
DA Warner-S Dhawan,team_Sunrisers Hyderabad,68,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
BB McCullum-M Klinger,team_Kochi Tuskers Kerala,43,winner_Royal Challengers Bangalore,loser_Kochi Tuskers Kerala
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,67,winner_Royal Challengers Bangalore,loser_Kochi Tuskers Kerala
AC Gilchrist-SE Marsh,team_Kings XI Punjab,60,winner_Kings XI Punjab,loser_Delhi Daredevils
DPMD Jayawardene-UBT Chand,team_Delhi Daredevils,11,winner_Kings XI Punjab,loser_Delhi Daredevils
BB McCullum-DR Smith,team_Chennai Super Kings,0,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
NJ Maddinson-V Kohli,team_Royal Challengers Bangalore,10,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
A Mukund-CH Gayle,team_Royal Challengers Bangalore,44,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
AM Rahane-R Dravid,team_Rajasthan Royals,21,winner_Rajasthan Royals,loser_Royal Challengers Bangalore
AJ Finch-S Dhawan,team_Sunrisers Hyderabad,2,winner_Rajasthan Royals,loser_Sunrisers Hyderabad
AM Nayar-AM Rahane,team_Rajasthan Royals,4,winner_Rajasthan Royals,loser_Sunrisers Hyderabad
M Vohra-V Sehwag,team_Kings XI Punjab,24,winner_Kings XI Punjab,loser_Rajasthan Royals
AM Rahane-KK Nair,team_Rajasthan Royals,21,winner_Kings XI Punjab,loser_Rajasthan Royals
R Dravid-SR Watson,team_Rajasthan Royals,86,winner_Chennai Super Kings,loser_Rajasthan Royals
M Vijay-MEK Hussey,team_Chennai Super Kings,8,winner_Chennai Super Kings,loser_Rajasthan Royals
BB McCullum-VVS Laxman,team_Kochi Tuskers Kerala,80,winner_Royal Challengers Bangalore,loser_Kochi Tuskers Kerala
MA Agarwal-TM Dilshan,team_Royal Challengers Bangalore,7,winner_Royal Challengers Bangalore,loser_Kochi Tuskers Kerala
G Gambhir-V Sehwag,team_Delhi Daredevils,12,winner_Delhi Daredevils,loser_Rajasthan Royals
GC Smith-RJ Quiney,team_Rajasthan Royals,7,winner_Delhi Daredevils,loser_Rajasthan Royals
AC Gilchrist-Y Venugopal Rao,team_Deccan Chargers,21,winner_Kolkata Knight Riders,loser_Deccan Chargers
BB McCullum-WP Saha,team_Kolkata Knight Riders,6,winner_Kolkata Knight Riders,loser_Deccan Chargers
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,57,winner_Royal Challengers Bangalore,loser_Pune Warriors
JD Ryder-TD Paine,team_Pune Warriors,35,winner_Royal Challengers Bangalore,loser_Pune Warriors
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,5,winner_Rajasthan Royals,loser_Kings XI Punjab
AM Rahane-SR Watson,team_Rajasthan Royals,43,winner_Rajasthan Royals,loser_Kings XI Punjab
AC Blizzard-SR Tendulkar,team_Mumbai Indians,18,winner_Mumbai Indians,loser_Pune Warriors
JD Ryder-MK Pandey,team_Pune Warriors,0,winner_Mumbai Indians,loser_Pune Warriors
DJ Jacobs-SR Tendulkar,team_Mumbai Indians,47,winner_Mumbai Indians,loser_Deccan Chargers
S Dhawan-S Sohal,team_Deccan Chargers,14,winner_Mumbai Indians,loser_Deccan Chargers
CA Pujara-CH Gayle,team_Royal Challengers Bangalore,15,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
G Gambhir-MS Bisla,team_Kolkata Knight Riders,0,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
DR Smith-F du Plessis,team_Chennai Super Kings,33,winner_Sunrisers Hyderabad,loser_Chennai Super Kings
DA Warner-S Dhawan,team_Sunrisers Hyderabad,116,winner_Sunrisers Hyderabad,loser_Chennai Super Kings
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,2,winner_Kolkata Knight Riders,loser_Kings XI Punjab
M Vohra-V Sehwag,team_Kings XI Punjab,5,winner_Kolkata Knight Riders,loser_Kings XI Punjab
AP Tare-MEK Hussey,team_Mumbai Indians,20,winner_Royal Challengers Bangalore,loser_Mumbai Indians
NJ Maddinson-PA Patel,team_Royal Challengers Bangalore,16,winner_Royal Challengers Bangalore,loser_Mumbai Indians
DJ Jacobs-SR Tendulkar,team_Mumbai Indians,22,winner_Rajasthan Royals,loser_Mumbai Indians
R Dravid-SR Watson,team_Rajasthan Royals,17,winner_Rajasthan Royals,loser_Mumbai Indians
BB McCullum-DR Smith,team_Chennai Super Kings,23,winner_Chennai Super Kings,loser_Delhi Daredevils
M Vijay-MA Agarwal,team_Delhi Daredevils,8,winner_Chennai Super Kings,loser_Delhi Daredevils
AJ Finch-RG Sharma,team_Mumbai Indians,8,winner_Kolkata Knight Riders,loser_Mumbai Indians
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,13,winner_Kolkata Knight Riders,loser_Mumbai Indians
AM Rahane-SR Watson,team_Rajasthan Royals,80,winner_Rajasthan Royals,loser_Kolkata Knight Riders
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,8,winner_Rajasthan Royals,loser_Kolkata Knight Riders
MA Agarwal-SS Iyer,team_Delhi Daredevils,15,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
DA Warner-S Dhawan,team_Sunrisers Hyderabad,50,winner_Delhi Daredevils,loser_Sunrisers Hyderabad
AM Rahane-KK Nair,team_Rajasthan Royals,44,winner_Rajasthan Royals,loser_Delhi Daredevils
KP Pietersen-MA Agarwal,team_Delhi Daredevils,19,winner_Rajasthan Royals,loser_Delhi Daredevils
M Vijay-ML Hayden,team_Chennai Super Kings,62,winner_Chennai Super Kings,loser_Rajasthan Royals
MJ Lumb-NV Ojha,team_Rajasthan Royals,69,winner_Chennai Super Kings,loser_Rajasthan Royals
RT Ponting-SR Tendulkar,team_Mumbai Indians,0,winner_Mumbai Indians,loser_Delhi Daredevils
DA Warner-UBT Chand,team_Delhi Daredevils,0,winner_Mumbai Indians,loser_Delhi Daredevils
GC Smith-RJ Quiney,team_Rajasthan Royals,43,winner_Rajasthan Royals,loser_Mumbai Indians
DJ Bravo-YV Takawale,team_Mumbai Indians,9,winner_Rajasthan Royals,loser_Mumbai Indians
S Sohal-SM Katich,team_Kings XI Punjab,5,winner_Mumbai Indians,loser_Kings XI Punjab
DJ Bravo-ST Jayasuriya,team_Mumbai Indians,5,winner_Mumbai Indians,loser_Kings XI Punjab
BB McCullum-DR Smith,team_Chennai Super Kings,20,winner_Chennai Super Kings,loser_Kolkata Knight Riders
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,17,winner_Chennai Super Kings,loser_Kolkata Knight Riders
M Vijay-MA Agarwal,team_Delhi Daredevils,15,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
NJ Maddinson-PA Patel,team_Royal Challengers Bangalore,6,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
SR Watson-SV Samson,team_Rajasthan Royals,34,winner_Mumbai Indians,loser_Rajasthan Royals
LMP Simmons-MEK Hussey,team_Mumbai Indians,19,winner_Mumbai Indians,loser_Rajasthan Royals
M Vijay-ML Hayden,team_Chennai Super Kings,27,winner_Chennai Super Kings,loser_Mumbai Indians
S Dhawan-SR Tendulkar,team_Mumbai Indians,46,winner_Chennai Super Kings,loser_Mumbai Indians
CH Gayle-V Kohli,team_Royal Challengers Bangalore,23,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
DR Smith-MEK Hussey,team_Chennai Super Kings,21,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
DA Warner-V Sehwag,team_Delhi Daredevils,9,winner_Delhi Daredevils,loser_Kolkata Knight Riders
CH Gayle-SC Ganguly,team_Kolkata Knight Riders,19,winner_Delhi Daredevils,loser_Kolkata Knight Riders
A Chopra-Salman Butt,team_Kolkata Knight Riders,16,winner_Mumbai Indians,loser_Kolkata Knight Riders
SR Tendulkar-ST Jayasuriya,team_Mumbai Indians,6,winner_Mumbai Indians,loser_Kolkata Knight Riders
AP Tare-MEK Hussey,team_Mumbai Indians,11,winner_Chennai Super Kings,loser_Mumbai Indians
BB McCullum-DR Smith,team_Chennai Super Kings,57,winner_Chennai Super Kings,loser_Mumbai Indians
DA Warner-S Dhawan,team_Sunrisers Hyderabad,48,winner_Sunrisers Hyderabad,loser_Rajasthan Royals
AM Rahane-SR Watson,team_Rajasthan Royals,8,winner_Sunrisers Hyderabad,loser_Rajasthan Royals
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,80,winner_Royal Challengers Bangalore,loser_Pune Warriors
MD Mishra-MJ Clarke,team_Pune Warriors,4,winner_Royal Challengers Bangalore,loser_Pune Warriors
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,61,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
R Dravid-W Jaffer,team_Royal Challengers Bangalore,4,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
M Vijay-MEK Hussey,team_Chennai Super Kings,87,winner_Kolkata Knight Riders,loser_Chennai Super Kings
G Gambhir-MS Bisla,team_Kolkata Knight Riders,3,winner_Kolkata Knight Riders,loser_Chennai Super Kings
DB Ravi Teja-S Dhawan,team_Deccan Chargers,51,winner_Pune Warriors,loser_Deccan Chargers
JD Ryder-MK Pandey,team_Pune Warriors,55,winner_Pune Warriors,loser_Deccan Chargers
JH Kallis-MK Pandey,team_Royal Challengers Bangalore,28,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
ML Hayden-PA Patel,team_Chennai Super Kings,2,winner_Royal Challengers Bangalore,loser_Chennai Super Kings
M Vijay-M Vohra,team_Kings XI Punjab,14,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
DA Warner-S Dhawan,team_Sunrisers Hyderabad,90,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
BB McCullum-CH Gayle,team_Kolkata Knight Riders,23,winner_Kings XI Punjab,loser_Kolkata Knight Riders
KC Sangakkara-S Sohal,team_Kings XI Punjab,1,winner_Kings XI Punjab,loser_Kolkata Knight Riders
AM Rahane-MDKJ Perera,team_Rajasthan Royals,0,winner_Pune Warriors,loser_Rajasthan Royals
AJ Finch-RV Uthappa,team_Pune Warriors,58,winner_Pune Warriors,loser_Rajasthan Royals
GC Smith-SA Asnodkar,team_Rajasthan Royals,65,winner_Rajasthan Royals,loser_Delhi Daredevils
G Gambhir-V Sehwag,team_Delhi Daredevils,10,winner_Rajasthan Royals,loser_Delhi Daredevils
JR Hopes-SE Marsh,team_Kings XI Punjab,28,winner_Kings XI Punjab,loser_Kolkata Knight Riders
Mohammad Hafeez-SC Ganguly,team_Kolkata Knight Riders,22,winner_Kings XI Punjab,loser_Kolkata Knight Riders
Mandeep Singh-V Sehwag,team_Kings XI Punjab,60,winner_Kings XI Punjab,loser_Royal Challengers Bangalore
CH Gayle-PA Patel,team_Royal Challengers Bangalore,8,winner_Kings XI Punjab,loser_Royal Challengers Bangalore
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,167,winner_Royal Challengers Bangalore,loser_Pune Warriors
AJ Finch-RV Uthappa,team_Pune Warriors,0,winner_Royal Challengers Bangalore,loser_Pune Warriors
AC Gilchrist-MD Mishra,team_Deccan Chargers,3,winner_Deccan Chargers,loser_Delhi Daredevils
DA Warner-V Sehwag,team_Delhi Daredevils,34,winner_Deccan Chargers,loser_Delhi Daredevils
K Goel-RS Bopara,team_Kings XI Punjab,0,winner_Kings XI Punjab,loser_Rajasthan Royals
GC Smith-SA Asnodkar,team_Rajasthan Royals,7,winner_Kings XI Punjab,loser_Rajasthan Royals
AB McDonald-CA Pujara,team_Royal Challengers Bangalore,37,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
AJ Finch-V Sehwag,team_Delhi Daredevils,13,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
BB McCullum-CH Gayle,team_Kolkata Knight Riders,1,winner_Deccan Chargers,loser_Kolkata Knight Riders
AC Gilchrist-HH Gibbs,team_Deccan Chargers,24,winner_Deccan Chargers,loser_Kolkata Knight Riders
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,13,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
JD Ryder-JH Kallis,team_Royal Challengers Bangalore,58,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
AM Rahane-SR Watson,team_Rajasthan Royals,36,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
CH Gayle-V Kohli,team_Royal Challengers Bangalore,36,winner_Royal Challengers Bangalore,loser_Rajasthan Royals
K Goel-RS Bopara,team_Kings XI Punjab,9,winner_Kolkata Knight Riders,loser_Kings XI Punjab
BB McCullum-CH Gayle,team_Kolkata Knight Riders,57,winner_Kolkata Knight Riders,loser_Kings XI Punjab
M Vijay-MEK Hussey,team_Chennai Super Kings,159,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
CH Gayle-MA Agarwal,team_Royal Challengers Bangalore,1,winner_Chennai Super Kings,loser_Royal Challengers Bangalore
G Gambhir-MS Bisla,team_Kolkata Knight Riders,59,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
CL White-PA Patel,team_Sunrisers Hyderabad,57,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
M Vohra-V Sehwag,team_Kings XI Punjab,1,winner_Delhi Daredevils,loser_Kings XI Punjab
MA Agarwal-SS Iyer,team_Delhi Daredevils,106,winner_Delhi Daredevils,loser_Kings XI Punjab
AC Gilchrist-Y Venugopal Rao,team_Deccan Chargers,9,winner_Delhi Daredevils,loser_Deccan Chargers
G Gambhir-V Sehwag,team_Delhi Daredevils,31,winner_Delhi Daredevils,loser_Deccan Chargers
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,57,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
DA Warner-S Dhawan,team_Sunrisers Hyderabad,5,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
M Vijay-MEK Hussey,team_Chennai Super Kings,17,winner_Kings XI Punjab,loser_Chennai Super Kings
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,51,winner_Kings XI Punjab,loser_Chennai Super Kings
MK Pandey-RV Uthappa,team_Pune Warriors,1,winner_Kings XI Punjab,loser_Pune Warriors
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,21,winner_Kings XI Punjab,loser_Pune Warriors
CA Pujara-CH Gayle,team_Royal Challengers Bangalore,6,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
DPMD Jayawardene-V Sehwag,team_Delhi Daredevils,25,winner_Royal Challengers Bangalore,loser_Delhi Daredevils
