op_partner_name,team,partnership,winner,loser
G Gambhir-V Sehwag,team_Delhi Daredevils,45,winner_Chennai Super Kings,loser_Delhi Daredevils
S Vidyut-SP Fleming,team_Chennai Super Kings,62,winner_Chennai Super Kings,loser_Delhi Daredevils
B Chipli-W Jaffer,team_Royal Challengers Bangalore,13,winner_Royal Challengers Bangalore,loser_Deccan Chargers
AC Gilchrist-VVS Laxman,team_Deccan Chargers,22,winner_Royal Challengers Bangalore,loser_Deccan Chargers
M Vijay-V Sehwag,team_Kings XI Punjab,60,winner_Kings XI Punjab,loser_Mumbai Indians
AJ Finch-RG Sharma,team_Mumbai Indians,0,winner_Kings XI Punjab,loser_Mumbai Indians
L Ronchi-ST Jayasuriya,team_Mumbai Indians,15,winner_Deccan Chargers,loser_Mumbai Indians
AC Gilchrist-VVS Laxman,team_Deccan Chargers,155,winner_Deccan Chargers,loser_Mumbai Indians
AM Rahane-KK Nair,team_Rajasthan Royals,13,winner_Draw,loser_Draw
G Gambhir-MS Bisla,team_Kolkata Knight Riders,21,winner_Draw,loser_Draw
SA Yadav-Shakib Al Hasan,team_Kolkata Knight Riders,1,winner_Draw,loser_Draw
SPD Smith-SR Watson,team_Rajasthan Royals,11,winner_Draw,loser_Draw
AC Gilchrist-Mandeep Singh,team_Kings XI Punjab,15,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
PA Reddy-Q de Kock,team_Sunrisers Hyderabad,0,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
DR Smith-SR Tendulkar,team_Mumbai Indians,29,winner_Mumbai Indians,loser_Royal Challengers Bangalore
CH Gayle-TM Dilshan,team_Royal Challengers Bangalore,35,winner_Mumbai Indians,loser_Royal Challengers Bangalore
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,15,winner_Gujarat Lions,loser_Kolkata Knight Riders
BB McCullum-DR Smith,team_Gujarat Lions,42,winner_Gujarat Lions,loser_Kolkata Knight Riders
G Gambhir-JH Kallis,team_Kolkata Knight Riders,60,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
CA Pujara-CH Gayle,team_Royal Challengers Bangalore,7,winner_Kolkata Knight Riders,loser_Royal Challengers Bangalore
DA Warner-S Dhawan,team_Sunrisers Hyderabad,10,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
M Vijay-M Vohra,team_Kings XI Punjab,10,winner_Sunrisers Hyderabad,loser_Kings XI Punjab
GJ Bailey-PA Patel,team_Chennai Super Kings,59,winner_Kolkata Knight Riders,loser_Chennai Super Kings
BB McCullum-SC Ganguly,team_Kolkata Knight Riders,34,winner_Kolkata Knight Riders,loser_Chennai Super Kings
PA Patel-S Dhawan,team_Deccan Chargers,0,winner_Deccan Chargers,loser_Pune Warriors
MJ Clarke-MK Pandey,team_Pune Warriors,0,winner_Deccan Chargers,loser_Pune Warriors
AJ Finch-RV Uthappa,team_Pune Warriors,96,winner_Pune Warriors,loser_Chennai Super Kings
M Vijay-S Anirudha,team_Chennai Super Kings,0,winner_Pune Warriors,loser_Chennai Super Kings
BB McCullum-MN van Wyk,team_Kolkata Knight Riders,58,winner_Delhi Daredevils,loser_Kolkata Knight Riders
DA Warner-G Gambhir,team_Delhi Daredevils,60,winner_Delhi Daredevils,loser_Kolkata Knight Riders
F du Plessis-M Vijay,team_Chennai Super Kings,0,winner_Delhi Daredevils,loser_Chennai Super Kings
NV Ojha-V Sehwag,team_Delhi Daredevils,32,winner_Delhi Daredevils,loser_Chennai Super Kings
DA Warner-S Dhawan,team_Sunrisers Hyderabad,18,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,92,winner_Kolkata Knight Riders,loser_Sunrisers Hyderabad
G Gambhir-RV Uthappa,team_Kolkata Knight Riders,14,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
CH Gayle-V Kohli,team_Royal Challengers Bangalore,71,winner_Royal Challengers Bangalore,loser_Kolkata Knight Riders
M Vijay-MEK Hussey,team_Chennai Super Kings,6,winner_Chennai Super Kings,loser_Delhi Daredevils
DA Warner-NV Ojha,team_Delhi Daredevils,30,winner_Chennai Super Kings,loser_Delhi Daredevils
DA Warner-NV Ojha,team_Delhi Daredevils,24,winner_Draw,loser_Draw
