player1,player2,team,partnership
BB McCullum,DR Smith,Chennai Super Kings,35
AM Nayar,AM Rahane,Rajasthan Royals,10
JD Ryder,SP Goswami,Royal Challengers Bangalore,2
Yuvraj Singh,K Goel,Kings XI Punjab,70
CH Gayle,SC Ganguly,Kolkata Knight Riders,94
DA Warner,V Sehwag,Delhi Daredevils,0
R Dravid,S Chanderpaul,Royal Challengers Bangalore,1
M Rawat,GC Smith,Rajasthan Royals,1
ST Jayasuriya,SR Tendulkar,Mumbai Indians,12
MJ Lumb,NV Ojha,Rajasthan Royals,9
AJ Finch,S Dhawan,Sunrisers Hyderabad,20
PA Patel,CH Gayle,Royal Challengers Bangalore,5
WP Saha,M Vohra,Kings XI Punjab,16
MEK Hussey,BB McCullum,Chennai Super Kings,2
JEC Franklin,SR Tendulkar,Mumbai Indians,1
TM Dilshan,CH Gayle,Royal Challengers Bangalore,48
MEK Hussey,LMP Simmons,Mumbai Indians,76
DR Smith,F du Plessis,Chennai Super Kings,60
AM Rahane,F du Plessis,Rising Pune Supergiants,27
AJ Finch,BB McCullum,Gujarat Lions,85
G Gambhir,RV Uthappa,Kolkata Knight Riders,38
MK Tiwary,SS Iyer,Delhi Daredevils,63
SR Tendulkar,ST Jayasuriya,Mumbai Indians,70
V Sehwag,G Gambhir,Delhi Daredevils,20
T Kohli,YK Pathan,Rajasthan Royals,17
V Sehwag,G Gambhir,Delhi Daredevils,20
C Madan,SR Tendulkar,Mumbai Indians,41
DA Warner,V Sehwag,Delhi Daredevils,39
YV Takawale,ST Jayasuriya,Mumbai Indians,46
G Gambhir,V Sehwag,Delhi Daredevils,3
SR Watson,AM Rahane,Rajasthan Royals,11
MS Bisla,G Gambhir,Kolkata Knight Riders,19
SR Watson,AG Paunikar,Rajasthan Royals,24
JH Kallis,MS Bisla,Kolkata Knight Riders,0
G Gambhir,V Sehwag,Delhi Daredevils,75
SE Marsh,JR Hopes,Kings XI Punjab,3
MJ Lumb,NV Ojha,Rajasthan Royals,47
ML Hayden,M Vijay,Chennai Super Kings,24
S Dhawan,IR Jaggi,Deccan Chargers,40
AG Paunikar,R Dravid,Rajasthan Royals,31
CH Gayle,V Kohli,Royal Challengers Bangalore,10
F du Plessis,MEK Hussey,Chennai Super Kings,5
BB McCullum,G Gambhir,Kolkata Knight Riders,14
CH Gayle,MA Agarwal,Royal Challengers Bangalore,6
M Vijay,MEK Hussey,Chennai Super Kings,4
DA Warner,V Sehwag,Delhi Daredevils,4
M Klinger,BB McCullum,Kochi Tuskers Kerala,10
V Sehwag,DA Warner,Delhi Daredevils,146
PC Valthaty,AC Gilchrist,Kings XI Punjab,25
V Sehwag,DA Warner,Delhi Daredevils,5
AG Paunikar,R Dravid,Rajasthan Royals,26
CH Gayle,SC Ganguly,Kolkata Knight Riders,15
AC Gilchrist,HH Gibbs,Deccan Chargers,31
