player1,player2,team,partnership
F du Plessis,S Badrinath,Chennai Super Kings,116
RV Uthappa,JD Ryder,Pune Warriors,13
SS Iyer,MA Agarwal,Delhi Daredevils,2
V Kohli,CH Gayle,Royal Challengers Bangalore,99
CH Gayle,MA Agarwal,Royal Challengers Bangalore,30
MEK Hussey,M Vijay,Chennai Super Kings,3
JH Kallis,SP Goswami,Kolkata Knight Riders,29
DA Warner,V Sehwag,Delhi Daredevils,14
S Dhawan,DJ Harris,Deccan Chargers,86
CH Gayle,TM Dilshan,Royal Challengers Bangalore,91
YK Pathan,G Gambhir,Kolkata Knight Riders,27
SR Tendulkar,DR Smith,Mumbai Indians,29
G Gambhir,V Sehwag,Delhi Daredevils,20
RJ Quiney,GC Smith,Rajasthan Royals,20
G Gambhir,RV Uthappa,Kolkata Knight Riders,5
CH Gayle,YV Takawale,Royal Challengers Bangalore,7
WP Saha,MEK Hussey,Chennai Super Kings,27
LA Pomersbach,Mandeep Singh,Kings XI Punjab,13
V Sehwag,G Gambhir,Delhi Daredevils,47
GC Smith,YK Pathan,Rajasthan Royals,11
RV Uthappa,G Gambhir,Kolkata Knight Riders,33
DA Warner,S Dhawan,Sunrisers Hyderabad,28
M Vijay,MEK Hussey,Chennai Super Kings,8
EJG Morgan,JH Kallis,Kolkata Knight Riders,9
ST Jayasuriya,SR Tendulkar,Mumbai Indians,38
GC Smith,SA Asnodkar,Rajasthan Royals,0
R Dravid,AM Rahane,Rajasthan Royals,9
DR Smith,SR Tendulkar,Mumbai Indians,163
CH Gayle,V Kohli,Royal Challengers Bangalore,0
SS Iyer,Q de Kock,Delhi Daredevils,11
MK Pandey,JH Kallis,Royal Challengers Bangalore,12
ML Hayden,M Vijay,Chennai Super Kings,61
RV Uthappa,JD Ryder,Pune Warriors,26
DPMD Jayawardene,V Sehwag,Delhi Daredevils,12
AM Rahane,SR Watson,Rajasthan Royals,71
M Vijay,MEK Hussey,Chennai Super Kings,22
AC Gilchrist,HH Gibbs,Deccan Chargers,8
V Sehwag,G Gambhir,Delhi Daredevils,30
SR Tendulkar,DR Smith,Mumbai Indians,93
G Gambhir,MS Bisla,Kolkata Knight Riders,1
MA Agarwal,SS Iyer,Delhi Daredevils,2
LMP Simmons,PA Patel,Mumbai Indians,35
AJ Finch,S Dhawan,Sunrisers Hyderabad,65
V Sehwag,M Vohra,Kings XI Punjab,4
KK Nair,AM Rahane,Rajasthan Royals,52
G Gambhir,RV Uthappa,Kolkata Knight Riders,121
S Dhawan,DA Warner,Sunrisers Hyderabad,12
RV Uthappa,G Gambhir,Kolkata Knight Riders,15
S Dhawan,PA Reddy,Deccan Chargers,6
CH Gayle,TM Dilshan,Royal Challengers Bangalore,30
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,49
JH Kallis,MS Bisla,Kolkata Knight Riders,24
CH Gayle,V Kohli,Royal Challengers Bangalore,147
M Vijay,HM Amla,Kings XI Punjab,17
SP Fleming,PA Patel,Chennai Super Kings,23
V Sehwag,G Gambhir,Delhi Daredevils,115
M Vijay,MEK Hussey,Chennai Super Kings,19
PA Patel,BB McCullum,Kochi Tuskers Kerala,11
V Sehwag,DA Warner,Delhi Daredevils,4
IK Pathan,DPMD Jayawardene,Kings XI Punjab,41
SR Tendulkar,S Dhawan,Mumbai Indians,11
JH Kallis,R Dravid,Royal Challengers Bangalore,24
RV Uthappa,G Gambhir,Kolkata Knight Riders,101
MP Stoinis,M Vijay,Kings XI Punjab,1
S Dhawan,DA Warner,Sunrisers Hyderabad,25
SV Samson,AM Rahane,Rajasthan Royals,64
SR Tendulkar,ST Jayasuriya,Mumbai Indians,127
BB McCullum,CH Gayle,Kolkata Knight Riders,8
BB McCullum,AJ Finch,Gujarat Lions,2
V Kohli,CH Gayle,Royal Challengers Bangalore,12
TM Dilshan,CH Gayle,Royal Challengers Bangalore,43
AC Gilchrist,PC Valthaty,Kings XI Punjab,0
G Gambhir,RV Uthappa,Kolkata Knight Riders,33
CH Gayle,V Kohli,Royal Challengers Bangalore,48
KC Sangakkara,S Dhawan,Deccan Chargers,94
R Dravid,AM Rahane,Rajasthan Royals,62
HH Gibbs,AC Gilchrist,Deccan Chargers,11
SP Fleming,PA Patel,Chennai Super Kings,26
GC Smith,SA Asnodkar,Rajasthan Royals,12
ST Jayasuriya,YV Takawale,Mumbai Indians,41
Q de Kock,KP Pietersen,Delhi Daredevils,10
S Dhawan,AJ Finch,Sunrisers Hyderabad,13
ML Hayden,M Vijay,Chennai Super Kings,12
AC Gilchrist,HH Gibbs,Deccan Chargers,19
V Sehwag,DPMD Jayawardene,Delhi Daredevils,19
R Dravid,AM Rahane,Rajasthan Royals,108
M Vijay,MEK Hussey,Chennai Super Kings,45
PA Patel,S Dhawan,Sunrisers Hyderabad,11
AM Rahane,SR Watson,Rajasthan Royals,20
G Gambhir,MS Bisla,Kolkata Knight Riders,41
ML Hayden,PA Patel,Chennai Super Kings,4
GC Smith,RJ Quiney,Rajasthan Royals,9
KL Rahul,V Kohli,Royal Challengers Bangalore,32
PA Patel,RG Sharma,Mumbai Indians,6
CA Pujara,CH Gayle,Royal Challengers Bangalore,22
SE Marsh,AC Gilchrist,Kings XI Punjab,24
V Kohli,CH Gayle,Royal Challengers Bangalore,6
AM Rahane,KK Nair,Rajasthan Royals,54
AM Rahane,SV Samson,Rajasthan Royals,5
V Sehwag,M Vijay,Kings XI Punjab,0
JR Hopes,SE Marsh,Kings XI Punjab,133
M Kaif,NK Patel,Rajasthan Royals,5
M Vijay,MEK Hussey,Chennai Super Kings,51
TM Dilshan,MA Agarwal,Royal Challengers Bangalore,1
M Vijay,S Anirudha,Chennai Super Kings,5
MS Bisla,JH Kallis,Kolkata Knight Riders,64
M Vijay,F du Plessis,Chennai Super Kings,47
JEC Franklin,SR Tendulkar,Mumbai Indians,8
Mandeep Singh,V Sehwag,Kings XI Punjab,17
RV Uthappa,G Gambhir,Kolkata Knight Riders,68
PC Valthaty,AC Gilchrist,Kings XI Punjab,25
CH Gayle,SS Tiwary,Royal Challengers Bangalore,4
BB McCullum,DR Smith,Chennai Super Kings,123
V Sehwag,CA Pujara,Kings XI Punjab,31
R Sathish,SR Tendulkar,Mumbai Indians,9
M Vijay,MEK Hussey,Chennai Super Kings,31
DR Smith,BB McCullum,Chennai Super Kings,5
G Gambhir,RV Uthappa,Kolkata Knight Riders,64
MA Agarwal,CH Gayle,Royal Challengers Bangalore,113
AC Blizzard,SR Tendulkar,Mumbai Indians,23
ST Jayasuriya,SR Tendulkar,Mumbai Indians,6
MK Pandey,JH Kallis,Royal Challengers Bangalore,85
PC Valthaty,AC Gilchrist,Kings XI Punjab,24
BB McCullum,G Gambhir,Kolkata Knight Riders,53
AC Gilchrist,Mandeep Singh,Kings XI Punjab,24
MS Bisla,G Gambhir,Kolkata Knight Riders,0
DR Smith,AP Tare,Mumbai Indians,4
MEK Hussey,M Vijay,Chennai Super Kings,2
LMP Simmons,MEK Hussey,Mumbai Indians,120
UBT Chand,KK Nair,Rajasthan Royals,17
S Anirudha,M Vijay,Chennai Super Kings,0
AC Gilchrist,PC Valthaty,Kings XI Punjab,61
Q de Kock,PA Patel,Sunrisers Hyderabad,5
RV Uthappa,AJ Finch,Pune Warriors,38
RT Ponting,SR Tendulkar,Mumbai Indians,54
AJ Finch,RV Uthappa,Pune Warriors,0
JEC Franklin,SR Tendulkar,Mumbai Indians,50
RV Uthappa,JD Ryder,Pune Warriors,20
AJ Finch,RV Uthappa,Pune Warriors,13
DR Smith,SR Tendulkar,Mumbai Indians,0
M Vijay,Q de Kock,Delhi Daredevils,33
AM Rahane,KK Nair,Rajasthan Royals,20
RV Uthappa,JD Ryder,Royal Challengers Bangalore,6
K Goel,RS Bopara,Kings XI Punjab,52
JD Ryder,MK Pandey,Pune Warriors,31
S Dhawan,S Sohal,Deccan Chargers,67
SR Watson,AM Rahane,Rajasthan Royals,95
M Vijay,V Sehwag,Kings XI Punjab,3
DA Miller,SE Marsh,Kings XI Punjab,0
SR Watson,JP Faulkner,Rajasthan Royals,0
BB McCullum,SC Ganguly,Kolkata Knight Riders,32
PA Patel,ML Hayden,Chennai Super Kings,66
M Vohra,V Sehwag,Kings XI Punjab,110
F du Plessis,DR Smith,Chennai Super Kings,1
PA Patel,LMP Simmons,Mumbai Indians,1
BB McCullum,DR Smith,Chennai Super Kings,109
MA Agarwal,CH Gayle,Royal Challengers Bangalore,7
SE Marsh,Mandeep Singh,Kings XI Punjab,38
RV Uthappa,AJ Finch,Pune Warriors,41
MS Bisla,G Gambhir,Kolkata Knight Riders,17
DR Smith,BB McCullum,Gujarat Lions,112
SV Samson,Q de Kock,Delhi Daredevils,2
JD Ryder,SC Ganguly,Pune Warriors,13
PC Valthaty,AC Gilchrist,Kings XI Punjab,0
SC Ganguly,CH Gayle,Kolkata Knight Riders,56
MS Bisla,DPMD Jayawardene,Kings XI Punjab,51
AC Gilchrist,Mandeep Singh,Kings XI Punjab,16
JH Kallis,G Gambhir,Kolkata Knight Riders,13
Q de Kock,SS Iyer,Delhi Daredevils,11
PA Patel,RG Sharma,Mumbai Indians,9
CH Gayle,V Kohli,Royal Challengers Bangalore,19
DR Smith,BB McCullum,Gujarat Lions,9
PA Patel,S Dhawan,Sunrisers Hyderabad,38
DR Smith,SR Tendulkar,Mumbai Indians,26
RS Bopara,IK Pathan,Kings XI Punjab,18
ML Hayden,PA Patel,Chennai Super Kings,65
ML Hayden,JA Morkel,Chennai Super Kings,1
DPMD Jayawardene,Yuvraj Singh,Kings XI Punjab,6
S Vidyut,SP Fleming,Chennai Super Kings,18
SR Tendulkar,ST Jayasuriya,Mumbai Indians,82
PA Patel,LMP Simmons,Mumbai Indians,47
MS Bisla,CH Gayle,Royal Challengers Bangalore,26
BB McCullum,DR Smith,Chennai Super Kings,42
G Gambhir,RV Uthappa,Kolkata Knight Riders,1
CH Gayle,SC Ganguly,Kolkata Knight Riders,52
JH Kallis,S Sriram,Royal Challengers Bangalore,11
R Dravid,AM Rahane,Rajasthan Royals,62
MA Agarwal,CH Gayle,Royal Challengers Bangalore,42
W Jaffer,JH Kallis,Royal Challengers Bangalore,10
GC Smith,NV Ojha,Rajasthan Royals,27
PC Valthaty,GC Smith,Rajasthan Royals,8
BB McCullum,CH Gayle,Kolkata Knight Riders,25
CH Gayle,BB McCullum,Kolkata Knight Riders,15
YK Pathan,AD Mascarenhas,Rajasthan Royals,18
KL Rahul,V Kohli,Royal Challengers Bangalore,27
F du Plessis,AM Rahane,Rising Pune Supergiants,12
Mandeep Singh,N Saini,Kings XI Punjab,35
JEC Franklin,SR Tendulkar,Mumbai Indians,52
G Gambhir,JH Kallis,Kolkata Knight Riders,4
MEK Hussey,AP Tare,Mumbai Indians,24
DA Warner,V Sehwag,Delhi Daredevils,24
MJ Lumb,NV Ojha,Rajasthan Royals,0
BB McCullum,JH Kallis,Kolkata Knight Riders,14
AJ Finch,V Sehwag,Delhi Daredevils,49
DPMD Jayawardene,VVS Laxman,Kochi Tuskers Kerala,26
R Dravid,SR Watson,Rajasthan Royals,71
WP Saha,MEK Hussey,Chennai Super Kings,103
G Gambhir,MS Bisla,Kolkata Knight Riders,32
ST Jayasuriya,SR Tendulkar,Mumbai Indians,19
SC Ganguly,CH Gayle,Kolkata Knight Riders,1
DA Warner,V Sehwag,Delhi Daredevils,33
TM Dilshan,CH Gayle,Royal Challengers Bangalore,1
AM Rahane,R Dravid,Rajasthan Royals,71
DPMD Jayawardene,V Sehwag,Delhi Daredevils,0
RV Uthappa,AJ Finch,Pune Warriors,38
DA Warner,DPMD Jayawardene,Delhi Daredevils,17
DJ Bravo,ST Jayasuriya,Mumbai Indians,7
PA Patel,ML Hayden,Chennai Super Kings,0
MA Agarwal,SS Iyer,Delhi Daredevils,45
SV Samson,AM Rahane,Rajasthan Royals,37
AM Rahane,SS Tiwary,Rising Pune Supergiants,13
BB McCullum,DR Smith,Gujarat Lions,93
MV Boucher,SP Goswami,Royal Challengers Bangalore,35
ST Jayasuriya,SR Tendulkar,Mumbai Indians,96
DPMD Jayawardene,V Sehwag,Delhi Daredevils,4
AC Gilchrist,Mandeep Singh,Kings XI Punjab,6
A Chopra,BJ Hodge,Kolkata Knight Riders,9
S Chanderpaul,J Arunkumar,Royal Challengers Bangalore,17
PA Patel,SP Fleming,Chennai Super Kings,4
HH Gibbs,AC Gilchrist,Deccan Chargers,24
BB McCullum,DR Smith,Chennai Super Kings,29
PA Patel,CH Gayle,Royal Challengers Bangalore,14
R Dravid,AM Rahane,Rajasthan Royals,77
AC Gilchrist,PC Valthaty,Kings XI Punjab,36
M Vijay,F du Plessis,Chennai Super Kings,15
PA Patel,S Dhawan,Deccan Chargers,9
AC Gilchrist,VVS Laxman,Deccan Chargers,27
SE Marsh,RR Sarwan,Kings XI Punjab,41
ST Jayasuriya,SR Tendulkar,Mumbai Indians,39
Shahid Afridi,AC Gilchrist,Deccan Chargers,7
SR Tendulkar,R McLaren,Mumbai Indians,34
MK Pandey,JH Kallis,Royal Challengers Bangalore,30
AC Gilchrist,HH Gibbs,Deccan Chargers,0
JH Kallis,MK Pandey,Royal Challengers Bangalore,20
ML Hayden,M Vijay,Chennai Super Kings,16
BJ Hodge,MK Tiwary,Kolkata Knight Riders,0
RV Uthappa,G Gambhir,Kolkata Knight Riders,21
PA Patel,RG Sharma,Mumbai Indians,53
G Gambhir,DA Warner,Delhi Daredevils,0
HH Gibbs,AC Gilchrist,Deccan Chargers,22
TL Suman,RE Levi,Mumbai Indians,28
R Dravid,AM Rahane,Rajasthan Royals,7
JD Ryder,TD Paine,Pune Warriors,16
JEC Franklin,SR Tendulkar,Mumbai Indians,9
V Sehwag,DA Warner,Delhi Daredevils,5
MEK Hussey,M Vijay,Chennai Super Kings,75
MJ Lumb,S Sohal,Deccan Chargers,0
AC Blizzard,SR Tendulkar,Mumbai Indians,9
SA Asnodkar,GC Smith,Rajasthan Royals,14
G Gambhir,V Sehwag,Delhi Daredevils,42
M Vijay,MEK Hussey,Chennai Super Kings,30
DA Warner,V Sehwag,Delhi Daredevils,11
Mohammad Hafeez,Salman Butt,Kolkata Knight Riders,7
SA Asnodkar,GC Smith,Rajasthan Royals,16
M Vijay,V Sehwag,Kings XI Punjab,33
SS Iyer,MA Agarwal,Delhi Daredevils,23
MS Bisla,RS Bopara,Kings XI Punjab,129
MK Pandey,JH Kallis,Royal Challengers Bangalore,74
BJ Haddin,JH Kallis,Kolkata Knight Riders,44
TM Dilshan,CH Gayle,Royal Challengers Bangalore,123
V Sehwag,G Gambhir,Delhi Daredevils,7
AC Gilchrist,Shahid Afridi,Deccan Chargers,21
RR Pant,SV Samson,Delhi Daredevils,13
UT Khawaja,AM Rahane,Rising Pune Supergiants,59
PA Patel,LMP Simmons,Mumbai Indians,1
MEK Hussey,DR Smith,Chennai Super Kings,22
HH Gibbs,AC Gilchrist,Deccan Chargers,8
ST Jayasuriya,SR Tendulkar,Mumbai Indians,7
JH Kallis,G Gambhir,Kolkata Knight Riders,9
AC Blizzard,SR Tendulkar,Mumbai Indians,81
BB McCullum,G Gambhir,Kolkata Knight Riders,99
MEK Hussey,M Vijay,Chennai Super Kings,97
NV Ojha,GC Smith,Rajasthan Royals,1
M Vijay,ML Hayden,Chennai Super Kings,19
AC Gilchrist,PC Valthaty,Kings XI Punjab,25
JD Ryder,MK Pandey,Pune Warriors,32
N Saini,PC Valthaty,Kings XI Punjab,14
MA Agarwal,CH Gayle,Royal Challengers Bangalore,4
DA Warner,S Dhawan,Sunrisers Hyderabad,18
AM Rahane,UT Khawaja,Rising Pune Supergiants,0
AC Gilchrist,TL Suman,Deccan Chargers,21
GC Smith,SA Asnodkar,Rajasthan Royals,5
AM Rahane,R Dravid,Rajasthan Royals,44
AP Tare,DR Smith,Mumbai Indians,70
L Ronchi,JP Duminy,Mumbai Indians,1
DA Warner,G Gambhir,Delhi Daredevils,42
ML Hayden,PA Patel,Chennai Super Kings,32
S Dhawan,SR Tendulkar,Mumbai Indians,92
AP Tare,S Dhawan,Mumbai Indians,2
SC Ganguly,BB McCullum,Kolkata Knight Riders,97
AJ Finch,RV Uthappa,Pune Warriors,97
R Dravid,AM Rahane,Rajasthan Royals,98
SC Ganguly,MJ Clarke,Pune Warriors,30
AM Rahane,R Dravid,Rajasthan Royals,4
AM Rahane,UT Khawaja,Rising Pune Supergiants,19
RV Uthappa,G Gambhir,Kolkata Knight Riders,5
PA Patel,PA Reddy,Sunrisers Hyderabad,34
RV Uthappa,MK Pandey,Pune Warriors,36
V Sehwag,CA Pujara,Kings XI Punjab,13
BR Dunk,CM Gautam,Mumbai Indians,6
RR Pant,Q de Kock,Delhi Daredevils,11
CH Gayle,V Kohli,Royal Challengers Bangalore,5
SR Tendulkar,RT Ponting,Mumbai Indians,3
M Vijay,MEK Hussey,Chennai Super Kings,10
SC Ganguly,CH Gayle,Kolkata Knight Riders,70
S Dhawan,SR Tendulkar,Mumbai Indians,61
DJ Jacobs,SR Tendulkar,Mumbai Indians,61
DPMD Jayawardene,BB McCullum,Kochi Tuskers Kerala,128
S Dhawan,SR Tendulkar,Mumbai Indians,53
HH Gibbs,AC Gilchrist,Deccan Chargers,30
UBT Chand,RG Sharma,Mumbai Indians,7
HM Amla,M Vijay,Kings XI Punjab,1
GJ Bailey,PA Patel,Chennai Super Kings,40
S Sohal,SM Katich,Kings XI Punjab,6
DB Ravi Teja,S Dhawan,Deccan Chargers,131
PC Valthaty,AC Gilchrist,Kings XI Punjab,9
R Dravid,AM Rahane,Rajasthan Royals,29
JD Ryder,SC Ganguly,Pune Warriors,3
KC Sangakkara,S Dhawan,Deccan Chargers,10
NV Ojha,V Sehwag,Delhi Daredevils,2
DPMD Jayawardene,V Sehwag,Delhi Daredevils,135
AC Blizzard,SR Tendulkar,Mumbai Indians,0
CH Gayle,KL Rahul,Royal Challengers Bangalore,8
RV Uthappa,G Gambhir,Kolkata Knight Riders,6
EJG Morgan,JH Kallis,Kolkata Knight Riders,15
CH Gayle,LA Pomersbach,Royal Challengers Bangalore,44
MJ Lumb,NV Ojha,Rajasthan Royals,16
VVS Laxman,AC Gilchrist,Deccan Chargers,26
L Ronchi,ST Jayasuriya,Mumbai Indians,9
S Chanderpaul,R Dravid,Royal Challengers Bangalore,37
GC Smith,SA Asnodkar,Rajasthan Royals,127
SP Fleming,PA Patel,Chennai Super Kings,14
AM Rahane,R Dravid,Rajasthan Royals,45
JH Kallis,G Gambhir,Kolkata Knight Riders,22
SS Iyer,Q de Kock,Delhi Daredevils,55
CH Gayle,V Kohli,Royal Challengers Bangalore,2
M Vohra,M Vijay,Kings XI Punjab,78
BB McCullum,AJ Finch,Gujarat Lions,1
ER Dwivedi,BB McCullum,Gujarat Lions,7
S Dhawan,DA Warner,Sunrisers Hyderabad,6
ST Jayasuriya,SR Tendulkar,Mumbai Indians,39
PA Patel,ML Hayden,Chennai Super Kings,0
PA Patel,S Dhawan,Sunrisers Hyderabad,3
R Dravid,AM Rahane,Rajasthan Royals,39
PA Patel,LMP Simmons,Mumbai Indians,90
DR Smith,MEK Hussey,Chennai Super Kings,0
AC Gilchrist,SE Marsh,Kings XI Punjab,2
GC Smith,JD Ryder,Pune Warriors,0
BB McCullum,DR Smith,Chennai Super Kings,16
Q de Kock,SS Iyer,Delhi Daredevils,16
ML Hayden,PA Patel,Chennai Super Kings,22
B Chipli,W Jaffer,Royal Challengers Bangalore,13
ST Jayasuriya,SR Tendulkar,Mumbai Indians,71
SA Asnodkar,Kamran Akmal,Rajasthan Royals,20
M Vijay,MP Stoinis,Kings XI Punjab,45
Q de Kock,SV Samson,Delhi Daredevils,70
RG Sharma,MJ Guptill,Mumbai Indians,33
AJ Finch,BB McCullum,Gujarat Lions,0
MEK Hussey,M Vijay,Chennai Super Kings,61
V Sehwag,UBT Chand,Delhi Daredevils,0
SR Tendulkar,HH Gibbs,Mumbai Indians,15
G Gambhir,MS Bisla,Kolkata Knight Riders,1
UBT Chand,DA Warner,Delhi Daredevils,0
MS Bisla,G Gambhir,Kolkata Knight Riders,5
V Kohli,CH Gayle,Royal Challengers Bangalore,8
PA Patel,RG Sharma,Mumbai Indians,2
SR Tendulkar,ST Jayasuriya,Mumbai Indians,5
JH Kallis,V Kohli,Royal Challengers Bangalore,23
MEK Hussey,M Vijay,Chennai Super Kings,11
DPMD Jayawardene,BB McCullum,Kochi Tuskers Kerala,39
PA Patel,CH Gayle,Royal Challengers Bangalore,5
DA Warner,S Dhawan,Sunrisers Hyderabad,100
MS Bisla,DPMD Jayawardene,Kings XI Punjab,29
MJ Lumb,NV Ojha,Rajasthan Royals,109
SS Iyer,Q de Kock,Delhi Daredevils,1
G Gambhir,RV Uthappa,Kolkata Knight Riders,21
S Badrinath,ML Hayden,Chennai Super Kings,0
S Sohal,SM Katich,Kings XI Punjab,2
CH Gayle,CA Pujara,Royal Challengers Bangalore,102
SE Marsh,Mandeep Singh,Kings XI Punjab,13
K Goel,RS Bopara,Kings XI Punjab,18
ST Jayasuriya,SR Tendulkar,Mumbai Indians,1
Mohammad Hafeez,Salman Butt,Kolkata Knight Riders,14
SP Fleming,PA Patel,Chennai Super Kings,55
AJ Finch,BB McCullum,Gujarat Lions,0
DA Warner,S Dhawan,Sunrisers Hyderabad,137
MA Agarwal,SS Iyer,Delhi Daredevils,3
RV Uthappa,G Gambhir,Kolkata Knight Riders,31
AM Rahane,R Dravid,Rajasthan Royals,8
S Dhawan,PA Reddy,Deccan Chargers,63
M Vijay,ML Hayden,Chennai Super Kings,32
JH Kallis,RV Uthappa,Royal Challengers Bangalore,2
PA Patel,S Dhawan,Deccan Chargers,47
N Saini,Mandeep Singh,Kings XI Punjab,7
Q de Kock,SS Iyer,Delhi Daredevils,4
UT Khawaja,AM Rahane,Rising Pune Supergiants,31
S Sohal,S Dhawan,Deccan Chargers,3
BB McCullum,DPMD Jayawardene,Kochi Tuskers Kerala,0
AM Rahane,R Dravid,Rajasthan Royals,7
Mandeep Singh,SE Marsh,Kings XI Punjab,8
IK Pathan,K Goel,Kings XI Punjab,8
ST Jayasuriya,L Ronchi,Mumbai Indians,14
ST Jayasuriya,SR Tendulkar,Mumbai Indians,2
DA Warner,G Gambhir,Delhi Daredevils,36
MDKJ Perera,AM Rahane,Rajasthan Royals,22
UBT Chand,DA Warner,Delhi Daredevils,39
GC Smith,SA Asnodkar,Rajasthan Royals,11
Salman Butt,SC Ganguly,Kolkata Knight Riders,15
BB McCullum,SC Ganguly,Kolkata Knight Riders,27
AC Gilchrist,HH Gibbs,Deccan Chargers,68
SR Watson,R Dravid,Rajasthan Royals,73
TM Dilshan,CH Gayle,Royal Challengers Bangalore,68
AG Paunikar,R Dravid,Rajasthan Royals,26
JH Kallis,MS Bisla,Kolkata Knight Riders,8
W Jaffer,V Kohli,Royal Challengers Bangalore,1
JR Hopes,SE Marsh,Kings XI Punjab,11
M Vijay,MEK Hussey,Chennai Super Kings,64
MD Mishra,JD Ryder,Pune Warriors,19
R Dravid,AM Rahane,Rajasthan Royals,1
JH Kallis,BB McCullum,Kolkata Knight Riders,8
SC Ganguly,JD Ryder,Pune Warriors,28
PC Valthaty,AC Gilchrist,Kings XI Punjab,7
V Sehwag,CA Pujara,Kings XI Punjab,51
S Dhawan,AJ Finch,Sunrisers Hyderabad,11
MS Bisla,RS Bopara,Kings XI Punjab,5
V Sehwag,G Gambhir,Delhi Daredevils,10
Mandeep Singh,SE Marsh,Kings XI Punjab,68
F du Plessis,S Badrinath,Chennai Super Kings,47
JD Ryder,MK Pandey,Pune Warriors,24
SR Watson,R Dravid,Rajasthan Royals,29
CH Gayle,V Kohli,Royal Challengers Bangalore,43
DA Warner,S Dhawan,Sunrisers Hyderabad,82
AM Rahane,R Dravid,Rajasthan Royals,36
S Badrinath,F du Plessis,Chennai Super Kings,55
ML Hayden,PA Patel,Chennai Super Kings,61
JH Kallis,MK Pandey,Royal Challengers Bangalore,17
WP Saha,M Vohra,Kings XI Punjab,34
V Kohli,CH Gayle,Royal Challengers Bangalore,33
V Sehwag,G Gambhir,Delhi Daredevils,19
SM Katich,S Sohal,Kings XI Punjab,22
M Vijay,MEK Hussey,Chennai Super Kings,18
S Sohal,S Dhawan,Deccan Chargers,71
DA Warner,V Sehwag,Delhi Daredevils,44
JH Kallis,MK Pandey,Royal Challengers Bangalore,71
V Sehwag,M Vohra,Kings XI Punjab,23
RV Uthappa,G Gambhir,Kolkata Knight Riders,6
DA Warner,S Dhawan,Sunrisers Hyderabad,5
G Gambhir,RV Uthappa,Kolkata Knight Riders,43
CH Gayle,V Kohli,Royal Challengers Bangalore,67
MEK Hussey,M Vijay,Chennai Super Kings,11
AJ Finch,PA Patel,Mumbai Indians,24
SV Samson,AM Rahane,Rajasthan Royals,28
DPMD Jayawardene,V Sehwag,Delhi Daredevils,13
S Dhawan,PA Patel,Sunrisers Hyderabad,33
DA Warner,S Dhawan,Sunrisers Hyderabad,85
PA Patel,RG Sharma,Mumbai Indians,5
MA Agarwal,TM Dilshan,Royal Challengers Bangalore,0
DJ Jacobs,SR Tendulkar,Mumbai Indians,33
MEK Hussey,WP Saha,Chennai Super Kings,6
AJ Finch,RV Uthappa,Pune Warriors,26
HH Gibbs,AC Gilchrist,Deccan Chargers,46
JD Ryder,RV Uthappa,Royal Challengers Bangalore,0
A Chopra,Salman Butt,Kolkata Knight Riders,35
V Sehwag,G Gambhir,Delhi Daredevils,2
JD Ryder,RV Uthappa,Royal Challengers Bangalore,0
SA Asnodkar,GC Smith,Rajasthan Royals,2
JH Kallis,SP Goswami,Kolkata Knight Riders,4
TL Suman,SR Tendulkar,Mumbai Indians,13
CH Gayle,SC Ganguly,Kolkata Knight Riders,28
RS Bopara,Yuvraj Singh,Kings XI Punjab,0
MEK Hussey,M Vijay,Chennai Super Kings,68
DA Warner,DPMD Jayawardene,Delhi Daredevils,17
S Dhawan,AJ Finch,Sunrisers Hyderabad,15
BB McCullum,DR Smith,Chennai Super Kings,85
G Gambhir,JH Kallis,Kolkata Knight Riders,1
YV Takawale,PA Patel,Royal Challengers Bangalore,67
SR Tendulkar,DR Smith,Mumbai Indians,11
Mandeep Singh,SE Marsh,Kings XI Punjab,12
SR Tendulkar,DR Smith,Mumbai Indians,32
PA Reddy,S Dhawan,Sunrisers Hyderabad,16
Q de Kock,M Vijay,Delhi Daredevils,14
RV Uthappa,G Gambhir,Kolkata Knight Riders,106
CH Gayle,V Kohli,Royal Challengers Bangalore,6
S Dhawan,DA Warner,Sunrisers Hyderabad,35
JH Kallis,RV Uthappa,Royal Challengers Bangalore,0
V Sehwag,G Gambhir,Delhi Daredevils,11
RG Sharma,PA Patel,Mumbai Indians,7
BB McCullum,AJ Finch,Gujarat Lions,12
MK Pandey,SC Ganguly,Pune Warriors,0
RE Levi,AT Rayudu,Mumbai Indians,0
S Dhawan,DA Warner,Sunrisers Hyderabad,19
CH Gayle,V Kohli,Royal Challengers Bangalore,43
PA Patel,LMP Simmons,Mumbai Indians,42
DA Warner,S Dhawan,Sunrisers Hyderabad,45
SR Watson,AM Rahane,Rajasthan Royals,62
SR Tendulkar,RT Ponting,Mumbai Indians,4
M Vijay,MEK Hussey,Chennai Super Kings,52
AP Tare,DR Smith,Mumbai Indians,12
CH Gayle,TM Dilshan,Royal Challengers Bangalore,8
SR Tendulkar,HH Gibbs,Mumbai Indians,2
EJG Morgan,JH Kallis,Kolkata Knight Riders,36
S Sohal,S Dhawan,Deccan Chargers,41
G Gambhir,V Sehwag,Delhi Daredevils,53
P Kumar,W Jaffer,Royal Challengers Bangalore,6
AC Gilchrist,MD Mishra,Deccan Chargers,4
JH Kallis,R Dravid,Royal Challengers Bangalore,36
DA Warner,S Dhawan,Sunrisers Hyderabad,130
