Name,Runs,Wickets,Balls,Economy,Average,Zeros,Ones,Twos,Threes,Fours,Sixes
DJG Sammy,339,14,243,8.3703703704,24.2142857143,69,95,20,0,33,12
Mohammad Hafeez,61,2,63,5.8095238095,30.5,26,27,1,0,5,2
D Wiese,368,17,275,8.0290909091,21.6470588235,73,119,15,1,42,8
MG Neser,61,0,25,14.64,61,5,7,3,0,6,4
A Nehra,2200,111,1823,7.2408118486,19.8198198198,718,574,96,5,247,71
Y Venugopal Rao,329,7,222,8.8918918919,47,59,96,16,1,30,13
Jaskaran Singh,162,6,111,8.7567567568,27,43,25,9,1,23,4
RR Raje,200,7,144,8.3333333333,28.5714285714,38,62,8,2,23,4
LJ Wright,120,2,75,9.6,60,17,38,4,0,5,9
Harbhajan Singh,2978,125,2692,6.6374442793,23.824,936,1146,152,10,220,103
KH Pandya,225,7,194,6.9587628866,32.1428571429,55,94,16,1,15,6
KK Cooper,710,35,585,7.2820512821,20.2857142857,193,215,60,0,58,23
SS Sarkar,34,1,25,8.16,34,3,16,1,0,4,0
PP Chawla,2992,127,2451,7.3243574051,23.5590551181,798,996,184,8,212,126
Abdur Razzak,23,0,14,9.8571428571,23,6,3,1,0,3,1
JO Holder,294,8,228,7.7368421053,36.75,86,77,16,1,29,11
P Amarnath,236,7,132,10.7272727273,33.7142857143,27,51,8,2,29,7
A Zampa,110,12,103,6.4077669903,9.1666666667,23,54,5,0,4,5
Gurkeerat Singh,88,5,75,7.04,17.6,23,31,6,1,6,3
A Chandila,242,11,234,6.2051282051,22,94,91,10,1,17,10
SR Tendulkar,57,0,37,9.2432432432,57,6,21,3,0,6,1
T Shamsi,147,3,96,9.1875,49,27,39,7,0,13,7
S Dhawan,65,4,49,7.9591836735,16.25,17,17,1,0,7,3
KAJ Roach,76,0,52,8.7692307692,76,24,12,3,0,10,3
AB Dinda,1864,80,1519,7.3627386438,23.3,602,465,92,6,222,49
AP Dole,105,5,73,8.6301369863,21,23,23,7,0,11,4
HV Patel,901,33,675,8.0088888889,27.303030303,235,232,51,0,88,35
Shoaib Ahmed,151,5,103,8.7961165049,30.2,31,40,5,1,14,7
S Rana,17,0,15,6.8,17,5,7,1,0,2,0
DNT Zoysa,96,2,69,8.347826087,48,24,26,2,0,12,3
LMP Simmons,34,1,18,11.3333333333,34,1,10,2,0,2,2
S Ladda,221,5,141,9.4042553191,44.2,46,52,8,1,12,17
PV Tambe,793,27,648,7.3425925926,29.3703703704,196,286,51,1,60,27
S Aravind,734,43,590,7.4644067797,17.0697674419,214,197,29,1,80,26
KV Sharma,1087,41,851,7.6639247944,26.512195122,276,356,52,3,60,63
SM Harwood,61,3,67,5.4626865672,20.3333333333,38,12,5,1,6,2
RS Bopara,276,13,213,7.7746478873,21.2307692308,60,94,11,0,25,10
Mohammed Shami,600,17,453,7.9470198675,35.2941176471,171,149,27,1,67,21
RR Powar,501,15,443,6.7855530474,33.4,176,161,28,4,41,18
TG Southee,792,22,625,7.6032,36,250,187,50,9,82,25
P Awana,989,43,770,7.7064935065,23,290,239,56,1,105,35
Shoaib Malik,77,2,58,7.9655172414,38.5,21,19,6,0,7,3
DJ Hooda,216,4,177,7.3220338983,54,52,86,12,0,16,7
CK Kapugedera,49,0,17,17.2941176471,49,0,7,2,0,5,3
RW Price,33,0,18,11,33,1,13,0,0,2,2
SC Ganguly,357,12,280,7.65,29.75,75,136,17,1,25,14
MB Parmar,32,0,19,10.1052631579,32,5,8,0,0,6,0
AM Salvi,190,7,156,7.3076923077,27.1428571429,60,52,12,0,18,7
A Flintoff,105,2,66,9.5454545455,52.5,19,27,4,0,7,7
R Sharma,1060,41,916,6.943231441,25.8536585366,302,405,52,3,68,45
VY Mahesh,477,22,359,7.9721448468,21.6818181818,122,129,17,2,47,20
Anureet Singh,530,19,391,8.1329923274,27.8947368421,141,130,22,2,56,21
K Goel,92,0,67,8.2388059701,92,21,27,7,1,9,2
S Narwal,195,6,113,10.3539823009,32.5,39,27,11,0,17,13
WD Parnell,649,31,601,6.4792013311,20.935483871,254,190,34,0,80,11
B Akhil,234,7,193,7.274611399,33.4285714286,63,84,12,0,18,9
V Pratap Singh,283,11,207,8.2028985507,25.7272727273,71,70,13,1,31,10
AD Mathews,988,28,770,7.6987012987,35.2857142857,221,344,57,0,95,25
CK Langeveldt,178,13,165,6.4727272727,13.6923076923,71,50,6,0,17,8
A Mithun,448,8,312,8.6153846154,56,106,117,17,1,42,21
KP Pietersen,205,9,180,6.8333333333,22.7777777778,54,86,11,1,10,9
RR Bhatkal,17,0,7,14.5714285714,17,0,3,2,0,1,1
DJ Thornely,38,3,44,5.1818181818,12.6666666667,18,18,0,0,5,0
MR Marsh,402,20,327,7.376146789,20.1,109,128,17,0,39,14
DR Smith,643,25,475,8.1221052632,25.72,145,187,32,0,62,24
SR Watson,2081,95,1796,6.9521158129,21.9052631579,746,544,106,5,245,55
NLTC Perera,997,37,715,8.3664335664,26.9459459459,217,265,53,2,113,28
AB Agarkar,1110,33,820,8.1219512195,33.6363636364,279,303,46,4,113,41
PC Valthaty,199,7,153,7.8039215686,28.4285714286,41,70,12,1,15,7
SK Raina,986,29,852,6.9436619718,34,273,403,38,5,66,38
S Kaushik,188,6,142,7.9436619718,31.3333333333,49,52,11,0,15,9
R McLaren,519,14,372,8.3709677419,37.0714285714,131,119,26,2,69,11
KJ Abbott,154,2,89,10.3820224719,77,28,27,5,0,22,4
R Vinay Kumar,2787,122,2105,7.9439429929,22.8442622951,703,727,165,7,287,91
VR Aaron,997,33,775,7.7187096774,30.2121212121,319,234,31,7,112,37
S Vidyut,21,1,13,9.6923076923,21,5,3,1,0,1,2
P Kumar,2932,96,2501,7.0339864054,30.5416666667,1104,721,147,16,316,100
AA Chavan,318,8,255,7.4823529412,39.75,109,79,14,1,28,16
MN Samuels,232,9,185,7.5243243243,25.7777777778,63,72,11,0,21,9
HH Pandya,316,4,211,8.9857819905,79,69,75,17,1,33,12
MP Stoinis,191,9,140,8.1857142857,21.2222222222,37,61,5,0,24,4
V Kohli,347,5,259,8.0386100386,69.4,60,135,23,0,25,11
MK Tiwary,71,1,38,11.2105263158,71,10,15,3,0,2,7
IC Pandey,584,19,469,7.4712153518,30.7368421053,210,123,18,5,77,17
DP Vijaykumar,192,4,159,7.2452830189,48,70,46,9,2,23,5
SK Trivedi,1818,73,1543,7.069345431,24.904109589,501,635,125,4,154,50
