Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
CK Langeveldt,8,2,9,88.8888888889,4,4,2,0,0,0,1,Right-hand bat
A Mishra,289,27,326,88.6503067485,10.7037037037,117,137,17,0,25,3,Right-hand bat
SW Tait,23,3,26,88.4615384615,7.6666666667,8,13,0,0,1,1,Right-hand bat
GH Vihari,277,18,316,87.6582278481,15.3888888889,119,132,22,1,23,1,Right-hand bat
AN Ghosh,7,2,8,87.5,3.5,3,1,1,0,1,0,Right-hand bat
DS Kulkarni,86,8,99,86.8686868687,10.75,42,33,7,1,6,2,Right-hand bat
Z Khan,111,14,128,86.71875,7.9285714286,53,41,7,0,11,2,Right-hand bat
R Sharma,66,11,77,85.7142857143,6,37,14,7,0,5,3,Right-hand bat
SS Shaikh,6,0,7,85.7142857143,6,4,2,0,0,1,0,Right-hand bat
BA Bhatt,6,0,7,85.7142857143,6,6,0,0,0,0,1,Left-hand bat
Parvez Rasool,17,2,20,85,8.5,5,11,1,0,1,0,Right-hand bat
SB Bangar,49,6,58,84.4827586207,8.1666666667,22,25,1,0,1,3,Right-hand bat
A Mukund,19,2,23,82.6086956522,9.5,7,11,2,0,1,0,Left-hand bat
R Shukla,19,2,23,82.6086956522,9.5,8,11,0,0,2,0,Right-hand bat
CJ Ferguson,98,6,119,82.3529411765,16.3333333333,52,42,10,0,9,0,Right-hand bat
S Kaul,9,0,11,81.8181818182,9,5,3,3,0,0,0,Right-hand bat
S Sriram,31,2,38,81.5789473684,15.5,16,15,2,0,3,0,Left-hand bat
BMAJ Mendis,22,3,27,81.4814814815,7.3333333333,6,14,4,0,0,0,Left-hand bat
SP Narine,47,5,58,81.0344827586,9.4,24,23,2,0,2,2,Left-hand bat
SL Malinga,81,11,100,81,7.3636363636,47,31,1,0,6,4,Right-hand bat
CA Ingram,21,2,26,80.7692307692,10.5,10,11,1,0,2,0,Left-hand bat
AG Paunikar,49,5,61,80.3278688525,9.8,36,9,2,0,9,0,Right-hand bat
FH Edwards,4,1,5,80,4,2,1,0,1,0,0,Right-hand bat
GD McGrath,4,1,5,80,4,3,0,0,0,1,0,Right-hand bat
M Rawat,55,5,70,78.5714285714,11,29,29,2,0,4,1,Right-hand bat
AA Bilakhia,69,5,88,78.4090909091,13.8,38,31,9,0,5,0,Right-hand bat
I Sharma,36,5,46,78.2608695652,7.2,19,16,3,0,2,1,Right-hand bat
Imran Tahir,18,4,23,78.2608695652,4.5,11,4,1,0,3,0,Right-hand bat
Harpreet Singh,20,2,26,76.9230769231,10,6,16,2,0,0,0,Left-hand bat
J Theron,10,2,13,76.9230769231,5,4,6,0,0,1,0,Right-hand bat
Mohammad Hafeez,64,8,84,76.1904761905,8,43,24,0,0,7,2,Right-hand bat
S Chanderpaul,25,3,33,75.7575757576,8.3333333333,17,9,0,0,4,0,Left-hand bat
JE Taylor,3,0,4,75,3,2,1,1,0,0,0,Right-hand bat
CJ Jordan,3,0,4,75,3,2,1,1,0,0,0,Right-hand bat
S Tyagi,3,0,4,75,3,1,3,0,0,0,0,Right-hand bat
AD Nath,20,3,27,74.0740740741,6.6666666667,10,10,3,0,1,0,Right-hand bat
WD Parnell,59,9,80,73.75,6.5555555556,33,29,4,0,4,1,Left-hand bat
WA Mota,56,5,76,73.6842105263,11.2,25,40,4,0,2,0,Right-hand bat
DR Martyn,19,2,26,73.0769230769,9.5,8,15,0,0,1,0,Right-hand bat
TM Srivastava,8,1,11,72.7272727273,8,4,5,0,1,0,0,Left-hand bat
Jaskaran Singh,8,2,11,72.7272727273,4,3,4,2,0,0,0,Right-hand bat
DJ Thornely,39,3,54,72.2222222222,13,28,19,0,0,2,2,Right-hand bat
L Balaji,36,7,50,72,5.1428571429,22,15,2,1,2,1,Right-hand bat
IR Jaggi,43,4,60,71.6666666667,10.75,28,20,4,1,3,0,Right-hand bat
A Kumble,35,2,49,71.4285714286,17.5,22,21,1,0,3,0,Right-hand bat
AG Murtaza,10,1,14,71.4285714286,10,6,6,0,0,1,0,Left-hand bat
C Madan,15,1,21,71.4285714286,15,14,3,0,0,3,0,Right-hand bat
A Chopra,53,5,75,70.6666666667,10.6,40,21,2,0,7,0,Right-hand bat
Karanveer Singh,12,1,17,70.5882352941,12,8,6,1,0,1,0,Right-hand bat
RT Ponting,91,8,129,70.5426356589,11.375,61,47,6,0,5,2,Right-hand bat
Yashpal Singh,47,4,67,70.1492537313,11.75,35,20,2,1,5,0,Right-hand bat
NS Naik,23,2,33,69.696969697,11.5,14,13,3,0,1,0,Right-hand bat
SK Trivedi,42,8,61,68.8524590164,5.25,29,16,4,0,3,1,Right-hand bat
PJ Sangwan,22,4,32,68.75,5.5,12,12,3,0,1,0,Right-hand bat
T Henderson,11,1,16,68.75,11,10,3,1,0,0,1,Right-hand bat
Sandeep Sharma,19,1,28,67.8571428571,19,11,15,0,0,1,0,Right-hand bat
MS Wade,22,3,33,66.6666666667,7.3333333333,12,14,4,0,0,0,Left-hand bat
CK Kapugedera,16,3,24,66.6666666667,5.3333333333,7,12,2,0,0,0,Right-hand bat
SB Wagh,2,2,3,66.6666666667,1,0,0,1,0,0,0,Left-hand bat
CRD Fernando,2,1,3,66.6666666667,2,0,2,0,0,0,0,Right-hand bat
AA Noffke,8,1,12,66.6666666667,8,6,4,0,0,1,0,Right-hand bat
YS Chahal,2,0,3,66.6666666667,2,1,2,0,0,0,0,Right-hand bat
RP Singh,51,15,78,65.3846153846,3.4,27,30,2,1,2,1,Right-hand bat
A Nehra,41,8,63,65.0793650794,5.125,29,21,1,0,3,1,Right-hand bat
SM Harwood,9,0,14,64.2857142857,9,7,5,2,0,0,0,Right-hand bat
M Muralitharan,19,6,30,63.3333333333,3.1666666667,12,8,2,1,1,0,Right-hand bat
Kamran Khan,3,1,5,60,3,2,1,1,0,0,0,Left-hand bat
JJ Bumrah,9,2,15,60,4.5,7,5,0,0,1,0,Right-hand bat
S Sreesanth,34,3,57,59.649122807,11.3333333333,40,6,2,0,6,0,Right-hand bat
X Thalaivan Sargunam,10,1,17,58.8235294118,10,8,6,2,0,0,0,Right-hand bat
SMSM Senanayake,10,1,17,58.8235294118,10,7,8,1,0,0,0,Right-hand bat
Pankaj Singh,7,2,12,58.3333333333,3.5,4,5,1,0,0,0,Right-hand bat
Anureet Singh,18,3,31,58.064516129,6,15,12,0,0,0,1,Right-hand bat
T Thushara,11,2,19,57.8947368421,5.5,9,5,3,0,0,0,Left-hand bat
M Ntini,11,1,19,57.8947368421,11,14,1,1,0,2,0,Right-hand bat
A Uniyal,4,1,7,57.1428571429,4,2,4,0,0,0,0,Left-hand bat
A Chandila,4,1,7,57.1428571429,4,2,4,0,0,0,0,Right-hand bat
VY Mahesh,15,2,28,53.5714285714,7.5,13,11,2,0,0,0,Right-hand bat
CJ McKay,8,1,15,53.3333333333,8,7,6,1,0,0,0,Right-hand bat
S Gopal,14,2,27,51.8518518519,7,14,10,0,0,1,0,Right-hand bat
S Randiv,2,1,4,50,2,2,0,1,0,0,0,Right-hand bat
BAW Mendis,3,2,6,50,1.5,1,3,0,0,0,0,Right-hand bat
Mohammad Asif,3,2,6,50,1.5,1,3,0,0,0,0,Left-hand bat
J Yadav,6,0,12,50,6,6,6,0,0,0,0,Right-hand bat
SE Bond,1,1,2,50,1,0,1,0,0,0,0,Right-hand bat
R Ninan,3,1,6,50,3,2,3,0,0,0,0,Right-hand bat
PSP Handscomb,6,1,12,50,6,5,6,0,0,0,0,Right-hand bat
PM Sarvesh Kumar,1,0,2,50,1,1,1,0,0,0,0,Right-hand bat
T Kohli,10,3,20,50,3.3333333333,12,4,0,0,0,1,Right-hand bat
M de Lange,1,1,2,50,1,0,1,0,0,0,0,Right-hand bat
UA Birla,7,1,15,46.6666666667,7,10,3,0,0,1,0,Right-hand bat
PV Tambe,18,1,39,46.1538461538,18,23,14,0,0,1,0,Right-hand bat
Mohammed Shami,10,3,22,45.4545454545,3.3333333333,10,8,1,0,0,0,Right-hand bat
AB Dinda,19,8,42,45.2380952381,2.375,19,13,1,0,1,0,Right-hand bat
B Laughlin,4,1,9,44.4444444444,4,4,4,0,0,0,0,Right-hand bat
Younis Khan,3,1,7,42.8571428571,3,3,3,0,0,0,0,Right-hand bat
H Das,2,1,5,40,2,2,2,0,0,0,0,Right-hand bat
S Nadeem,24,11,62,38.7096774194,2.1818181818,33,14,3,0,1,0,Right-hand bat
D Kalyankrishna,3,1,8,37.5,3,4,3,0,0,0,0,Right-hand bat
SB Joshi,6,2,16,37.5,3,8,6,0,0,0,0,Left-hand bat
JD Unadkat,3,1,8,37.5,3,4,3,0,0,0,0,Right-hand bat
P Awana,5,3,14,35.7142857143,1.6666666667,6,5,0,0,0,0,Right-hand bat
TD Paine,10,2,29,34.4827586207,5,17,10,0,0,0,0,Right-hand bat
PP Ojha,15,10,45,33.3333333333,1.5,21,13,1,0,0,0,Left-hand bat
AS Rajpoot,2,0,6,33.3333333333,2,5,0,1,0,0,0,Right-hand bat
DJ Muthuswami,1,1,3,33.3333333333,1,1,1,0,0,0,0,Right-hand bat
BE Hendricks,1,1,3,33.3333333333,1,1,1,0,0,0,0,Left-hand bat
P Parameswaran,1,0,3,33.3333333333,1,2,1,0,0,0,0,Right-hand bat
DP Nannes,4,1,13,30.7692307692,4,8,4,0,0,0,0,Right-hand bat
Shoaib Akhtar,2,1,8,25,2,5,2,0,0,0,0,Right-hand bat
RS Gavaskar,2,1,8,25,2,5,2,0,0,0,0,Left-hand bat
KP Appanna,1,1,4,25,1,2,1,0,0,0,0,Right-hand bat
A Singh,2,4,10,20,0.5,4,2,0,0,0,0,Right-hand bat
Mohammad Ashraful,2,1,12,16.6666666667,2,9,2,0,0,0,0,Right-hand bat
Shoaib Ahmed,1,2,6,16.6666666667,0.5,3,1,0,0,0,0,Right-hand bat
Abdur Razzak,0,0,2,0,0,2,0,0,0,0,0,Left-hand bat
L Ablish,0,0,2,0,0,2,0,0,0,0,0,Right-hand bat
S Kaushik,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
RR Bhatkal,0,2,2,0,0,0,0,0,0,0,0,Right-hand bat
A Zampa,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
V Pratap Singh,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
S Ladda,0,2,10,0,0,8,0,0,0,0,0,Right-hand bat
YA Abdulla,0,0,1,0,0,1,0,0,0,0,0,Left-hand bat
Swapnil Singh,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
M Ashwin,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
ND Doshi,0,1,13,0,0,12,0,0,0,0,0,Right-hand bat
PJ Cummins,0,1,2,0,0,1,0,0,0,0,0,Right-hand bat
Sunny Gupta,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
C Nanda,0,1,1,0,0,0,0,0,0,0,0,Right-hand bat
IC Pandey,0,1,2,0,0,1,0,0,0,0,0,Right-hand bat
