Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
MP Stoinis,146,4,111,131.5315315315,36.5,34,42,14,0,13,4,Right-hand bat
DJ Hooda,293,20,224,130.8035714286,14.65,61,87,25,0,15,16,Right-hand bat
A Mithun,34,5,26,130.7692307692,6.8,6,8,2,0,4,1,Right-hand bat
NLTC Perera,419,23,321,130.5295950156,18.2173913043,106,116,26,1,23,26,Left-hand bat
DR Smith,2146,71,1645,130.4559270517,30.2253521127,700,470,78,3,213,109,Right-hand bat
MS Gony,99,9,76,130.2631578947,11,30,19,4,0,6,8,Right-hand bat
SA Yadav,503,22,389,129.3059125964,22.8636363636,124,149,28,2,46,18,Right-hand bat
SE Marsh,2211,56,1710,129.298245614,39.4821428571,604,650,90,6,230,73,Left-hand bat
JD Ryder,602,29,466,129.1845493562,20.7586206897,173,143,30,3,69,19,Left-hand bat
RG Sharma,3869,121,2996,129.1388518024,31.9752066116,966,1256,163,2,323,164,Right-hand bat
HM Amla,157,6,122,128.6885245902,26.1666666667,43,45,4,0,20,4,Right-hand bat
WP Saha,1308,53,1018,128.4872298625,24.679245283,323,387,96,3,108,48,Right-hand bat
Q de Kock,726,25,566,128.2685512368,29.04,219,188,19,3,90,21,Left-hand bat
KM Jadhav,626,26,490,127.7551020408,24.0769230769,133,223,37,1,47,23,Right-hand bat
PD Collingwood,203,4,159,127.6729559748,50.75,56,66,10,1,9,13,Right-hand bat
TR Birt,75,5,59,127.1186440678,15,22,15,6,0,9,2,Left-hand bat
RR Pant,197,7,155,127.0967741935,28.1428571429,53,56,13,1,19,6,Left-hand bat
V Kohli,4105,115,3235,126.8933539413,35.6956521739,1082,1297,222,10,360,149,Right-hand bat
SM Pollock,147,8,116,126.724137931,18.375,39,47,2,0,12,8,Right-hand bat
STR Binny,686,32,542,126.5682656827,21.4375,170,210,45,6,53,26,Right-hand bat
TM Head,53,2,42,126.1904761905,26.5,13,15,7,0,3,2,Left-hand bat
SM Katich,241,10,191,126.1780104712,24.1,75,56,15,1,26,8,Left-hand bat
S Vidyut,145,8,115,126.0869565217,18.125,47,30,5,1,21,3,Left-hand bat
Yuvraj Singh,2335,90,1860,125.5376344086,25.9444444444,731,626,103,3,174,133,Left-hand bat
AC Voges,179,6,143,125.1748251748,29.8333333333,40,59,18,2,15,3,Right-hand bat
KK Nair,876,34,700,125.1428571429,25.7647058824,246,242,58,3,96,20,Right-hand bat
M Vohra,725,29,580,125,25,235,165,45,7,72,26,Right-hand bat
Shakib Al Hasan,496,24,398,124.6231155779,20.6666666667,117,166,32,0,44,15,Left-hand bat
A Symonds,973,26,781,124.5838668374,37.4230769231,283,287,66,4,74,41,Right-hand bat
BB McCullum,2432,89,1953,124.5263696877,27.3258426966,806,607,94,3,248,106,Right-hand bat
RV Uthappa,3384,119,2719,124.4575211475,28.4369747899,972,988,182,11,340,104,Right-hand bat
OA Shah,504,13,405,124.4444444444,38.7692307692,138,166,29,2,34,23,Right-hand bat
Azhar Mahmood,387,19,311,124.4372990354,20.3684210526,106,115,19,0,39,13,Right-hand bat
S Narwal,36,4,29,124.1379310345,9,9,8,2,0,6,0,Left-hand bat
CL White,953,35,769,123.9271781534,27.2285714286,240,333,47,2,76,36,Right-hand bat
MN van Wyk,167,3,135,123.7037037037,55.6666666667,41,58,12,1,19,1,Right-hand bat
HV Patel,47,8,38,123.6842105263,5.875,7,15,3,0,2,3,Right-hand bat
LMP Simmons,942,21,762,123.6220472441,44.8571428571,324,236,44,2,99,36,Right-hand bat
MV Boucher,393,15,318,123.5849056604,26.2,102,126,29,1,32,13,Right-hand bat
AP Tare,321,21,260,123.4615384615,15.2857142857,104,68,18,1,37,11,Right-hand bat
AT Rayudu,2323,82,1884,123.3014861996,28.3292682927,583,816,128,1,198,76,Right-hand bat
R Tewatia,16,1,13,123.0769230769,16,4,4,3,0,0,1,Left-hand bat
MC Henriques,691,29,564,122.5177304965,23.8275862069,185,220,47,1,59,23,Right-hand bat
AS Yadav,49,7,40,122.5,7,11,13,2,0,5,2,Right-hand bat
KL Rahul,725,26,592,122.4662162162,27.8846153846,191,246,41,3,61,24,Right-hand bat
DJ Bravo,1256,54,1026,122.4171539961,23.2592592593,364,361,92,5,102,48,Right-hand bat
P Negi,208,11,170,122.3529411765,18.9090909091,59,61,13,1,16,9,Left-hand bat
DNT Zoysa,11,1,9,122.2222222222,11,2,3,2,0,1,0,Left-hand bat
JP Duminy,1991,47,1630,122.1472392638,42.3617021277,486,767,123,6,123,78,Left-hand bat
Mandeep Singh,923,46,760,121.4473684211,20.0652173913,268,256,60,2,113,14,Right-hand bat
Gurkeerat Singh,340,23,280,121.4285714286,14.7826086957,86,110,16,0,36,9,Right-hand bat
KD Karthik,2537,112,2092,121.2715105163,22.6517857143,676,834,147,5,256,60,Right-hand bat
BJ Hodge,1397,46,1153,121.1621856028,30.3695652174,396,449,89,8,122,43,Right-hand bat
AD Mathews,691,29,571,121.0157618214,23.8275862069,169,254,46,3,42,28,Right-hand bat
AJ Finch,1303,46,1080,120.6481481481,28.3260869565,434,350,62,3,145,40,Right-hand bat
MEK Hussey,1971,52,1642,120.0365408039,37.9038461538,588,646,96,11,197,52,Left-hand bat
UT Khawaja,126,5,105,120,25.2,39,37,6,1,14,3,Left-hand bat
Joginder Sharma,36,4,30,120,9,6,14,3,0,1,2,Right-hand bat
DJ Hussey,1321,49,1101,119.9818346957,26.9591836735,377,451,72,2,90,60,Right-hand bat
GJ Bailey,662,29,552,119.9275362319,22.8275862069,179,221,44,1,59,19,Right-hand bat
LA Pomersbach,301,11,251,119.9203187251,27.3636363636,99,84,18,1,25,13,Left-hand bat
SA Asnodkar,422,19,352,119.8863636364,22.2105263158,146,104,17,0,56,10,Right-hand bat
M Vijay,2508,91,2092,119.8852772467,27.5604395604,841,662,154,17,237,89,Right-hand bat
G Gambhir,3630,117,3028,119.8811096433,31.0256410256,1054,1147,222,15,422,51,Left-hand bat
LRPL Taylor,1015,41,847,119.8347107438,24.756097561,295,332,62,3,66,46,Right-hand bat
DH Yagnik,170,9,142,119.7183098592,18.8888888889,53,44,11,0,23,2,Left-hand bat
AB McDonald,123,5,103,119.4174757282,24.6,33,42,9,1,9,4,Right-hand bat
EJG Morgan,788,34,663,118.8536953243,23.1764705882,254,225,49,3,66,32,Left-hand bat
MA Agarwal,788,44,663,118.8536953243,17.9090909091,262,219,25,0,79,33,Right-hand bat
JO Holder,38,5,32,118.75,7.6,13,6,2,0,4,2,Right-hand bat
R Bhatia,324,28,273,118.6813186813,11.5714285714,77,109,22,1,24,12,Right-hand bat
B Lee,121,10,102,118.6274509804,12.1,39,33,4,0,8,8,Right-hand bat
KC Sangakkara,1687,69,1424,118.4691011236,24.4492753623,483,563,81,5,195,27,Left-hand bat
DPMD Jayawardene,1797,63,1520,118.2236842105,28.5238095238,559,562,92,4,200,39,Right-hand bat
KC Cariappa,13,1,11,118.1818181818,13,2,7,0,0,0,1,Right-hand bat
S Sohal,367,18,311,118.0064308682,20.3888888889,141,81,17,1,34,18,Right-hand bat
AM Rahane,2673,75,2273,117.5978882534,35.64,808,893,149,12,285,51,Right-hand bat
RA Jadeja,1572,72,1340,117.3134328358,21.8333333333,417,571,110,5,112,53,Left-hand bat
S Dhawan,3067,95,2615,117.2848948375,32.2842105263,983,967,146,14,346,62,Left-hand bat
DJG Sammy,292,15,249,117.2690763052,19.4666666667,94,91,15,1,15,18,Right-hand bat
AR Patel,378,21,323,117.0278637771,18,96,148,18,0,23,17,Left-hand bat
PC Valthaty,505,22,432,116.8981481481,22.9545454545,208,101,20,0,61,20,Right-hand bat
