DL Chahar
WPUJC Vaas
Gagandeep Singh
LPC Silva
GR Napier
AP Dole
AP Majumdar
AC Blizzard
A Nel
B Geeves
AF Milne
K Upadhyay
Shami Ahmed
CA Ingram
DR Martyn
Pankaj Singh
PJ Cummins
TD Paine
KMDN Kulasekara
NK Patel
T Henderson
VS Yeligati
DJ Thornely
CK Kapugedera
RG More
JM Kemp
A Chopra
Swapnil Singh
Shoaib Akhtar
T Taibu
KS Williamson
Kamran Akmal
Shoaib Malik
A Uniyal
AS Yadav
Misbah-ul-Haq
BE Hendricks
KAJ Roach
MB Parmar
F Behardien
A Flintoff
J Arunkumar
S Chanderpaul
RS Gavaskar
SS Mundhe
B Laughlin
I Malhotra
RW Price
CK Langeveldt
P Amarnath
U Kaul
RR Sarwan
D Salunkhe
DS Lehmann
CA Lynn
RR Bhatkal
B Brainder Sran
JW Hastings
H Das
Harpreet Singh
JE Taylor
NL McCullum
N Rana
MJ Guptill
SN Thakur
A Mukund
T Kohli
Abdur Razzak
DT Patil
SM Harwood
T Shamsi
K Santokie
Shivam Sharma
RS Sodhi
DAJ Bracewell
X Thalaivan Sargunam
Younis Khan
RR Bose
MG Neser
GS Sandhu
Mohammad Ashraful
RA Shaikh
Sunny Gupta
C Ganapathy
Mashrafe Mortaza
UA Birla
SS Shaikh
NJ Rimmington
AA Kazi
BJ Haddin
SA Abbott
