I Sharma,Ankit Sharma,Ishant Sharma,Bipul Sharma
,,,
AJ Finch,Aaron Finch,,
,,,
JD Unadkat,Jaydev Unadkat,,
,,,
A Mishra,Amit Mishra,A Mishra,
,,,
JW Hastings,John Hastings,,
,,,
RA Jadeja,Ravindra Jadeja,,
,,,
SN Thakur,Shardul Thakur,,
,,,
PA Patel,Parthiv Patel,Harshal Patel,Axar Patel
,,,
A Mithun,Abhimanyu Mithun,,
,,,
KM Jadhav,Kedar Jadhav,,
,,,
Sandeep Sharma,Sandeep Sharma,,
,,,
AN Ahmed,Khaleel Ahmed,,
,,,
A Ashish Reddy,Ashish Reddy,,
,,,
JE Taylor,Jerome Taylor,,
,,,
JP Duminy,JP Duminy,,
,,,
M Vijay,Murali Vijay,Vijay Shankar,
,,,
VS Malik,Vikramjeet Malik,,
,,,
S Badree,Samuel Badree,,
,,,
SV Samson,Sanju Samson,,
,,,
DW Steyn,Dale Steyn,,
,,,
M Vohra,Manan Vohra,,
,,,
KL Rahul,Lokesh Rahul,,
,,,
S Rana,Nitish Rana,,
,,,
AB de Villiers,AB de Villiers,,
,,,
P Suyal,Pawan Suyal,,
,,,
CH Morris,Chris Morris,,
,,,
S Gopal,Shreyas Gopal,,
,,,
SPD Smith,Steve Smith,Dwayne Smith,
,,,
KC Cariappa,KC Cariappa,,
,,,
P Sahu,Pradeep Sahu,,
,,,
BB Sran,Barinder Sran,,
,,,
S Kaul,Siddarth Kaul,,
,,,
UBT Chand,Unmukt Chand,,
,,,
R Sathish,Rajagopal Sathish,,
,,,
C Munro,Colin Munro,,
,,,
IK Pathan,Irfan Pathan,Yusuf Pathan,
,,,
M Morkel,Albie Morkel,Morne Morkel,
,,,
RG Sharma,Ankit Sharma,Ishant Sharma,Bipul Sharma
,,,
D Wiese,David Wiese,,
,,,
A Nehra,Ashish Nehra,,
,,,
UT Khawaja,Usman Khawaja,,
,,,
T Shamsi,Tabraiz Shamsi,,
,,,
Harbhajan Singh,Harbhajan Singh,,
,,,
PP Chawla,Piyush Chawla,,
,,,
JO Holder,Jason Holder,,
,,,
SS Iyer,Shreyas Iyer,,
,,,
A Zampa,Adam Zampa,,
,,,
Gurkeerat Singh,Gurkeerat Mann Singh,,
,,,
CA Lynn,Chris Lynn,,
,,,
TL Suman,Tirumalasetti Suman,,
,,,
AS Yadav,Umesh Yadav,Suryakumar Yadav,Kuldeep Yadav
,,,
S Dhawan,Shikhar Dhawan,Rishi Dhawan,
,,,
HV Patel,Parthiv Patel,Harshal Patel,Axar Patel
,,,
CM Gautam,Gautam Gambhir,,
,,,
Sachin Baby,Sachin Baby,,
,,,
LMP Simmons,Lendl Simmons,,
,,,
PV Tambe,Pravin Tambe,,
,,,
S Aravind,Sreenath Aravind,,
,,,
KV Sharma,Ankit Sharma,Ishant Sharma,Bipul Sharma
,,,
RR Pant,Rishabh Pant,,
,,,
Kuldeep Yadav,Kuldeep Yadav,,
,,,
Mohammed Shami,Mohammed Shami,,
,,,
TG Southee,Tim Southee,,
,,,
SE Marsh,Shaun Marsh,Mitchell Marsh,
,,,
OA Shah,Shahbaz Nadeem,Jaydev Shah,
,,,
MG Johnson,Mitchell Johnson,,
,,,
R Sharma,Ankit Sharma,Ishant Sharma,Bipul Sharma
,,,
MK Pandey,Manish Pandey,Ishwar Pandey,
,,,
B Akhil,Akhil Herwadkar,,
,,,
STR Binny,Stuart Binny,,
,,,
Anureet Singh,Anureet Singh,,
,,,
SK Warne,David Warner,,
,,,
KA Pollard,Kieron Pollard,,
,,,
MR Marsh,Shaun Marsh,Mitchell Marsh,
,,,
DR Smith,Steve Smith,Dwayne Smith,
,,,
SR Watson,Shane Watson,,
,,,
BB McCullum,Brendon McCullum,,
,,,
Sandeep Sharma (1),Sandeep Sharma,,
,,,
SK Raina,Suresh Raina,,
,,,
S Kaushik,Shivil Kaushik,,
,,,
KJ Abbott,Kyle Abbott,,
,,,
R Vinay Kumar,Vinay Kumar,,
,,,
VR Aaron,Varun Aaron,Aaron Finch,
,,,
JC Buttler,Jos Buttler,,
,,,
DJ Hooda,Deepak Hooda,,
,,,
MP Stoinis,Marcus Stoinis,,
,,,
V Kohli,Virat Kohli,,
,,,
Q de Kock,Quinton de Kock,,
,,,
IC Pandey,Manish Pandey,Ishwar Pandey,
,,,
WP Saha,Wriddhiman Saha,,
,,,
MK Tiwary,Saurabh Tiwary,,
