Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
JA Morkel,R Bhatia,0,2,0,0,0,0,0,1,2,Left-hand bat,Right-arm,medium-fast,3,66.66666667,2
JA Morkel,JD Unadkat,1,2,0,0,2,0,0,0,10,Left-hand bat,Left-arm,medium,5,200,10
JA Morkel,A Mishra,1,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,legbreak,2,50,1
JA Morkel,RA Jadeja,3,1,0,0,1,0,1,0,11,Left-hand bat,Left-arm,slow,6,183.3333333,11
JA Morkel,Harmeet Singh,0,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,medium,1,100,1
JA Morkel,A Mithun,1,1,0,0,0,0,0,1,1,Left-hand bat,Right-arm,medium,3,33.33333333,1
JA Morkel,Shahid Afridi,1,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,legbreak,3,66.66666667,2
JA Morkel,D Salunkhe,0,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,legbreak,2,100,2
JA Morkel,Y Venugopal Rao,0,1,0,0,0,0,1,1,7,Left-hand bat,Right-arm,offbreak,3,233.3333333,7
JA Morkel,DJ Hussey,0,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,offbreak,2,100,2
JA Morkel,MG Johnson,1,1,0,0,0,0,0,0,1,Left-hand bat,Left-arm,fast,2,50,1
JA Morkel,TP Sudhindra,1,0,1,0,0,0,0,0,2,Left-hand bat,Right-arm,fast,2,100,2
JA Morkel,Sohail Tanvir,1,3,1,0,1,0,0,2,9,Left-hand bat,Left-arm,medium-fast,8,112.5,4.5
JA Morkel,VRV Singh,0,3,2,0,2,0,0,0,15,Left-hand bat,Right-arm,medium-fast,7,214.2857143,15
JA Morkel,SB Bangar,2,1,1,0,1,0,0,0,7,Left-hand bat,Right-arm,medium-fast,5,140,7
JA Morkel,R Sathish,1,4,0,0,0,0,1,0,10,Left-hand bat,Right-arm,medium,6,166.6666667,10
JA Morkel,IK Pathan,1,6,0,0,1,0,0,0,10,Left-hand bat,Left-arm,medium-fast,8,125,10
JA Morkel,M Morkel,1,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,fast,3,66.66666667,2
JA Morkel,RG Sharma,2,4,1,0,0,0,1,0,12,Left-hand bat,Right-arm,offbreak,8,150,12
JA Morkel,A Nehra,2,10,0,0,2,0,0,1,18,Left-hand bat,Left-arm,medium-fast,15,120,18
JA Morkel,JE Taylor,2,0,0,0,0,0,0,1,0,Left-hand bat,Right-arm,fast,3,0,0
JA Morkel,Harbhajan Singh,2,0,3,0,0,0,2,1,18,Left-hand bat,Right-arm,offbreak,8,225,18
JA Morkel,PP Chawla,3,6,1,0,0,0,0,0,8,Left-hand bat,Left-arm,legbreak,10,80,8
JA Morkel,JR Hopes,0,1,0,0,0,0,0,0,1,Left-hand bat,Right-arm,medium,1,100,1
JA Morkel,Shoaib Ahmed,0,1,0,0,1,0,0,0,5,Left-hand bat,Right-arm,fast-medium,2,250,5
JA Morkel,PV Tambe,1,0,0,0,0,0,0,1,0,Left-hand bat,Right-arm,legbreak,2,0,0
JA Morkel,RE van der Merwe,3,4,0,0,0,0,0,0,4,Left-hand bat,Left-arm,slow,7,57.14285714,4
JA Morkel,RR Powar,1,0,0,0,0,0,0,0,0,Left-hand bat,Right-arm,offbreak,1,0,0
JA Morkel,P Awana,2,6,0,0,2,0,0,1,14,Left-hand bat,Right-arm,medium,11,127.2727273,14
JA Morkel,AM Salvi,1,2,0,0,0,0,0,0,2,Left-hand bat,Right-arm,medium,3,66.66666667,2
JA Morkel,R Sharma,3,0,0,0,0,0,0,0,0,Left-hand bat,Right-arm,legbreak,3,0,0
JA Morkel,VY Mahesh,4,2,0,0,1,0,0,0,6,Left-hand bat,Right-arm,medium-fast,7,85.71428571,6
JA Morkel,S Narwal,0,1,0,0,0,0,1,0,7,Left-hand bat,Right-arm,medium,2,350,7
JA Morkel,V Pratap Singh,1,1,1,0,1,0,0,0,7,Left-hand bat,Right-arm,medium,4,175,7
