Name,Runs,Wickets,Balls,Strike_rate,Avg,batting_style
S Rana,91,5,82,110.97560975609755,18.2,Right-hand bat
AB de Villiers,3257,78,2227,146.2505612932196,41.756410256410255,Right-hand bat
BB Sran,4,0,4,100.0,4.0,Left-hand bat
UBT Chand,300,20,314,95.54140127388536,15.0,Right-hand bat
TM Dilshan,1152,41,1047,110.02865329512893,28.097560975609756,Right-hand bat
RG Sharma,3869,121,2996,129.1388518024032,31.975206611570247,Right-hand bat
A Nehra,41,8,63,65.07936507936508,5.125,Right-hand bat
Harbhajan Singh,779,51,574,135.71428571428572,15.27450980392157,Right-hand bat
JO Holder,38,5,32,118.75,7.6,Right-hand bat
C Madan,15,1,21,71.42857142857143,15.0,Right-hand bat
Gurkeerat Singh,340,23,280,121.42857142857143,14.782608695652174,Right-hand bat
MS Bisla,798,37,737,108.27679782903664,21.56756756756757,Right-hand bat
M Kaif,259,16,258,100.3875968992248,16.1875,Right-hand bat
Shoaib Ahmed,1,2,6,16.666666666666668,0.5,Right-hand bat
CM Gautam,169,9,158,106.9620253164557,18.77777777777778,Right-hand bat
SM Harwood,9,0,14,64.28571428571429,9.0,Right-hand bat
PJ Cummins,0,1,2,0.0,0.0,Right-hand bat
R Sharma,66,11,77,85.71428571428571,6.0,Right-hand bat
Sunny Gupta,0,1,1,0.0,0.0,Right-hand bat
MK Pandey,1809,69,1574,114.93011435832274,26.217391304347824,Right-hand bat
STR Binny,686,32,542,126.56826568265683,21.4375,Right-hand bat
DJ Thornely,39,3,54,72.22222222222223,13.0,Right-hand bat
DR Smith,2146,71,1645,130.45592705167172,30.225352112676056,Right-hand bat
BB McCullum,2432,89,1953,124.52636968766001,27.325842696629213,Right-hand bat
AB Agarkar,179,8,160,111.875,22.375,Right-hand bat
SK Raina,4094,121,3056,133.96596858638745,33.83471074380165,Left-hand bat
M Vohra,725,29,580,125.0,25.0,Right-hand bat
C Nanda,0,1,1,0.0,0.0,Right-hand bat
P Kumar,331,33,314,105.4140127388535,10.030303030303031,Right-hand bat
OA Shah,504,13,405,124.44444444444444,38.76923076923077,Right-hand bat
V Kohli,4105,115,3235,126.89335394126739,35.69565217391305,Right-hand bat
IC Pandey,0,1,2,0.0,0.0,Right-hand bat
WP Saha,1308,53,1018,128.48722986247543,24.67924528301887,Right-hand bat
